symbol,date,open,high,low,close,volume,adjclose,splits
NVAX,1996-05-15 20:00:00-04:00,135.0,140.0,132.5,140.0,1360,140.0,0.0
NVAX,1996-05-16 20:00:00-04:00,140.0,142.5,138.75,142.5,1520,142.5,0.0
NVAX,1996-05-19 20:00:00-04:00,137.5,152.5,137.5,146.25,4725,146.25,0.0
NVAX,1996-05-20 20:00:00-04:00,146.25,150.0,140.0,142.5,4015,142.5,0.0
NVAX,1996-05-21 20:00:00-04:00,142.5,145.0,137.5,140.0,1410,140.0,0.0
NVAX,1996-05-22 20:00:00-04:00,142.5,142.5,132.5,137.5,1360,137.5,0.0
NVAX,1996-05-23 20:00:00-04:00,138.75,151.25,138.75,145.0,5615,145.0,0.0
NVAX,1996-05-27 20:00:00-04:00,150.0,162.5,150.0,160.0,6725,160.0,0.0
NVAX,1996-05-28 20:00:00-04:00,155.0,157.5,150.0,155.0,1460,155.0,0.0
NVAX,1996-05-29 20:00:00-04:00,157.5,157.5,147.5,152.5,1255,152.5,0.0
NVAX,1996-05-30 20:00:00-04:00,155.0,163.75,155.0,157.5,5300,157.5,0.0
NVAX,1996-06-02 20:00:00-04:00,156.25,165.0,155.0,162.5,940,162.5,0.0
NVAX,1996-06-03 20:00:00-04:00,162.5,165.0,158.75,160.0,2530,160.0,0.0
NVAX,1996-06-04 20:00:00-04:00,160.0,160.0,155.0,160.0,1055,160.0,0.0
NVAX,1996-06-05 20:00:00-04:00,157.5,163.75,157.5,161.25,1410,161.25,0.0
NVAX,1996-06-06 20:00:00-04:00,155.0,160.0,155.0,160.0,1210,160.0,0.0
NVAX,1996-06-09 20:00:00-04:00,157.5,162.5,156.25,162.5,920,162.5,0.0
NVAX,1996-06-10 20:00:00-04:00,160.0,162.5,155.0,160.0,580,160.0,0.0
NVAX,1996-06-11 20:00:00-04:00,157.5,157.5,145.0,145.0,1340,145.0,0.0
NVAX,1996-06-12 20:00:00-04:00,150.0,152.5,146.25,150.0,1655,150.0,0.0
NVAX,1996-06-13 20:00:00-04:00,150.0,152.5,148.75,152.5,825,152.5,0.0
NVAX,1996-06-16 20:00:00-04:00,150.0,153.75,150.0,150.0,505,150.0,0.0
NVAX,1996-06-17 20:00:00-04:00,151.25,151.25,135.0,140.0,1260,140.0,0.0
NVAX,1996-06-18 20:00:00-04:00,137.5,140.0,135.0,137.5,390,137.5,0.0
NVAX,1996-06-19 20:00:00-04:00,137.5,137.5,130.0,132.5,555,132.5,0.0
NVAX,1996-06-20 20:00:00-04:00,130.0,140.0,127.5,140.0,710,140.0,0.0
NVAX,1996-06-23 20:00:00-04:00,142.5,142.5,132.5,132.5,775,132.5,0.0
NVAX,1996-06-24 20:00:00-04:00,132.5,135.0,125.0,127.5,1130,127.5,0.0
NVAX,1996-06-25 20:00:00-04:00,125.0,130.0,122.5,127.5,1360,127.5,0.0
NVAX,1996-06-26 20:00:00-04:00,127.5,140.0,127.5,140.0,1805,140.0,0.0
NVAX,1996-06-27 20:00:00-04:00,137.5,145.0,135.0,145.0,2475,145.0,0.0
NVAX,1996-06-30 20:00:00-04:00,141.25,142.5,138.75,141.25,655,141.25,0.0
NVAX,1996-07-01 20:00:00-04:00,140.0,140.0,133.75,135.0,525,135.0,0.0
NVAX,1996-07-02 20:00:00-04:00,130.0,132.5,127.5,130.0,450,130.0,0.0
NVAX,1996-07-04 20:00:00-04:00,127.5,127.5,125.0,125.0,165,125.0,0.0
