symbol,date,open,high,low,close,volume,adjclose,dividends
WINA,1993-11-10 19:00:00-05:00,17.5,18.25,16.75,18.0,19000,13.589259147644043,0.0
WINA,1993-11-11 19:00:00-05:00,17.5,18.25,17.5,18.0,12300,13.589259147644043,0.0
WINA,1993-11-14 19:00:00-05:00,18.5,18.5,17.75,18.5,5200,13.966739654541016,0.0
WINA,1993-11-15 19:00:00-05:00,18.5,18.75,17.75,18.375,11300,13.872370719909668,0.0
WINA,1993-11-16 19:00:00-05:00,18.375,18.5,17.75,17.75,20300,13.400519371032715,0.0
WINA,1993-11-17 19:00:00-05:00,17.75,18.25,17.25,17.75,23000,13.400519371032715,0.0
WINA,1993-11-18 19:00:00-05:00,17.75,18.0,17.25,17.25,41000,13.023040771484375,0.0
WINA,1993-11-21 19:00:00-05:00,18.0,18.0,16.25,16.5,10800,12.45682430267334,0.0
WINA,1993-11-22 19:00:00-05:00,16.25,17.0,16.25,17.0,3500,12.834301948547363,0.0
WINA,1993-11-23 19:00:00-05:00,17.25,17.25,17.25,17.25,1600,13.023040771484375,0.0
WINA,1993-11-25 19:00:00-05:00,17.25,17.25,17.25,17.25,100,13.023040771484375,0.0
WINA,1993-11-28 19:00:00-05:00,17.25,17.5,16.75,17.5,4900,13.211780548095703,0.0
WINA,1993-11-29 19:00:00-05:00,17.5,17.5,16.75,17.5,5400,13.211780548095703,0.0
WINA,1993-11-30 19:00:00-05:00,17.5,17.75,17.0,17.375,17100,13.117409706115723,0.0
WINA,1993-12-01 19:00:00-05:00,18.0,18.0,17.5,17.5,3200,13.211780548095703,0.0
WINA,1993-12-02 19:00:00-05:00,18.0,18.0,17.5,17.5,6700,13.211780548095703,0.0
WINA,1993-12-05 19:00:00-05:00,18.0,18.0,16.75,17.25,12700,13.023040771484375,0.0
WINA,1993-12-06 19:00:00-05:00,17.25,17.25,16.5,16.75,13600,12.645565032958984,0.0
WINA,1993-12-07 19:00:00-05:00,16.5,16.75,16.5,16.5,3600,12.45682430267334,0.0
WINA,1993-12-08 19:00:00-05:00,16.75,16.875,16.5,16.5,4200,12.45682430267334,0.0
WINA,1993-12-09 19:00:00-05:00,16.5,17.25,16.5,17.25,3800,13.023040771484375,0.0
WINA,1993-12-12 19:00:00-05:00,17.25,17.25,16.75,17.0,3100,12.834301948547363,0.0
WINA,1993-12-13 19:00:00-05:00,17.25,17.25,16.75,16.75,6700,12.645565032958984,0.0
WINA,1993-12-14 19:00:00-05:00,16.5,17.0,16.5,17.0,3500,12.834301948547363,0.0
WINA,1993-12-15 19:00:00-05:00,16.5,17.0,16.5,16.5,2600,12.45682430267334,0.0
WINA,1993-12-16 19:00:00-05:00,16.5,17.0,16.5,17.0,16500,12.834301948547363,0.0
