symbol,date,open,high,low,close,volume,adjclose,dividends
PLPC,1999-08-10 20:00:00-04:00,19.0,19.0,19.0,19.0,0,11.964646339416504,0.0
PLPC,1999-08-11 20:00:00-04:00,19.0,19.0,19.0,19.0,0,11.964646339416504,0.0
PLPC,1999-08-12 20:00:00-04:00,20.0,20.5,20.0,20.0,600,12.594367027282715,0.0
PLPC,1999-08-15 20:00:00-04:00,18.875,18.875,18.875,18.875,100,11.885936737060547,0.0
PLPC,1999-08-16 20:00:00-04:00,18.875,18.875,18.875,18.875,100,11.885936737060547,0.0
PLPC,1999-08-17 20:00:00-04:00,18.875,19.0,18.625,19.0,7200,11.964646339416504,0.0
PLPC,1999-08-18 20:00:00-04:00,19.0,19.0,19.0,19.0,0,11.964646339416504,0.0
PLPC,1999-08-19 20:00:00-04:00,19.0,19.0,19.0,19.0,0,11.964646339416504,0.0
PLPC,1999-08-22 20:00:00-04:00,19.0,19.0,19.0,19.0,0,11.964646339416504,0.0
PLPC,1999-08-23 20:00:00-04:00,19.375,19.75,19.375,19.375,1900,12.200793266296387,0.0
PLPC,1999-08-24 20:00:00-04:00,19.375,19.5,19.375,19.5,2400,12.279508590698242,0.0
PLPC,1999-08-25 20:00:00-04:00,19.5,19.5,19.5,19.5,0,12.279508590698242,0.0
PLPC,1999-08-26 20:00:00-04:00,19.125,19.125,19.0,19.0,900,11.964646339416504,0.0
PLPC,1999-08-29 20:00:00-04:00,19.0,19.0,19.0,19.0,0,11.964646339416504,0.0
PLPC,1999-08-30 20:00:00-04:00,18.5,18.5,18.5,18.5,800,11.649787902832031,0.0
PLPC,1999-08-31 20:00:00-04:00,18.5,18.5,18.5,18.5,0,11.649787902832031,0.0
PLPC,1999-09-01 20:00:00-04:00,18.5,18.5,18.5,18.5,0,11.649787902832031,0.0
PLPC,1999-09-02 20:00:00-04:00,18.5,18.5,18.5,18.5,0,11.649787902832031,0.0
PLPC,1999-09-06 20:00:00-04:00,18.375,18.375,18.0,18.0,1400,11.334936141967773,0.0
PLPC,1999-09-07 20:00:00-04:00,18.0,18.0,18.0,18.0,0,11.334936141967773,0.0
PLPC,1999-09-08 20:00:00-04:00,18.0,18.0,17.5,18.0,900,11.334936141967773,0.0
PLPC,1999-09-09 20:00:00-04:00,17.5,17.5,17.5,17.5,3000,11.020072937011719,0.0
PLPC,1999-09-12 20:00:00-04:00,17.25,17.375,17.25,17.25,1200,10.862646102905273,0.0
PLPC,1999-09-13 20:00:00-04:00,17.25,17.25,17.25,17.25,400,10.862646102905273,0.0
PLPC,1999-09-14 20:00:00-04:00,17.25,17.25,17.25,17.25,0,10.862646102905273,0.0
PLPC,1999-09-15 20:00:00-04:00,17.25,17.25,17.25,17.25,0,10.862646102905273,0.0
PLPC,1999-09-16 20:00:00-04:00,17.0,17.0,16.0,16.0,1200,10.075496673583984,0.0
PLPC,1999-09-19 20:00:00-04:00,16.0,16.0,16.0,16.0,1500,10.075496673583984,0.0
PLPC,1999-09-20 20:00:00-04:00,16.25,17.5,16.25,17.5,2100,11.020072937011719,0.0
PLPC,1999-09-21 20:00:00-04:00,17.5,17.5,17.5,17.5,0,11.020072937011719,0.0
PLPC,1999-09-22 20:00:00-04:00,17.5,17.5,17.5,17.5,0,11.020072937011719,0.0
PLPC,1999-09-23 20:00:00-04:00,16.5,17.5,16.5,17.5,1400,11.020072937011719,0.0
PLPC,1999-09-26 20:00:00-04:00,17.0,17.0,16.5,16.5,400,10.390352249145508,0.0
PLPC,1999-09-27 20:00:00-04:00,16.5,16.75,16.5,16.75,2800,10.547782897949219,0.0
PLPC,1999-09-28 20:00:00-04:00,16.0,16.0,15.5,15.5,1200,9.760632514953613,0.0
PLPC,1999-09-29 20:00:00-04:00,15.5,15.75,15.5,15.75,5000,9.918067932128906,0.0
PLPC,1999-09-30 20:00:00-04:00,16.5,16.5,16.5,16.5,600,10.390352249145508,0.0
PLPC,1999-10-03 20:00:00-04:00,16.5,16.5,16.5,16.5,0,10.390352249145508,0.0
PLPC,1999-10-04 20:00:00-04:00,16.5,16.5,16.5,16.5,0,10.390352249145508,0.0
PLPC,1999-10-05 20:00:00-04:00,16.5,16.5,16.5,16.5,0,10.390352249145508,0.0
PLPC,1999-10-06 20:00:00-04:00,16.5,16.5,16.5,16.5,0,10.390352249145508,0.0
PLPC,1999-10-07 20:00:00-04:00,15.375,16.0,15.0,16.0,2900,10.075496673583984,0.0
PLPC,1999-10-10 20:00:00-04:00,16.0,16.0,16.0,16.0,0,10.075496673583984,0.0
PLPC,1999-10-11 20:00:00-04:00,16.0,16.0,16.0,16.0,0,10.075496673583984,0.0
PLPC,1999-10-12 20:00:00-04:00,16.0,16.0,16.0,16.0,0,10.075496673583984,0.0
PLPC,1999-10-13 20:00:00-04:00,16.0,16.0,16.0,16.0,0,10.075496673583984,0.0
PLPC,1999-10-14 20:00:00-04:00,16.0,16.0,16.0,16.0,0,10.075496673583984,0.0
PLPC,1999-10-17 20:00:00-04:00,15.0,15.0,15.0,15.0,900,9.445773124694824,0.0
PLPC,1999-10-18 20:00:00-04:00,16.0,16.0,16.0,16.0,200,10.075496673583984,0.0
PLPC,1999-10-19 20:00:00-04:00,16.0,16.0,16.0,16.0,0,10.075496673583984,0.0
PLPC,1999-10-20 20:00:00-04:00,16.0,16.0,16.0,16.0,0,10.075496673583984,0.0
PLPC,1999-10-21 20:00:00-04:00,16.0,16.0,16.0,16.0,0,10.075496673583984,0.0
PLPC,1999-10-24 20:00:00-04:00,16.0,16.0,16.0,16.0,0,10.075496673583984,0.0
PLPC,1999-10-25 20:00:00-04:00,16.0,16.0,16.0,16.0,0,10.075496673583984,0.0
PLPC,1999-10-26 20:00:00-04:00,16.0,16.0,16.0,16.0,0,10.075496673583984,0.0
PLPC,1999-10-27 20:00:00-04:00,16.0,16.25,16.0,16.25,1000,10.232925415039062,0.0
PLPC,1999-10-28 20:00:00-04:00,16.25,16.25,16.25,16.25,0,10.232925415039062,0.0
PLPC,1999-10-31 19:00:00-05:00,16.25,16.25,16.25,16.25,0,10.232925415039062,0.0
PLPC,1999-11-01 19:00:00-05:00,16.25,16.25,16.25,16.25,0,10.232925415039062,0.0
PLPC,1999-11-02 19:00:00-05:00,16.25,16.25,16.25,16.25,0,10.232925415039062,0.0
