date,ITIC_Open,ITIC_High,ITIC_Low,ITIC_Close,ITIC_Volume,ITIC_Dividends,ITIC_Stock Splits
1986-12-03 00:00:00+00:00,0.0,9.199999809265137,8.800000190734863,4.819562911987305,500,0.0,
1986-12-04 00:00:00+00:00,0.0,9.399999618530272,8.800000190734863,4.819562911987305,500,0.0,
1986-12-05 00:00:00+00:00,0.0,9.600000381469728,9.199999809265137,5.038636207580566,2750,0.0,
1986-12-08 00:00:00+00:00,0.0,9.800000190734863,9.199999809265137,5.038636207580566,5500,0.0,
1986-12-09 00:00:00+00:00,0.0,9.399999618530272,8.800000190734863,4.819562911987305,4250,0.0,
1986-12-10 00:00:00+00:00,0.0,9.0,8.600000381469727,4.710025787353516,5750,0.0,
1986-12-11 00:00:00+00:00,0.0,9.199999809265137,8.600000381469727,4.710025787353516,250,0.0,
1986-12-12 00:00:00+00:00,8.600000381469727,8.600000381469727,8.600000381469727,4.710025787353516,0,0.0,
1986-12-15 00:00:00+00:00,0.0,9.0,8.399999618530273,4.600491046905518,1250,0.0,
1986-12-16 00:00:00+00:00,0.0,8.800000190734863,8.399999618530273,4.600491046905518,2750,0.0,
1986-12-17 00:00:00+00:00,8.399999618530273,8.399999618530273,8.399999618530273,4.600491046905518,0,0.0,
1986-12-18 00:00:00+00:00,0.0,8.800000190734863,8.199999809265137,4.49095630645752,1250,0.0,
1986-12-19 00:00:00+00:00,8.199999809265137,8.199999809265137,8.199999809265137,4.49095630645752,0,0.0,
1986-12-22 00:00:00+00:00,0.0,8.800000190734863,8.199999809265137,4.49095630645752,250,0.0,
1986-12-23 00:00:00+00:00,0.0,8.600000381469727,8.0,4.381422519683838,2500,0.0,
1986-12-24 00:00:00+00:00,8.0,8.0,8.0,4.381422519683838,0,0.0,
1986-12-26 00:00:00+00:00,8.0,8.0,8.0,4.381422519683838,0,0.0,
1986-12-29 00:00:00+00:00,0.0,8.399999618530273,8.0,4.381422519683838,1250,0.0,
1986-12-30 00:00:00+00:00,0.0,8.600000381469727,8.0,4.381422519683838,9000,0.0,
1986-12-31 00:00:00+00:00,0.0,8.600000381469727,8.0,4.381422519683838,3750,0.0,
1987-01-02 00:00:00+00:00,8.0,8.0,8.0,4.381422519683838,0,0.0,
1987-01-05 00:00:00+00:00,0.0,8.600000381469727,8.0,4.381422519683838,1250,0.0,
1987-01-06 00:00:00+00:00,0.0,8.600000381469727,8.0,4.381422519683838,5000,0.0,
1987-01-07 00:00:00+00:00,8.0,8.0,8.0,4.381422519683838,0,0.0,
1987-01-08 00:00:00+00:00,0.0,8.600000381469727,8.0,4.381422519683838,3750,0.0,
1987-01-09 00:00:00+00:00,8.0,8.0,8.0,4.381422519683838,0,0.0,
1987-01-12 00:00:00+00:00,0.0,8.600000381469727,8.199999809265137,4.49095630645752,1000,0.0,
