date,CLX_Open,CLX_High,CLX_Low,CLX_Close,CLX_Volume,CLX_Dividends,CLX_Stock Splits
1973-02-21 00:00:00+00:00,0.0,5.65625,5.453125,1.6977554559707642,115200,0.0,
1973-02-22 00:00:00+00:00,0.0,5.515625,5.4375,1.668978571891785,178400,0.0,
1973-02-23 00:00:00+00:00,0.0,5.5,5.40625,1.6785712242126465,75200,0.0,
1973-02-26 00:00:00+00:00,0.0,5.421875,5.265625,1.6497968435287476,157600,0.0,
1973-02-27 00:00:00+00:00,0.0,5.40625,4.84375,1.4915307760238647,248800,0.0,
1973-02-28 00:00:00+00:00,0.0,5.03125,4.75,1.5346938371658323,460800,0.0,
1973-03-01 00:00:00+00:00,0.0,5.1875,4.8125,1.4771419763565063,287200,0.0,
1973-03-02 00:00:00+00:00,0.0,4.90625,4.5625,1.505918025970459,338400,0.0,
1973-03-05 00:00:00+00:00,0.0,5.09375,4.90625,1.5586739778518677,392800,0.0,
1973-03-06 00:00:00+00:00,0.0,5.21875,5.09375,1.6018354892730713,175200,0.0,
1973-03-07 00:00:00+00:00,0.0,5.359375,5.25,1.6258152723312378,280800,0.0,
1973-03-08 00:00:00+00:00,0.0,5.40625,5.328125,1.6497968435287476,185600,0.0,
1973-03-09 00:00:00+00:00,0.0,5.390625,5.3125,1.6497968435287476,331200,0.0,
1973-03-12 00:00:00+00:00,0.0,5.4375,5.3125,1.6449999809265137,108000,0.0,
1973-03-13 00:00:00+00:00,0.0,5.5,5.328125,1.6593869924545288,186400,0.0,
1973-03-14 00:00:00+00:00,0.0,5.609375,5.5,1.7025504112243652,115200,0.0,
1973-03-15 00:00:00+00:00,0.0,5.609375,5.5,1.6881635189056396,63200,0.0,
1973-03-16 00:00:00+00:00,0.0,5.53125,5.375,1.6929594278335571,200800,0.0,
1973-03-19 00:00:00+00:00,0.0,5.515625,5.34375,1.6497968435287476,100000,0.0,
1973-03-20 00:00:00+00:00,0.0,5.375,5.21875,1.61622416973114,131200,0.0,
1973-03-21 00:00:00+00:00,0.0,5.3125,4.890625,1.5011221170425415,92800,0.0,
1973-03-22 00:00:00+00:00,0.0,5.046875,4.875,1.5346938371658323,111200,0.0,
1973-03-23 00:00:00+00:00,0.0,5.03125,4.921875,1.5203059911727903,154400,0.0,
1973-03-26 00:00:00+00:00,0.0,5.203125,5.0,1.5970408916473389,88800,0.0,
1973-03-27 00:00:00+00:00,0.0,5.265625,5.140625,1.5778577327728271,130400,0.0,
1973-03-28 00:00:00+00:00,0.0,5.15625,5.0625,1.5730608701705933,155200,0.0,
1973-03-29 00:00:00+00:00,0.0,5.21875,5.125,1.5778577327728271,272000,0.0,
1973-03-30 00:00:00+00:00,0.0,5.140625,5.046875,1.568264722824097,103200,0.0,
1973-04-02 00:00:00+00:00,0.0,5.109375,5.0,1.5442852973937988,73600,0.0,
1973-04-03 00:00:00+00:00,0.0,5.03125,4.90625,1.505918025970459,184800,0.0,
1973-04-04 00:00:00+00:00,0.0,4.90625,4.828125,1.4867340326309204,143200,0.0,
