date,ESLT_Open,ESLT_High,ESLT_Low,ESLT_Close,ESLT_Volume,ESLT_Dividends,ESLT_Stock Splits
1996-11-27 00:00:00+00:00,4.0,6.25,3.5,3.446970224380493,185100,0.0,
1996-11-29 00:00:00+00:00,7.0,7.75,6.625,4.2742414474487305,35300,0.0,
1996-12-02 00:00:00+00:00,7.625,7.625,6.875,3.860604763031006,23300,0.0,
1996-12-03 00:00:00+00:00,6.75,7.375,6.75,4.067425727844238,1000,0.0,
1996-12-04 00:00:00+00:00,6.875,7.375,6.875,4.067425727844238,1600,0.0,
1996-12-05 00:00:00+00:00,7.5,7.5,7.125,3.9295458793640137,1600,0.0,
1996-12-06 00:00:00+00:00,7.0,7.125,6.75,3.9295458793640137,6400,0.0,
1996-12-09 00:00:00+00:00,7.375,7.875,7.0,4.2742414474487305,26200,0.0,
1996-12-10 00:00:00+00:00,7.5,8.125,7.5,4.3431806564331055,10900,0.0,
1996-12-11 00:00:00+00:00,7.5,7.75,7.5,4.2742414474487305,2800,0.0,
1996-12-12 00:00:00+00:00,8.0,8.0,7.625,4.205304145812988,4600,0.0,
1996-12-13 00:00:00+00:00,7.875,7.875,7.5,4.1363630294799805,2000,0.0,
1996-12-16 00:00:00+00:00,7.625,7.625,7.625,4.205304145812988,200,0.0,
1996-12-17 00:00:00+00:00,7.875,7.875,7.5,4.205304145812988,5700,0.0,
1996-12-18 00:00:00+00:00,7.375,7.375,7.375,4.067425727844238,1100,0.0,
1996-12-19 00:00:00+00:00,7.625,7.625,7.375,4.1363630294799805,66700,0.0,
1996-12-20 00:00:00+00:00,7.5,7.75,7.5,4.2742414474487305,16400,0.0,
1996-12-23 00:00:00+00:00,7.75,7.875,7.625,4.3431806564331055,29100,0.0,
1996-12-24 00:00:00+00:00,7.5,7.5,7.5,4.1363630294799805,300,0.0,
1996-12-26 00:00:00+00:00,7.5,7.75,7.5,4.205304145812988,3400,0.0,
1996-12-27 00:00:00+00:00,7.5625,7.625,7.5625,4.188067436218262,16800,0.0,
1996-12-30 00:00:00+00:00,7.75,7.75,7.5,4.2742414474487305,5800,0.0,
