date,UPV_Open,UPV_High,UPV_Low,UPV_Close,UPV_Volume,UPV_Dividends,UPV_Stock Splits
2010-05-07 00:00:00+00:00,24.270000457763672,24.270000457763672,23.1200008392334,21.597869873046875,11300,0.0,
2010-05-10 00:00:00+00:00,27.3799991607666,46.41999816894531,26.729999542236328,25.34795379638672,19800,0.0,
2010-05-11 00:00:00+00:00,25.940000534057617,27.299999237060547,25.90999984741211,24.640743255615234,12500,0.0,
2010-05-12 00:00:00+00:00,26.989999771118164,29.0,26.959999084472656,25.245590209960938,29900,0.0,
2010-05-13 00:00:00+00:00,26.739999771118164,26.739999771118164,26.1200008392334,24.315052032470703,9100,0.0,
2010-05-14 00:00:00+00:00,25.450000762939453,25.450000762939453,24.040000915527344,22.667993545532227,18600,0.0,
2010-05-17 00:00:00+00:00,24.43000030517578,24.700000762939453,23.40999984741211,22.80757141113281,7100,0.0,
2010-05-18 00:00:00+00:00,25.149999618530277,25.34000015258789,23.239999771118164,21.86772918701172,13400,0.0,
2010-05-19 00:00:00+00:00,23.520000457763672,23.75,22.93000030517578,22.10036277770996,4000,0.0,
2010-05-20 00:00:00+00:00,22.36000061035156,22.86000061035156,21.46999931335449,20.75107955932617,52200,0.0,
2010-05-21 00:00:00+00:00,21.6200008392334,23.420000076293945,21.6200008392334,21.22565269470215,21300,0.0,
2010-05-24 00:00:00+00:00,22.38999938964844,22.700000762939453,22.149999618530277,20.611495971679688,2600,0.0,
2010-05-25 00:00:00+00:00,20.649999618530277,21.82999992370605,20.649999618530277,20.313722610473636,4600,0.0,
2010-05-26 00:00:00+00:00,22.21999931335449,22.350000381469727,21.600000381469727,20.09969711303711,30400,0.0,
2010-05-27 00:00:00+00:00,22.600000381469727,24.06999969482422,22.600000381469727,22.38883209228516,37800,0.0,
2010-05-28 00:00:00+00:00,23.6299991607666,23.899999618530277,23.5,21.86772918701172,2000,0.0,
2010-06-01 00:00:00+00:00,23.15999984741211,23.56999969482422,23.09000015258789,21.81189346313477,2500,0.0,
2010-06-02 00:00:00+00:00,22.809999465942383,23.81999969482422,22.809999465942383,22.16550064086914,29800,0.0,
