date,CCL_Open,CCL_High,CCL_Low,CCL_Close,CCL_Volume,CCL_Dividends,CCL_Stock Splits
1987-07-24 00:00:00+00:00,0.0,3.9375,3.875,1.9351354837417605,15566400,0.0,
1987-07-27 00:00:00+00:00,0.0,3.9375,3.875,1.919777035713196,1931200,0.0,
1987-07-28 00:00:00+00:00,0.0,3.90625,3.875,1.904419541358948,2074800,0.0,
1987-07-29 00:00:00+00:00,0.0,3.90625,3.875,1.904419541358948,4930800,0.0,
1987-07-30 00:00:00+00:00,0.0,3.90625,3.8125,1.873701930046081,4654400,0.0,
1987-07-31 00:00:00+00:00,0.0,3.78125,3.5625,1.781553864479065,3006800,0.0,
1987-08-03 00:00:00+00:00,0.0,3.84375,3.5,1.889061450958252,1277600,0.0,
1987-08-04 00:00:00+00:00,0.0,3.90625,3.75,1.8583444356918333,698400,0.0,
1987-08-05 00:00:00+00:00,0.0,3.8125,3.75,1.8583444356918333,262000,0.0,
1987-08-06 00:00:00+00:00,0.0,3.78125,3.71875,1.842985987663269,480400,0.0,
1987-08-07 00:00:00+00:00,0.0,3.84375,3.75,1.889061450958252,582400,0.0,
1987-08-10 00:00:00+00:00,0.0,3.96875,3.8125,1.919777035713196,1524800,0.0,
1987-08-11 00:00:00+00:00,0.0,3.9375,3.875,1.9351354837417605,2395200,0.0,
1987-08-12 00:00:00+00:00,0.0,3.9375,3.90625,1.9351354837417605,1514400,0.0,
1987-08-13 00:00:00+00:00,0.0,3.9375,3.84375,1.904419541358948,516000,0.0,
1987-08-14 00:00:00+00:00,0.0,3.9375,3.84375,1.904419541358948,324000,0.0,
1987-08-17 00:00:00+00:00,0.0,3.875,3.84375,1.904419541358948,183600,0.0,
1987-08-18 00:00:00+00:00,0.0,3.875,3.71875,1.8276281356811523,554400,0.0,
1987-08-19 00:00:00+00:00,0.0,3.75,3.65625,1.842985987663269,304400,0.0,
1987-08-20 00:00:00+00:00,0.0,3.8125,3.75,1.842985987663269,516000,0.0,
