date,BOSC_Open,BOSC_High,BOSC_Low,BOSC_Close,BOSC_Volume,BOSC_Dividends,BOSC_Stock Splits
1996-04-02 00:00:00+00:00,760.0,810.0,600.0,660.0,16424,,
1996-04-03 00:00:00+00:00,690.0,700.0,600.0,670.0,4858,,
1996-04-04 00:00:00+00:00,600.0,670.0,600.0,600.0,1233,,
1996-04-08 00:00:00+00:00,670.0,670.0,600.0,610.0,923,,
1996-04-09 00:00:00+00:00,600.0,660.0,600.0,600.0,1535,,
1996-04-10 00:00:00+00:00,600.0,660.0,600.0,615.0,1469,,
1996-04-11 00:00:00+00:00,620.0,630.0,600.0,600.0,726,,
1996-04-12 00:00:00+00:00,600.0,630.0,600.0,620.0,604,,
1996-04-15 00:00:00+00:00,600.0,630.0,600.0,605.0,511,,
1996-04-16 00:00:00+00:00,630.0,630.0,600.0,600.0,430,,
1996-04-17 00:00:00+00:00,600.0,640.0,600.0,600.0,733,,
1996-04-18 00:00:00+00:00,600.0,640.0,600.0,620.0,239,,
1996-04-19 00:00:00+00:00,600.0,640.0,600.0,605.0,574,,
1996-04-22 00:00:00+00:00,600.0,640.0,600.0,600.0,743,,
1996-04-23 00:00:00+00:00,600.0,640.0,600.0,605.0,671,,
1996-04-24 00:00:00+00:00,600.0,640.0,600.0,600.0,769,,
1996-04-25 00:00:00+00:00,640.0,640.0,600.0,600.0,806,,
1996-04-26 00:00:00+00:00,600.0,640.0,600.0,600.0,409,,
1996-04-29 00:00:00+00:00,600.0,640.0,600.0,640.0,208,,
1996-04-30 00:00:00+00:00,600.0,640.0,600.0,620.0,584,,
1996-05-01 00:00:00+00:00,600.0,620.0,600.0,620.0,551,,
1996-05-02 00:00:00+00:00,600.0,640.0,600.0,600.0,874,,
1996-05-03 00:00:00+00:00,600.0,640.0,600.0,600.0,1826,,
1996-05-06 00:00:00+00:00,640.0,640.0,600.0,600.0,190,,
1996-05-07 00:00:00+00:00,605.0,640.0,600.0,640.0,483,,
1996-05-08 00:00:00+00:00,600.0,640.0,600.0,600.0,590,,
1996-05-09 00:00:00+00:00,640.0,640.0,600.0,640.0,850,,
