date,SPR_Open,SPR_High,SPR_Low,SPR_Close,SPR_Volume,SPR_Dividends,SPR_Stock Splits
2006-11-28 00:00:00+00:00,28.38999938964844,28.38999938964844,28.149999618530277,27.68424224853516,1080600,0.0,
2006-11-29 00:00:00+00:00,28.309999465942383,29.25,28.309999465942383,28.3785400390625,1164400,0.0,
2006-11-30 00:00:00+00:00,29.149999618530277,29.299999237060547,28.65999984741211,28.50567054748535,835500,0.0,
2006-12-01 00:00:00+00:00,29.25,29.440000534057617,29.0,28.50567054748535,928800,0.0,
2006-12-04 00:00:00+00:00,29.5,29.88999938964844,29.350000381469727,29.141307830810547,867500,0.0,
2006-12-05 00:00:00+00:00,29.899999618530277,30.440000534057617,29.799999237060547,29.59113502502441,740600,0.0,
2006-12-06 00:00:00+00:00,30.25,31.059999465942383,30.170000076293945,29.87472152709961,1034900,0.0,
2006-12-07 00:00:00+00:00,30.5,30.899999618530277,30.049999237060547,30.19742774963379,431900,0.0,
2006-12-08 00:00:00+00:00,30.950000762939453,31.63999938964844,30.8799991607666,30.344112396240234,511800,0.0,
2006-12-11 00:00:00+00:00,31.280000686645508,31.489999771118164,31.100000381469727,30.56902885437012,900600,0.0,
2006-12-12 00:00:00+00:00,31.5,31.700000762939453,30.850000381469727,30.363670349121094,351600,0.0,
2006-12-13 00:00:00+00:00,31.020000457763672,31.200000762939453,30.850000381469727,30.275659561157227,1169800,0.0,
2006-12-14 00:00:00+00:00,30.979999542236328,31.049999237060547,30.61000061035156,29.97251319885254,905800,0.0,
2006-12-15 00:00:00+00:00,30.549999237060547,30.75,29.5,30.02140617370605,2771500,0.0,
2006-12-18 00:00:00+00:00,30.700000762939453,31.75,30.57999992370605,30.109424591064453,913600,0.0,
2006-12-19 00:00:00+00:00,30.700000762939453,31.09000015258789,30.690000534057617,30.29521942138672,712700,0.0,
2006-12-20 00:00:00+00:00,30.899999618530277,31.450000762939453,30.8799991607666,30.56902885437012,339300,0.0,
2006-12-21 00:00:00+00:00,31.209999084472656,31.290000915527344,31.049999237060547,30.520137786865234,404900,0.0,
2006-12-22 00:00:00+00:00,31.149999618530277,31.3799991607666,31.01000022888184,30.63748550415039,379600,0.0,
2006-12-26 00:00:00+00:00,31.26000022888184,31.350000381469727,31.020000457763672,30.51035690307617,195500,0.0,
2006-12-27 00:00:00+00:00,31.200000762939453,31.729999542236328,31.170000076293945,30.80372810363769,202000,0.0,
2006-12-28 00:00:00+00:00,31.40999984741211,32.630001068115234,31.309999465942383,31.44913482666016,459300,0.0,
2006-12-29 00:00:00+00:00,32.25,33.650001525878906,32.06999969482422,32.73019027709961,946300,0.0,
2007-01-03 00:00:00+00:00,32.0,32.0,30.81999969482422,30.56902885437012,2457200,0.0,
2007-01-04 00:00:00+00:00,31.059999465942383,31.25,29.8700008392334,29.82582664489746,1144500,0.0,
2007-01-05 00:00:00+00:00,30.5,30.5,29.690000534057617,29.336877822875977,738400,0.0,
2007-01-08 00:00:00+00:00,29.899999618530277,30.5,29.239999771118164,29.31732940673828,1424100,0.0,
2007-01-09 00:00:00+00:00,29.899999618530277,30.200000762939453,29.8799991607666,29.38577461242676,837900,0.0,
2007-01-10 00:00:00+00:00,30.13999938964844,30.299999237060547,29.90999984741211,29.40533447265625,290700,0.0,
2007-01-11 00:00:00+00:00,30.31999969482422,31.049999237060547,30.149999618530277,29.95295524597168,412700,0.0,
2007-01-12 00:00:00+00:00,30.93000030517578,32.47999954223633,30.93000030517578,30.53969383239746,534200,0.0,
2007-01-16 00:00:00+00:00,31.299999237060547,31.540000915527344,30.5,30.15831756591797,582100,0.0,
2007-01-17 00:00:00+00:00,31.0,31.43000030517578,30.399999618530277,30.19742774963379,459900,0.0,
2007-01-18 00:00:00+00:00,30.809999465942383,31.0,30.049999237060547,29.630250930786133,320400,0.0,
