date,ALX_Open,ALX_High,ALX_Low,ALX_Close,ALX_Volume,ALX_Dividends,ALX_Stock Splits
1973-02-21 00:00:00+00:00,0.0,6.75,6.5,2.3882768154144287,5900,0.0,
1973-02-22 00:00:00+00:00,0.0,6.75,6.5,2.344049453735352,8600,0.0,
1973-02-23 00:00:00+00:00,0.0,6.75,6.5,2.344049453735352,3400,0.0,
1973-02-26 00:00:00+00:00,0.0,6.625,6.375,2.344049453735352,2900,0.0,
1973-02-27 00:00:00+00:00,0.0,6.625,6.25,2.2998218536376958,4000,0.0,
1973-02-28 00:00:00+00:00,0.0,6.625,6.25,2.2998218536376958,7600,0.0,
1973-03-01 00:00:00+00:00,0.0,6.5,6.25,2.2998218536376958,6300,0.0,
1973-03-02 00:00:00+00:00,0.0,6.5,6.25,2.2998218536376958,5200,0.0,
1973-03-05 00:00:00+00:00,0.0,6.5,6.25,2.2998218536376958,5400,0.0,
1973-03-06 00:00:00+00:00,0.0,6.5,6.25,2.25559401512146,6200,0.0,
1973-03-07 00:00:00+00:00,0.0,6.5,6.25,2.2998218536376958,3800,0.0,
1973-03-08 00:00:00+00:00,0.0,6.5,6.25,2.2998218536376958,1700,0.0,
1973-03-09 00:00:00+00:00,0.0,6.5,6.375,2.2998218536376958,3300,0.0,
1973-03-12 00:00:00+00:00,0.0,6.5,6.375,2.2998218536376958,2000,0.0,
1973-03-13 00:00:00+00:00,0.0,6.5,6.375,2.2998218536376958,1200,0.0,
1973-03-14 00:00:00+00:00,0.0,6.5,6.25,2.211367130279541,6700,0.0,
1973-03-15 00:00:00+00:00,0.0,6.25,6.125,2.211367130279541,5400,0.0,
1973-03-16 00:00:00+00:00,0.0,6.375,6.125,2.211367130279541,1100,0.0,
1973-03-19 00:00:00+00:00,0.0,6.25,6.125,2.167139768600464,1100,0.0,
1973-03-20 00:00:00+00:00,0.0,6.25,6.125,2.211367130279541,1500,0.0,
1973-03-21 00:00:00+00:00,0.0,6.125,5.875,2.1229124069213867,12400,0.0,
1973-03-22 00:00:00+00:00,0.0,6.0,5.5,2.03445816040039,10300,0.0,
1973-03-23 00:00:00+00:00,0.0,5.75,5.5,1.9902307987213133,4000,0.0,
1973-03-26 00:00:00+00:00,0.0,5.75,4.875,1.769093632698059,336000,0.0,
1973-03-27 00:00:00+00:00,0.0,5.25,4.875,1.813321590423584,57800,0.0,
