date,ATI_Open,ATI_High,ATI_Low,ATI_Close,ATI_Volume,ATI_Dividends,ATI_Stock Splits
1999-11-29 00:00:00+00:00,25.75,25.75,25.0,16.97076416015625,30700,0.0,
1999-11-30 00:00:00+00:00,25.25,25.9375,25.1875,16.928747177124023,218800,0.0,
1999-12-01 00:00:00+00:00,25.1875,25.1875,23.25,15.794562339782717,818400,0.0,
1999-12-02 00:00:00+00:00,24.25,24.375,23.75,16.256637573242188,341100,0.0,
1999-12-03 00:00:00+00:00,24.875,24.875,24.3125,16.592687606811523,425600,0.0,
1999-12-06 00:00:00+00:00,24.3125,24.6875,24.25,16.592687606811523,319400,0.0,
1999-12-07 00:00:00+00:00,24.3125,24.3125,23.5625,15.920581817626951,419900,0.0,
1999-12-08 00:00:00+00:00,23.8125,23.875,22.9375,15.416497230529783,563100,0.0,
1999-12-09 00:00:00+00:00,23.1875,23.25,22.625,15.248470306396484,411100,0.0,
1999-12-10 00:00:00+00:00,22.1875,22.75,22.1875,15.290481567382812,559800,0.0,
1999-12-13 00:00:00+00:00,22.375,22.625,21.9375,14.954421997070312,337900,0.0,
1999-12-14 00:00:00+00:00,22.125,22.125,21.375,14.53435516357422,524700,0.0,
1999-12-15 00:00:00+00:00,20.875,21.75,20.625,14.198305130004885,1119200,0.0,
1999-12-16 00:00:00+00:00,21.125,21.6875,20.4375,14.576366424560549,2292800,0.0,
1999-12-17 00:00:00+00:00,21.6875,22.0625,21.5,14.744396209716797,681800,0.0,
1999-12-20 00:00:00+00:00,21.75,21.875,21.1875,14.492356300354004,639700,0.0,
1999-12-21 00:00:00+00:00,21.5,21.5625,20.3125,13.652215003967283,423700,0.0,
1999-12-22 00:00:00+00:00,20.375,21.0,20.25,13.94626235961914,313100,0.0,
1999-12-23 00:00:00+00:00,20.875,21.125,20.875,14.156294822692873,323400,0.0,
1999-12-27 00:00:00+00:00,21.1875,21.25,20.4375,13.736230850219728,248100,0.0,
1999-12-28 00:00:00+00:00,20.375,21.3125,20.375,14.282316207885742,235900,0.0,
