date,INTZ_Open,INTZ_High,INTZ_Low,INTZ_Close,INTZ_Volume,INTZ_Dividends,INTZ_Stock Splits
1992-05-21 00:00:00+00:00,400.0,400.0,355.0,360.0,12410,,
1992-05-22 00:00:00+00:00,360.0,370.0,360.0,360.0,3458,,
1992-05-26 00:00:00+00:00,360.0,370.0,330.0,340.0,4235,,
1992-05-27 00:00:00+00:00,350.0,350.0,320.0,340.0,865,,
1992-05-28 00:00:00+00:00,330.0,350.0,330.0,340.0,2010,,
1992-05-29 00:00:00+00:00,340.0,370.0,340.0,370.0,2828,,
1992-06-01 00:00:00+00:00,370.0,375.0,360.0,360.0,2350,,
1992-06-02 00:00:00+00:00,370.0,370.0,360.0,360.0,6558,,
1992-06-03 00:00:00+00:00,360.0,370.0,360.0,360.0,1213,,
1992-06-04 00:00:00+00:00,350.0,370.0,350.0,370.0,10,,
1992-06-05 00:00:00+00:00,370.0,370.0,350.0,360.0,1010,,
1992-06-08 00:00:00+00:00,370.0,370.0,350.0,350.0,290,,
1992-06-09 00:00:00+00:00,350.0,360.0,330.0,330.0,1650,,
1992-06-10 00:00:00+00:00,360.0,360.0,330.0,330.0,1403,,
1992-06-11 00:00:00+00:00,350.0,350.0,330.0,335.0,173,,
1992-06-12 00:00:00+00:00,350.0,350.0,320.0,340.0,2258,,
1992-06-15 00:00:00+00:00,320.0,340.0,320.0,320.0,90,,
1992-06-16 00:00:00+00:00,320.0,350.0,320.0,350.0,258,,
1992-06-17 00:00:00+00:00,330.0,350.0,320.0,320.0,595,,
1992-06-18 00:00:00+00:00,350.0,350.0,340.0,340.0,105,,
1992-06-19 00:00:00+00:00,340.0,360.0,340.0,360.0,893,,
1992-06-22 00:00:00+00:00,340.0,360.0,340.0,340.0,338,,
1992-06-23 00:00:00+00:00,360.0,360.0,350.0,360.0,13,,
1992-06-24 00:00:00+00:00,340.0,360.0,340.0,340.0,198,,
1992-06-25 00:00:00+00:00,340.0,340.0,340.0,340.0,190,,
1992-06-26 00:00:00+00:00,340.0,360.0,340.0,350.0,235,,
1992-06-29 00:00:00+00:00,360.0,360.0,340.0,360.0,183,,
1992-06-30 00:00:00+00:00,340.0,340.0,340.0,340.0,38,,
1992-07-01 00:00:00+00:00,340.0,360.0,340.0,340.0,140,,
1992-07-02 00:00:00+00:00,360.0,360.0,350.0,360.0,78,,
1992-07-06 00:00:00+00:00,360.0,360.0,340.0,340.0,113,,
1992-07-07 00:00:00+00:00,360.0,360.0,340.0,350.0,318,,
1992-07-08 00:00:00+00:00,340.0,360.0,340.0,360.0,83,,
1992-07-09 00:00:00+00:00,340.0,400.0,340.0,380.0,3775,,
1992-07-10 00:00:00+00:00,430.0,430.0,390.0,400.0,4658,,
1992-07-13 00:00:00+00:00,420.0,420.0,390.0,390.0,1545,,
1992-07-14 00:00:00+00:00,420.0,420.0,400.0,415.0,1278,,
1992-07-15 00:00:00+00:00,420.0,450.0,410.0,450.0,3050,,
1992-07-16 00:00:00+00:00,450.0,480.0,440.0,460.0,3710,,
1992-07-17 00:00:00+00:00,470.0,470.0,450.0,470.0,2045,,
1992-07-20 00:00:00+00:00,450.0,500.0,450.0,480.0,790,,
1992-07-21 00:00:00+00:00,500.0,500.0,470.0,470.0,2085,,
1992-07-22 00:00:00+00:00,500.0,500.0,440.0,470.0,1770,,
1992-07-23 00:00:00+00:00,470.0,470.0,450.0,450.0,558,,
1992-07-24 00:00:00+00:00,450.0,470.0,450.0,460.0,335,,
1992-07-27 00:00:00+00:00,450.0,450.0,450.0,450.0,55,,
1992-07-28 00:00:00+00:00,450.0,500.0,450.0,500.0,4458,,
1992-07-29 00:00:00+00:00,500.0,570.0,470.0,570.0,5108,,
1992-07-30 00:00:00+00:00,580.0,580.0,530.0,560.0,1623,,
1992-07-31 00:00:00+00:00,560.0,560.0,540.0,550.0,3653,,
1992-08-03 00:00:00+00:00,560.0,560.0,540.0,560.0,843,,
1992-08-04 00:00:00+00:00,570.0,570.0,550.0,550.0,125,,
1992-08-05 00:00:00+00:00,550.0,550.0,550.0,550.0,8,,
1992-08-06 00:00:00+00:00,550.0,560.0,550.0,560.0,203,,
1992-08-07 00:00:00+00:00,560.0,560.0,520.0,520.0,825,,
1992-08-10 00:00:00+00:00,540.0,540.0,520.0,540.0,610,,
1992-08-11 00:00:00+00:00,550.0,550.0,550.0,550.0,20,,
1992-08-12 00:00:00+00:00,550.0,550.0,520.0,520.0,130,,
1992-08-13 00:00:00+00:00,520.0,550.0,520.0,550.0,30,,
1992-08-14 00:00:00+00:00,550.0,550.0,530.0,530.0,93,,
1992-08-17 00:00:00+00:00,540.0,550.0,530.0,550.0,395,,
1992-08-18 00:00:00+00:00,530.0,550.0,530.0,530.0,165,,
1992-08-19 00:00:00+00:00,550.0,550.0,530.0,545.0,605,,
1992-08-20 00:00:00+00:00,550.0,550.0,530.0,530.0,143,,
1992-08-21 00:00:00+00:00,530.0,570.0,530.0,560.0,9390,,
1992-08-24 00:00:00+00:00,580.0,580.0,550.0,570.0,1960,,
1992-08-25 00:00:00+00:00,580.0,580.0,560.0,570.0,593,,
1992-08-26 00:00:00+00:00,580.0,580.0,560.0,570.0,258,,
1992-08-27 00:00:00+00:00,580.0,660.0,570.0,640.0,3943,,
1992-08-28 00:00:00+00:00,640.0,695.0,620.0,680.0,2253,,
1992-08-31 00:00:00+00:00,680.0,700.0,660.0,690.0,2225,,
1992-09-01 00:00:00+00:00,660.0,690.0,650.0,690.0,2325,,
1992-09-02 00:00:00+00:00,660.0,690.0,660.0,680.0,1363,,
1992-09-03 00:00:00+00:00,680.0,680.0,660.0,670.0,625,,
1992-09-04 00:00:00+00:00,660.0,680.0,660.0,670.0,1623,,
1992-09-08 00:00:00+00:00,680.0,680.0,660.0,660.0,565,,
1992-09-09 00:00:00+00:00,650.0,670.0,640.0,650.0,123,,
1992-09-10 00:00:00+00:00,640.0,670.0,640.0,660.0,1250,,
1992-09-11 00:00:00+00:00,670.0,690.0,640.0,690.0,1105,,
1992-09-14 00:00:00+00:00,690.0,810.0,690.0,780.0,2553,,
1992-09-15 00:00:00+00:00,790.0,790.0,700.0,720.0,3300,,
1992-09-16 00:00:00+00:00,700.0,730.0,680.0,730.0,508,,
1992-09-17 00:00:00+00:00,730.0,730.0,700.0,725.0,573,,
1992-09-18 00:00:00+00:00,720.0,745.0,720.0,745.0,743,,
1992-09-21 00:00:00+00:00,760.0,800.0,730.0,780.0,1398,,
1992-09-22 00:00:00+00:00,790.0,790.0,710.0,710.0,918,,
1992-09-23 00:00:00+00:00,710.0,740.0,710.0,735.0,2208,,
1992-09-24 00:00:00+00:00,750.0,750.0,670.0,710.0,1810,,
1992-09-25 00:00:00+00:00,680.0,710.0,660.0,660.0,2325,,
1992-09-28 00:00:00+00:00,690.0,690.0,630.0,655.0,1188,,
