date,CTA-PB_Open,CTA-PB_High,CTA-PB_Low,CTA-PB_Close,CTA-PB_Volume,CTA-PB_Dividends,CTA-PB_Stock Splits
1973-02-21 00:00:00+00:00,69.375,69.375,69.375,10.420849800109863,300.0,0.0,
1973-02-23 00:00:00+00:00,69.75,69.75,69.75,10.477171897888184,400.0,0.0,
1973-02-26 00:00:00+00:00,69.125,69.125,69.125,10.383291244506836,800.0,0.0,
1973-02-27 00:00:00+00:00,69.0,69.0,69.0,10.36451816558838,400.0,0.0,
1973-03-01 00:00:00+00:00,69.25,69.25,69.25,10.402066230773926,1300.0,0.0,
1973-03-02 00:00:00+00:00,68.5,68.5,68.5,10.289405822753906,700.0,0.0,
1973-03-05 00:00:00+00:00,68.75,68.75,68.75,10.326961517333984,100.0,0.0,
1973-03-06 00:00:00+00:00,68.5,68.5,68.5,10.289405822753906,800.0,0.0,
1973-03-07 00:00:00+00:00,68.25,68.25,68.25,10.251858711242676,1400.0,0.0,
1973-03-08 00:00:00+00:00,68.75,68.75,68.75,10.326961517333984,200.0,0.0,
1973-03-09 00:00:00+00:00,68.375,68.375,68.375,10.27063274383545,800.0,0.0,
1973-03-12 00:00:00+00:00,68.875,68.875,68.875,10.34573745727539,200.0,0.0,
1973-03-13 00:00:00+00:00,68.375,68.375,68.375,10.27063274383545,500.0,0.0,
1973-03-14 00:00:00+00:00,68.75,68.75,68.75,10.326961517333984,500.0,0.0,
1973-03-15 00:00:00+00:00,68.75,68.75,68.75,10.326961517333984,700.0,0.0,
1973-03-16 00:00:00+00:00,68.25,68.25,68.25,10.251858711242676,1200.0,0.0,
1973-03-19 00:00:00+00:00,68.5,68.5,68.5,10.289405822753906,600.0,0.0,
1973-03-20 00:00:00+00:00,68.75,68.75,68.75,10.326961517333984,600.0,0.0,
1973-03-21 00:00:00+00:00,68.375,68.375,68.375,10.27063274383545,100.0,0.0,
1973-03-22 00:00:00+00:00,68.375,68.375,68.375,10.27063274383545,100.0,0.0,
1973-03-23 00:00:00+00:00,68.5,68.5,68.5,10.289405822753906,100.0,0.0,
1973-03-26 00:00:00+00:00,69.0,69.0,69.0,10.36451816558838,500.0,0.0,
1973-03-27 00:00:00+00:00,69.0,69.0,69.0,10.36451816558838,700.0,0.0,
1973-03-28 00:00:00+00:00,69.0,69.0,69.0,10.36451816558838,400.0,0.0,
1973-03-29 00:00:00+00:00,68.5,68.5,68.5,10.289405822753906,300.0,0.0,
1973-03-30 00:00:00+00:00,68.125,68.125,68.125,10.233080863952637,700.0,0.0,
1973-04-02 00:00:00+00:00,68.5,68.5,68.5,10.289405822753906,100.0,0.0,
1973-04-03 00:00:00+00:00,69.5,69.5,69.5,10.439623832702637,300.0,0.0,
1973-04-04 00:00:00+00:00,68.0,68.0,68.0,10.21430778503418,1000.0,0.0,
1973-04-05 00:00:00+00:00,68.0,68.0,68.0,10.21430778503418,300.0,0.0,
1973-04-06 00:00:00+00:00,68.0,68.0,68.0,10.21430778503418,200.0,0.0,
1973-04-09 00:00:00+00:00,68.0,68.0,68.0,10.21430778503418,500.0,0.0,
1973-04-10 00:00:00+00:00,68.25,68.25,68.25,10.251858711242676,100.0,0.0,
1973-04-12 00:00:00+00:00,68.5,68.5,68.5,10.289405822753906,500.0,0.0,
1973-04-13 00:00:00+00:00,68.5,68.5,68.5,10.289405822753906,200.0,0.0,
1973-04-16 00:00:00+00:00,67.75,67.75,67.75,10.176750183105469,400.0,0.0,
1973-04-17 00:00:00+00:00,68.0,68.0,68.0,10.21430778503418,100.0,0.0,
1973-04-18 00:00:00+00:00,67.625,67.625,67.625,10.157977104187012,100.0,0.0,
1973-04-19 00:00:00+00:00,67.5,67.5,67.5,10.139200210571287,500.0,0.0,
1973-04-23 00:00:00+00:00,67.75,67.75,67.75,10.176750183105469,200.0,0.0,
1973-04-24 00:00:00+00:00,67.5,67.5,67.5,10.139200210571287,1500.0,0.0,
