date,PSTV_Open,PSTV_High,PSTV_Low,PSTV_Close,PSTV_Volume,PSTV_Dividends,PSTV_Stock Splits
2001-07-11 00:00:00+00:00,663750.0,663750.0,663750.0,663750.0,0,,
2001-07-12 00:00:00+00:00,675000.0,675000.0,675000.0,675000.0,0,,
2001-07-13 00:00:00+00:00,675000.0,675000.0,675000.0,675000.0,0,,
2001-07-16 00:00:00+00:00,689625.0,689625.0,689625.0,689625.0,0,,
2001-07-17 00:00:00+00:00,689625.0,689625.0,689625.0,689625.0,0,,
2001-07-18 00:00:00+00:00,654750.0,654750.0,654750.0,654750.0,0,,
2001-07-19 00:00:00+00:00,616500.0,616500.0,616500.0,616500.0,0,,
2001-07-20 00:00:00+00:00,595125.0,595125.0,595125.0,595125.0,0,,
2001-07-23 00:00:00+00:00,588375.0,588375.0,588375.0,588375.0,0,,
2001-07-24 00:00:00+00:00,551250.0,551250.0,551250.0,551250.0,0,,
2001-07-25 00:00:00+00:00,545625.0,545625.0,545625.0,545625.0,0,,
2001-07-26 00:00:00+00:00,580500.0,580500.0,580500.0,580500.0,0,,
2001-07-27 00:00:00+00:00,716625.0,716625.0,716625.0,716625.0,0,,
2001-07-30 00:00:00+00:00,716625.0,716625.0,716625.0,716625.0,0,,
2001-07-31 00:00:00+00:00,686250.0,686250.0,686250.0,686250.0,0,,
2001-08-01 00:00:00+00:00,686250.0,686250.0,686250.0,686250.0,0,,
2001-08-02 00:00:00+00:00,686250.0,686250.0,686250.0,686250.0,0,,
2001-08-03 00:00:00+00:00,686250.0,686250.0,686250.0,686250.0,0,,
2001-08-06 00:00:00+00:00,607500.0,607500.0,607500.0,607500.0,0,,
2001-08-07 00:00:00+00:00,590625.0,590625.0,590625.0,590625.0,0,,
2001-08-08 00:00:00+00:00,590625.0,590625.0,590625.0,590625.0,0,,
2001-08-09 00:00:00+00:00,562500.0,562500.0,562500.0,562500.0,0,,
2001-08-10 00:00:00+00:00,562500.0,562500.0,562500.0,562500.0,0,,
