date,KSS_Open,KSS_High,KSS_Low,KSS_Close,KSS_Volume,KSS_Dividends,KSS_Stock Splits
1992-05-19 00:00:00+00:00,1.75,1.75,1.65625,1.0060899257659912,18095200,0.0,
1992-05-20 00:00:00+00:00,1.765625,1.859375,1.75,1.0599874258041382,3993600,0.0,
1992-05-21 00:00:00+00:00,1.84375,1.859375,1.796875,1.0599874258041382,1164800,0.0,
1992-05-22 00:00:00+00:00,1.84375,1.90625,1.84375,1.095919132232666,729600,0.0,
1992-05-26 00:00:00+00:00,1.90625,1.90625,1.859375,1.0779534578323364,668800,0.0,
1992-05-27 00:00:00+00:00,1.875,1.921875,1.84375,1.0779534578323364,673600,0.0,
1992-05-28 00:00:00+00:00,1.875,1.90625,1.875,1.095919132232666,544800,0.0,
1992-05-29 00:00:00+00:00,1.890625,1.984375,1.890625,1.1228684186935425,292800,0.0,
1992-06-01 00:00:00+00:00,1.96875,2.0625,1.953125,1.149816870689392,1489600,0.0,
1992-06-02 00:00:00+00:00,2.0,2.03125,1.984375,1.1588000059127808,1423200,0.0,
1992-06-03 00:00:00+00:00,2.0,2.015625,1.953125,1.1318509578704834,1146400,0.0,
1992-06-04 00:00:00+00:00,1.96875,1.984375,1.953125,1.1318509578704834,408800,0.0,
1992-06-05 00:00:00+00:00,1.984375,1.984375,1.96875,1.1408342123031616,491200,0.0,
1992-06-08 00:00:00+00:00,1.984375,1.984375,1.9375,1.1318509578704834,701600,0.0,
1992-06-09 00:00:00+00:00,1.984375,1.984375,1.875,1.1049023866653442,880000,0.0,
1992-06-10 00:00:00+00:00,1.90625,1.921875,1.890625,1.1049023866653442,448800,0.0,
1992-06-11 00:00:00+00:00,1.9375,1.96875,1.921875,1.1138852834701538,208800,0.0,
1992-06-12 00:00:00+00:00,1.96875,2.0,1.953125,1.1318509578704834,518400,0.0,
1992-06-15 00:00:00+00:00,1.9375,2.015625,1.9375,1.1408342123031616,380000,0.0,
1992-06-16 00:00:00+00:00,2.0,2.0,1.90625,1.1049023866653442,216000,0.0,
