date,FBIO_Open,FBIO_High,FBIO_Low,FBIO_Close,FBIO_Volume,FBIO_Dividends,FBIO_Stock Splits
2011-11-17 00:00:00+00:00,120.0,165.0,120.0,165.0,133,,
2011-11-18 00:00:00+00:00,150.0,150.0,150.0,150.0,20,,
2011-11-21 00:00:00+00:00,150.0,150.0,150.0,150.0,0,,
2011-11-22 00:00:00+00:00,150.0,150.0,150.0,150.0,33,,
2011-11-23 00:00:00+00:00,135.0,150.0,125.4000015258789,150.0,133,,
2011-11-25 00:00:00+00:00,120.1500015258789,120.1500015258789,120.1500015258789,120.1500015258789,87,,
2011-11-28 00:00:00+00:00,150.0,150.0,150.0,150.0,33,,
2011-11-29 00:00:00+00:00,135.0,135.0,127.5,127.5,47,,
2011-11-30 00:00:00+00:00,150.0,150.0,142.5,142.5,13,,
2011-12-01 00:00:00+00:00,142.5,142.5,142.5,142.5,20,,
2011-12-02 00:00:00+00:00,142.5,142.5,142.5,142.5,47,,
2011-12-05 00:00:00+00:00,131.25,131.25,131.25,131.25,67,,
2011-12-06 00:00:00+00:00,127.5,127.5,120.0,120.0,667,,
2011-12-07 00:00:00+00:00,120.0,120.0,108.75,108.75,1453,,
2011-12-08 00:00:00+00:00,109.5,109.5,105.0,105.0,667,,
2011-12-09 00:00:00+00:00,106.5,112.5,105.0,108.0,1400,,
2011-12-12 00:00:00+00:00,108.0,112.5,108.0,108.0,253,,
2011-12-13 00:00:00+00:00,105.0,108.0,105.0,105.0,1820,,
2011-12-14 00:00:00+00:00,105.0,105.75,104.8499984741211,104.8499984741211,327,,
2011-12-15 00:00:00+00:00,97.5,98.25,75.0,97.5,1247,,
2011-12-16 00:00:00+00:00,100.5,100.5,91.5,97.5,4573,,
2011-12-19 00:00:00+00:00,97.5,97.5,83.55000305175781,90.0,4653,,
2011-12-20 00:00:00+00:00,89.69999694824219,97.5,89.69999694824219,97.5,14853,,
2011-12-21 00:00:00+00:00,103.5,104.25,90.75,95.25,1953,,
2011-12-22 00:00:00+00:00,105.0,105.0,91.6500015258789,91.6500015258789,1540,,
2011-12-23 00:00:00+00:00,90.0,98.25,90.0,95.5500030517578,533,,
2011-12-27 00:00:00+00:00,99.0,99.0,96.75,96.75,233,,
2011-12-28 00:00:00+00:00,94.6500015258789,94.6500015258789,94.5,94.5,240,,
2011-12-29 00:00:00+00:00,90.0,93.75,89.8499984741211,90.0,3107,,
2011-12-30 00:00:00+00:00,97.3499984741211,97.5,93.9000015258789,97.5,700,,
2012-01-03 00:00:00+00:00,93.75,93.75,90.0,91.5,793,,
2012-01-04 00:00:00+00:00,94.5,95.4000015258789,93.3000030517578,93.3000030517578,587,,
2012-01-05 00:00:00+00:00,90.1500015258789,94.0500030517578,88.80000305175781,94.0500030517578,533,,
2012-01-06 00:00:00+00:00,90.0,90.0,89.8499984741211,90.0,160,,
2012-01-09 00:00:00+00:00,87.0,90.0,86.25,86.25,560,,
2012-01-10 00:00:00+00:00,87.5999984741211,90.0,78.75,78.75,993,,
2012-01-11 00:00:00+00:00,82.19999694824219,82.5,76.5,78.1500015258789,1373,,
2012-01-12 00:00:00+00:00,78.0,78.75,74.25,75.0,2520,,
2012-01-13 00:00:00+00:00,77.69999694824219,90.0,75.0,76.5,2927,,
2012-01-17 00:00:00+00:00,76.05000305175781,85.5,76.05000305175781,81.0,1113,,
2012-01-18 00:00:00+00:00,80.8499984741211,89.69999694824219,80.8499984741211,89.25,1020,,
2012-01-19 00:00:00+00:00,75.0,85.94999694824219,75.0,84.75,5167,,
2012-01-20 00:00:00+00:00,85.5,105.0,84.9000015258789,100.3499984741211,13753,,
2012-01-23 00:00:00+00:00,99.75,107.8499984741211,95.25,98.5500030517578,5460,,
2012-01-24 00:00:00+00:00,97.9499969482422,98.0999984741211,89.4000015258789,89.4000015258789,6927,,
2012-01-25 00:00:00+00:00,97.5,97.5,92.25,97.3499984741211,1080,,
2012-01-26 00:00:00+00:00,97.3499984741211,102.75,94.5,98.25,2387,,
2012-01-27 00:00:00+00:00,98.25,99.3000030517578,93.0,97.5,1307,,
2012-01-30 00:00:00+00:00,95.5500030517578,98.25,95.5500030517578,95.5500030517578,2227,,
2012-01-31 00:00:00+00:00,95.6999969482422,104.25,94.9499969482422,94.9499969482422,3513,,
2012-02-01 00:00:00+00:00,98.25,104.8499984741211,98.25,98.4000015258789,2093,,
2012-02-02 00:00:00+00:00,99.0,101.25,93.0,94.8000030517578,2800,,
2012-02-03 00:00:00+00:00,94.9499969482422,97.5,94.0500030517578,94.0500030517578,1260,,
2012-02-06 00:00:00+00:00,94.0500030517578,95.6999969482422,93.0,95.5500030517578,1920,,
