date,VBIV_Open,VBIV_High,VBIV_Low,VBIV_Close,VBIV_Volume,VBIV_Dividends,VBIV_Stock Splits
2010-04-26 00:00:00+00:00,924.0,924.0,924.0,924.0,0,,
2010-04-27 00:00:00+00:00,888.0,888.0,888.0,888.0,3,,
2010-04-28 00:00:00+00:00,912.0,984.0,912.0,984.0,16,,
2010-04-29 00:00:00+00:00,996.0,996.0,996.0,996.0,5,,
2010-04-30 00:00:00+00:00,996.0,996.0,996.0,996.0,1,,
2010-05-03 00:00:00+00:00,936.0,936.0,936.0,936.0,1,,
2010-05-04 00:00:00+00:00,948.0,960.0,948.0,948.0,2,,
2010-05-05 00:00:00+00:00,912.0,912.0,912.0,912.0,1,,
2010-05-06 00:00:00+00:00,960.0,960.0,960.0,960.0,17,,
2010-05-07 00:00:00+00:00,960.0,960.0,960.0,960.0,0,,
2010-05-10 00:00:00+00:00,960.0,960.0,960.0,960.0,0,,
2010-05-11 00:00:00+00:00,960.0,960.0,960.0,960.0,0,,
2010-05-12 00:00:00+00:00,1008.0,1008.0,1008.0,1008.0,10,,
2010-05-13 00:00:00+00:00,1044.0,1044.0,996.0,996.0,13,,
2010-05-14 00:00:00+00:00,924.0,924.0,924.0,924.0,5,,
2010-05-17 00:00:00+00:00,924.0,924.0,924.0,924.0,0,,
2010-05-18 00:00:00+00:00,864.0,864.0,864.0,864.0,0,,
2010-05-19 00:00:00+00:00,864.0,864.0,864.0,864.0,4,,
2010-05-20 00:00:00+00:00,828.0,852.0,828.0,852.0,8,,
2010-05-21 00:00:00+00:00,792.0,864.0,792.0,828.0,35,,
2010-05-24 00:00:00+00:00,828.0,828.0,828.0,828.0,0,,
2010-05-25 00:00:00+00:00,828.0,828.0,828.0,828.0,0,,
2010-05-26 00:00:00+00:00,780.0,780.0,768.0,768.0,5,,
2010-05-27 00:00:00+00:00,804.0,828.0,804.0,828.0,17,,
2010-05-28 00:00:00+00:00,792.0,792.0,792.0,792.0,2,,
2010-06-01 00:00:00+00:00,792.0,852.0,792.0,804.0,31,,
2010-06-02 00:00:00+00:00,792.0,840.0,792.0,840.0,23,,
2010-06-03 00:00:00+00:00,840.0,864.0,840.0,864.0,16,,
2010-06-04 00:00:00+00:00,816.0,816.0,816.0,816.0,1,,
2010-06-07 00:00:00+00:00,804.0,804.0,804.0,804.0,3,,
2010-06-08 00:00:00+00:00,756.0,768.0,756.0,768.0,5,,
2010-06-09 00:00:00+00:00,780.0,780.0,780.0,780.0,4,,
2010-06-10 00:00:00+00:00,756.0,780.0,756.0,780.0,88,,
2010-06-11 00:00:00+00:00,744.0,744.0,744.0,744.0,4,,
2010-06-14 00:00:00+00:00,780.0,780.0,744.0,744.0,58,,
2010-06-15 00:00:00+00:00,708.0,708.0,708.0,708.0,0,,
2010-06-16 00:00:00+00:00,708.0,708.0,708.0,708.0,0,,
2010-06-17 00:00:00+00:00,684.0,684.0,684.0,684.0,8,,
2010-06-18 00:00:00+00:00,696.0,696.0,696.0,696.0,17,,
2010-06-21 00:00:00+00:00,696.0,696.0,684.0,684.0,1,,
2010-06-22 00:00:00+00:00,732.0,756.0,732.0,756.0,19,,
2010-06-23 00:00:00+00:00,720.0,720.0,696.0,696.0,32,,
2010-06-24 00:00:00+00:00,732.0,732.0,732.0,732.0,8,,
2010-06-25 00:00:00+00:00,732.0,732.0,732.0,732.0,0,,
2010-06-28 00:00:00+00:00,744.0,756.0,744.0,756.0,2,,
2010-06-29 00:00:00+00:00,732.0,732.0,708.0,732.0,30,,
2010-06-30 00:00:00+00:00,732.0,732.0,732.0,732.0,0,,
2010-07-01 00:00:00+00:00,732.0,732.0,732.0,732.0,0,,
2010-07-02 00:00:00+00:00,732.0,732.0,732.0,732.0,0,,
2010-07-06 00:00:00+00:00,684.0,696.0,648.0,648.0,20,,
2010-07-07 00:00:00+00:00,636.0,636.0,636.0,636.0,2,,
2010-07-08 00:00:00+00:00,636.0,684.0,636.0,684.0,10,,
2010-07-09 00:00:00+00:00,684.0,684.0,684.0,684.0,0,,
2010-07-12 00:00:00+00:00,672.0,672.0,672.0,672.0,8,,
2010-07-13 00:00:00+00:00,696.0,696.0,696.0,696.0,2,,
2010-07-14 00:00:00+00:00,696.0,696.0,696.0,696.0,1,,
