date,RGLS_Open,RGLS_High,RGLS_Low,RGLS_Close,RGLS_Volume,RGLS_Dividends,RGLS_Stock Splits
2012-10-09 00:00:00+00:00,532.7999877929688,532.7999877929688,508.7999877929688,525.5999755859375,297,,
2012-10-10 00:00:00+00:00,522.0,522.0,498.0,498.0,170,,
2012-10-11 00:00:00+00:00,514.7999877929688,514.7999877929688,482.3999938964844,498.0,427,,
2012-10-12 00:00:00+00:00,528.0,528.0,504.0,508.7999877929688,40,,
2012-10-15 00:00:00+00:00,511.2000122070313,525.5999755859375,504.0,508.7999877929688,476,,
2012-10-16 00:00:00+00:00,510.0,520.7999877929688,498.0,504.0,418,,
2012-10-17 00:00:00+00:00,505.2000122070313,510.0,499.2000122070313,502.7999877929688,473,,
2012-10-18 00:00:00+00:00,492.0,535.2000122070312,492.0,535.2000122070312,1130,,
2012-10-19 00:00:00+00:00,506.3999938964844,592.7999877929688,506.3999938964844,566.4000244140625,2392,,
2012-10-22 00:00:00+00:00,590.4000244140625,590.4000244140625,541.2000122070312,576.0,212,,
2012-10-23 00:00:00+00:00,580.7999877929688,588.0,554.4000244140625,580.7999877929688,165,,
2012-10-24 00:00:00+00:00,594.0,646.7999877929688,580.7999877929688,614.4000244140625,402,,
2012-10-25 00:00:00+00:00,624.0,628.7999877929688,608.4000244140625,616.7999877929688,501,,
2012-10-26 00:00:00+00:00,612.0,613.2000122070312,606.0,613.2000122070312,150,,
2012-10-31 00:00:00+00:00,624.0,624.0,518.4000244140625,573.5999755859375,292,,
2012-11-01 00:00:00+00:00,626.4000244140625,626.4000244140625,588.0,598.7999877929688,114,,
2012-11-02 00:00:00+00:00,594.0,602.4000244140625,571.2000122070312,571.2000122070312,75,,
2012-11-05 00:00:00+00:00,583.2000122070312,622.7999877929688,528.0,603.5999755859375,362,,
2012-11-06 00:00:00+00:00,601.2000122070312,608.4000244140625,580.7999877929688,600.0,168,,
2012-11-07 00:00:00+00:00,588.0,600.0,564.0,596.4000244140625,144,,
2012-11-08 00:00:00+00:00,598.7999877929688,600.0,570.0,570.0,89,,
2012-11-09 00:00:00+00:00,582.0,600.0,553.2000122070312,589.2000122070312,294,,
