date,AMPY_Open,AMPY_High,AMPY_Low,AMPY_Close,AMPY_Volume,AMPY_Dividends,AMPY_Stock Splits
2012-04-20 00:00:00+00:00,132.5,152.10000610351562,132.5,124.9643325805664,774210,0.0,
2012-04-23 00:00:00+00:00,148.0,156.0,144.39999389648438,129.96290588378906,100500,0.0,
2012-04-24 00:00:00+00:00,156.0,158.0,152.0,128.4633331298828,30580,0.0,
2012-04-25 00:00:00+00:00,154.60000610351562,157.39999389648438,152.60000610351562,127.79684448242188,35630,0.0,
2012-04-26 00:00:00+00:00,156.0,159.0,154.0,131.7957000732422,34110,0.0,
2012-04-27 00:00:00+00:00,159.60000610351562,168.10000610351562,157.6999969482422,136.21112060546875,49180,0.0,
2012-04-30 00:00:00+00:00,161.6999969482422,169.5,160.0,135.961181640625,36210,0.0,
2012-05-01 00:00:00+00:00,161.8000030517578,162.5,160.0,133.96176147460938,15200,0.0,
2012-05-02 00:00:00+00:00,160.6999969482422,161.10000610351562,151.0,126.04736328125,20110,0.0,
2012-05-03 00:00:00+00:00,149.6999969482422,149.6999969482422,141.39999389648438,121.21539306640624,26800,0.0,
2012-05-04 00:00:00+00:00,142.60000610351562,150.60000610351562,140.8000030517578,120.46561431884766,43250,0.0,
2012-05-07 00:00:00+00:00,145.89999389648438,145.89999389648438,140.3000030517578,118.46617889404295,24500,0.0,
2012-05-08 00:00:00+00:00,147.1999969482422,150.0,140.0,118.29956817626952,19450,0.0,
2012-05-09 00:00:00+00:00,140.89999389648438,142.10000610351562,140.0,117.88302612304688,11230,0.0,
2012-05-10 00:00:00+00:00,143.1999969482422,148.60000610351562,143.1999969482422,122.21511840820312,20040,0.0,
2012-05-11 00:00:00+00:00,145.60000610351562,161.3000030517578,145.60000610351562,131.4624786376953,25800,0.0,
2012-05-14 00:00:00+00:00,156.39999389648438,156.60000610351562,149.1999969482422,124.2978515625,18000,0.0,
2012-05-15 00:00:00+00:00,150.0,159.6999969482422,145.0,122.63166046142578,16100,0.0,
2012-05-16 00:00:00+00:00,148.3000030517578,151.5,143.60000610351562,122.29842376708984,14700,0.0,
2012-05-17 00:00:00+00:00,146.6999969482422,147.5,144.10000610351562,120.54891967773438,18610,0.0,
2012-05-18 00:00:00+00:00,145.60000610351562,145.60000610351562,141.0,118.71612548828124,47130,0.0,
2012-05-21 00:00:00+00:00,144.3000030517578,150.1999969482422,137.0,124.9643325805664,42360,0.0,
2012-05-22 00:00:00+00:00,150.10000610351562,150.10000610351562,146.5,122.79828643798828,21950,0.0,
2012-05-23 00:00:00+00:00,145.1999969482422,147.89999389648438,142.10000610351562,123.04821014404295,16200,0.0,
2012-05-24 00:00:00+00:00,147.39999389648438,147.39999389648438,142.60000610351562,121.79856872558594,11780,0.0,
2012-05-25 00:00:00+00:00,146.1999969482422,146.1999969482422,143.5,121.79856872558594,15800,0.0,
2012-05-29 00:00:00+00:00,148.10000610351562,159.10000610351562,148.10000610351562,129.0465087890625,22280,0.0,
2012-05-30 00:00:00+00:00,153.0,153.8000030517578,148.5,126.88046264648438,12810,0.0,
2012-05-31 00:00:00+00:00,144.0,151.0,140.0,119.46588897705078,93860,0.0,
2012-06-01 00:00:00+00:00,138.89999389648438,138.89999389648438,130.39999389648438,108.63565826416016,29460,0.0,
