date,RL_Open,RL_High,RL_Low,RL_Close,RL_Volume,RL_Dividends,RL_Stock Splits
1997-06-12 00:00:00+00:00,32.125,33.0,30.875,24.0938777923584,19963800,0.0,
1997-06-13 00:00:00+00:00,31.75,32.875,31.75,24.76314926147461,3661100,0.0,
1997-06-16 00:00:00+00:00,32.25,32.5,30.625,23.61583137512207,2481700,0.0,
1997-06-17 00:00:00+00:00,30.125,30.25,29.125,22.75532913208008,2283800,0.0,
1997-06-18 00:00:00+00:00,29.75,29.75,28.125,21.703617095947266,1749900,0.0,
1997-06-19 00:00:00+00:00,28.5,29.625,28.25,22.46849822998047,1269900,0.0,
1997-06-20 00:00:00+00:00,29.5,30.25,29.375,22.56410789489746,859100,0.0,
1997-06-23 00:00:00+00:00,29.875,29.875,28.125,21.608007431030277,725000,0.0,
1997-06-24 00:00:00+00:00,28.5,29.625,27.125,22.086055755615234,1212100,0.0,
1997-06-25 00:00:00+00:00,29.125,29.125,28.125,21.942646026611328,726600,0.0,
1997-06-26 00:00:00+00:00,28.125,28.5,27.625,21.608007431030277,534500,0.0,
1997-06-27 00:00:00+00:00,28.125,28.375,27.1875,20.843130111694336,441500,0.0,
1997-06-30 00:00:00+00:00,27.125,27.625,26.25,20.93872833251953,796900,0.0,
1997-07-01 00:00:00+00:00,27.25,27.3125,26.5,20.604093551635746,621300,0.0,
1997-07-02 00:00:00+00:00,26.9375,27.9375,26.625,21.273366928100582,818700,0.0,
1997-07-03 00:00:00+00:00,27.5625,28.1875,26.75,21.464576721191406,696800,0.0,
1997-07-07 00:00:00+00:00,28.5,28.625,27.0,20.74750518798828,1180500,0.0,
1997-07-08 00:00:00+00:00,27.25,27.6875,27.125,21.17775535583496,595000,0.0,
1997-07-09 00:00:00+00:00,27.6875,27.6875,26.375,20.365066528320312,958000,0.0,
1997-07-10 00:00:00+00:00,26.25,26.3125,25.125,19.504566192626957,1069200,0.0,
1997-07-11 00:00:00+00:00,25.625,26.125,25.375,19.839210510253903,674600,0.0,
1997-07-14 00:00:00+00:00,26.1875,26.25,25.4375,19.647979736328125,471200,0.0,
1997-07-15 00:00:00+00:00,25.3125,25.5625,25.0,19.45676612854004,513000,0.0,
1997-07-16 00:00:00+00:00,25.5625,25.5625,23.75,18.21382713317871,899600,0.0,
1997-07-17 00:00:00+00:00,24.0,26.25,23.9375,19.934812545776367,1286200,0.0,
1997-07-18 00:00:00+00:00,26.125,26.5,25.3125,19.791400909423828,346200,0.0,
1997-07-21 00:00:00+00:00,25.8125,25.8125,25.0,19.361156463623047,216600,0.0,
1997-07-22 00:00:00+00:00,25.125,25.875,25.125,19.600177764892575,351200,0.0,
1997-07-23 00:00:00+00:00,25.625,26.125,25.0,19.122129440307617,507100,0.0,
1997-07-24 00:00:00+00:00,25.0,25.75,24.25,18.835302352905277,412800,0.0,
1997-07-25 00:00:00+00:00,24.875,25.0,24.1875,18.835302352905277,253000,0.0,
1997-07-28 00:00:00+00:00,24.875,25.4375,24.375,19.313356399536133,953700,0.0,
1997-07-29 00:00:00+00:00,25.5,26.6875,25.5,20.41287422180176,1028100,0.0,
1997-07-30 00:00:00+00:00,26.8125,27.9375,26.6875,21.225568771362305,801700,0.0,
1997-07-31 00:00:00+00:00,27.875,28.0,26.6875,20.508480072021484,458400,0.0,
