date,MGYR_Open,MGYR_High,MGYR_Low,MGYR_Close,MGYR_Volume,MGYR_Dividends,MGYR_Stock Splits
2006-01-24 00:00:00+00:00,8.599509239196777,8.746929168701172,8.47665786743164,8.259017944335938,533089,0.0,
2006-01-25 00:00:00+00:00,8.804259300231934,8.804259300231934,8.607699394226074,8.259017944335938,62393,0.0,
2006-01-26 00:00:00+00:00,8.722358703613281,8.779688835144043,8.681408882141113,8.259017944335938,50061,0.0,
2006-01-27 00:00:00+00:00,8.632268905639648,8.722358703613281,8.501229286193848,8.18146800994873,44078,0.0,
2006-01-30 00:00:00+00:00,8.640459060668945,8.681408882141113,8.599509239196777,8.142694473266602,63736,0.0,
2006-01-31 00:00:00+00:00,8.640459060668945,8.673218727111816,8.599509239196777,8.18146800994873,31136,0.0,
2006-02-01 00:00:00+00:00,8.640459060668945,8.640459060668945,8.599509239196777,8.142694473266602,31624,0.0,
2006-02-02 00:00:00+00:00,8.615888595581055,8.615888595581055,8.55855941772461,8.111674308776855,74603,0.0,
2006-02-03 00:00:00+00:00,8.55855941772461,8.632268905639648,8.550369262695312,8.165959358215332,52137,0.0,
2006-02-06 00:00:00+00:00,8.640459060668945,8.640459060668945,8.607699394226074,8.18146800994873,35043,0.0,
2006-02-07 00:00:00+00:00,8.615888595581055,8.615888595581055,8.533988952636719,8.111674308776855,5495,0.0,
2006-02-08 00:00:00+00:00,8.624078750610352,8.624078750610352,8.607699394226074,8.150449752807617,1832,0.0,
2006-02-09 00:00:00+00:00,8.599509239196777,8.656839370727539,8.599509239196777,8.196980476379395,7937,0.0,
2006-02-10 00:00:00+00:00,8.599509239196777,8.624078750610352,8.599509239196777,8.158204078674316,6471,0.0,
2006-02-13 00:00:00+00:00,8.599509239196777,8.656839370727539,8.599509239196777,8.196980476379395,16117,0.0,
2006-02-14 00:00:00+00:00,8.656839370727539,8.656839370727539,8.509419441223145,8.142694473266602,8059,0.0,
2006-02-15 00:00:00+00:00,8.640459060668945,8.681408882141113,8.640459060668945,8.220244407653809,4762,0.0,
2006-02-16 00:00:00+00:00,8.648649215698242,8.681408882141113,8.648649215698242,8.196980476379395,5128,0.0,
