date,GGAL_Open,GGAL_High,GGAL_Low,GGAL_Close,GGAL_Volume,GGAL_Dividends,GGAL_Stock Splits
2000-07-25 00:00:00+00:00,17.484375,17.75,16.75,13.616458892822266,126200,0.0,
2000-07-26 00:00:00+00:00,17.25,17.5625,17.1875,13.616458892822266,28900,0.0,
2000-07-27 00:00:00+00:00,17.5,17.625,17.375,13.616458892822266,61200,0.0,
2000-07-28 00:00:00+00:00,17.5625,17.5625,17.125,13.519197463989258,146100,0.0,
2000-07-31 00:00:00+00:00,17.5,17.6875,16.875,13.762347221374512,178400,0.0,
2000-08-01 00:00:00+00:00,17.5625,18.4375,17.25,13.616458892822266,87400,0.0,
2000-08-02 00:00:00+00:00,17.75,18.0,17.6875,13.762347221374512,34800,0.0,
2000-08-03 00:00:00+00:00,17.625,17.671875,17.25,13.519197463989258,60800,0.0,
2000-08-04 00:00:00+00:00,17.375,17.5,17.25,13.421937942504885,48600,0.0,
2000-08-07 00:00:00+00:00,17.25,17.4375,17.0625,13.421937942504885,52500,0.0,
2000-08-08 00:00:00+00:00,17.125,17.5625,17.125,13.421937942504885,107500,0.0,
2000-08-09 00:00:00+00:00,17.3125,17.4375,16.75,13.178786277770996,147500,0.0,
2000-08-10 00:00:00+00:00,16.8125,17.125,16.375,12.74111270904541,184700,0.0,
2000-08-11 00:00:00+00:00,16.5625,16.5625,15.75,12.449332237243652,312500,0.0,
2000-08-14 00:00:00+00:00,15.9375,16.0,15.5625,12.108919143676758,117300,0.0,
2000-08-15 00:00:00+00:00,15.5625,15.5625,15.1875,11.963029861450195,242800,0.0,
2000-08-16 00:00:00+00:00,15.25,15.25,13.625,11.184946060180664,288500,0.0,
2000-08-17 00:00:00+00:00,14.5,15.875,14.5,12.06029224395752,488900,0.0,
2000-08-18 00:00:00+00:00,15.4375,15.4375,15.0625,11.865769386291504,183400,0.0,
2000-08-21 00:00:00+00:00,15.25,15.25,15.0,11.67125129699707,11600,0.0,
2000-08-22 00:00:00+00:00,15.0,15.8125,14.9375,12.206182479858398,129700,0.0,
2000-08-23 00:00:00+00:00,15.5625,16.25,15.25,12.449332237243652,319200,0.0,
2000-08-24 00:00:00+00:00,15.9375,16.375,15.8125,12.74111270904541,214800,0.0,
2000-08-25 00:00:00+00:00,16.375,16.5625,16.25,12.838375091552734,99700,0.0,
2000-08-28 00:00:00+00:00,16.375,16.5,16.3125,12.838375091552734,46600,0.0,
2000-08-29 00:00:00+00:00,16.375,16.625,16.25,12.838375091552734,338200,0.0,
2000-08-30 00:00:00+00:00,16.5,16.75,16.375,13.032894134521484,100800,0.0,
2000-08-31 00:00:00+00:00,16.75,18.0,16.5625,13.71372127532959,433900,0.0,
2000-09-01 00:00:00+00:00,17.75,18.125,17.6875,13.762347221374512,217800,0.0,
2000-09-05 00:00:00+00:00,17.875,17.875,17.4375,13.567828178405762,43800,0.0,
2000-09-06 00:00:00+00:00,17.5,17.625,17.140625,13.47056484222412,50900,0.0,
2000-09-07 00:00:00+00:00,17.5,17.75,16.6875,13.032894134521484,293100,0.0,
2000-09-08 00:00:00+00:00,16.6875,16.8125,16.6875,13.081525802612305,4100,0.0,
2000-09-11 00:00:00+00:00,16.75,16.8125,16.625,12.93563461303711,22300,0.0,
2000-09-12 00:00:00+00:00,16.5,16.75,16.5,12.93563461303711,51800,0.0,
2000-09-13 00:00:00+00:00,16.5625,16.625,16.125,12.838375091552734,37700,0.0,
2000-09-14 00:00:00+00:00,16.625,16.625,16.3125,12.692482948303224,32600,0.0,
2000-09-15 00:00:00+00:00,16.5,16.5625,16.5,12.838375091552734,84200,0.0,
2000-09-18 00:00:00+00:00,16.375,16.5,16.25,12.643853187561035,62700,0.0,
2000-09-19 00:00:00+00:00,16.25,16.25,15.5,12.400700569152832,191200,0.0,
2000-09-20 00:00:00+00:00,15.8125,15.8125,15.125,11.865769386291504,214200,0.0,
2000-09-21 00:00:00+00:00,15.25,15.4375,15.25,11.963029861450195,365800,0.0,
2000-09-22 00:00:00+00:00,15.1875,15.5,14.875,11.71988010406494,373000,0.0,
2000-09-25 00:00:00+00:00,15.3125,15.375,15.125,11.963029861450195,87500,0.0,
2000-09-26 00:00:00+00:00,15.0625,15.625,15.0625,11.914401054382324,111300,0.0,
2000-09-27 00:00:00+00:00,15.25,15.265625,15.0,11.67125129699707,112500,0.0,
2000-09-28 00:00:00+00:00,15.0,15.25,14.875,11.817138671875,69900,0.0,
2000-09-29 00:00:00+00:00,15.3125,15.3125,15.0,11.67125129699707,38300,0.0,
2000-10-02 00:00:00+00:00,15.375,15.375,14.8125,11.573988914489746,21800,0.0,
2000-10-03 00:00:00+00:00,15.25,15.25,14.625,11.42809772491455,213600,0.0,
2000-10-04 00:00:00+00:00,14.8125,14.875,14.625,11.476729393005373,67500,0.0,
2000-10-05 00:00:00+00:00,14.6875,14.75,14.5,11.42809772491455,188800,0.0,
2000-10-06 00:00:00+00:00,14.6875,14.6875,14.0,10.990427017211914,76400,0.0,
2000-10-09 00:00:00+00:00,14.0,14.0,13.6875,10.795906066894531,10100,0.0,
2000-10-10 00:00:00+00:00,13.9375,14.0,13.5625,10.89316749572754,171100,0.0,
2000-10-11 00:00:00+00:00,14.0,14.3125,13.625,11.087686538696287,548800,0.0,
2000-10-12 00:00:00+00:00,14.25,14.3125,13.5,10.50412368774414,1614500,0.0,
2000-10-13 00:00:00+00:00,13.625,13.8125,13.375,10.601386070251465,181500,0.0,
2000-10-16 00:00:00+00:00,13.625,13.625,13.1875,10.309605598449709,21700,0.0,
