date,FCNCA_Open,FCNCA_High,FCNCA_Low,FCNCA_Close,FCNCA_Volume,FCNCA_Dividends,FCNCA_Stock Splits
1986-10-22 00:00:00+00:00,0.0,37.0,35.0,25.07843399047852,400,0.0,
1986-10-23 00:00:00+00:00,35.0,35.0,35.0,25.07843399047852,0,0.0,
1986-10-24 00:00:00+00:00,35.0,35.0,35.0,25.07843399047852,0,0.0,
1986-10-27 00:00:00+00:00,35.0,35.0,35.0,25.07843399047852,0,0.0,
1986-10-28 00:00:00+00:00,35.0,35.0,35.0,25.07843399047852,0,0.0,
1986-10-29 00:00:00+00:00,0.0,37.0,35.5,25.436691284179688,700,0.0,
1986-10-30 00:00:00+00:00,0.0,37.5,35.5,25.436691284179688,200,0.0,
1986-10-31 00:00:00+00:00,0.0,38.5,37.0,26.511497497558597,500,0.0,
1986-11-03 00:00:00+00:00,0.0,38.0,37.0,26.511497497558597,300,0.0,
1986-11-04 00:00:00+00:00,0.0,39.0,38.0,27.22800636291504,4000,0.0,
1986-11-05 00:00:00+00:00,0.0,39.5,38.0,27.22800636291504,400,0.0,
1986-11-06 00:00:00+00:00,0.0,39.5,38.5,27.58629035949707,700,0.0,
1986-11-07 00:00:00+00:00,38.5,38.5,38.5,27.58629035949707,0,0.0,
1986-11-10 00:00:00+00:00,38.5,38.5,38.5,27.58629035949707,0,0.0,
1986-11-11 00:00:00+00:00,0.0,38.5,37.0,26.511497497558597,500,0.0,
1986-11-12 00:00:00+00:00,0.0,37.5,36.5,26.153228759765625,1700,0.0,
1986-11-13 00:00:00+00:00,0.0,36.0,34.5,24.720170974731445,500,0.0,
1986-11-14 00:00:00+00:00,0.0,36.0,34.5,24.720170974731445,200,0.0,
1986-11-17 00:00:00+00:00,0.0,35.5,34.0,24.36189842224121,1000,0.0,
1986-11-18 00:00:00+00:00,34.0,34.0,34.0,24.36189842224121,0,0.0,
1986-11-19 00:00:00+00:00,0.0,34.5,33.5,24.003637313842773,200,0.0,
1986-11-20 00:00:00+00:00,0.0,34.5,33.0,23.645383834838867,3100,0.0,
1986-11-21 00:00:00+00:00,33.0,33.0,33.0,23.645383834838867,0,0.0,
1986-11-24 00:00:00+00:00,0.0,34.5,33.0,23.645383834838867,400,0.0,
1986-11-25 00:00:00+00:00,33.0,33.0,33.0,23.645383834838867,0,0.0,
1986-11-26 00:00:00+00:00,33.0,33.0,33.0,23.645383834838867,0,0.0,
1986-11-28 00:00:00+00:00,33.0,33.0,33.0,23.645383834838867,0,0.0,
1986-12-01 00:00:00+00:00,0.0,33.5,32.0,22.928857803344727,700,0.0,
1986-12-02 00:00:00+00:00,0.0,33.5,31.0,22.212331771850582,2500,0.0,
1986-12-03 00:00:00+00:00,0.0,31.5,29.5,21.13754272460937,3700,0.0,
1986-12-04 00:00:00+00:00,0.0,28.5,27.5,19.70447158813477,1200,0.0,
1986-12-05 00:00:00+00:00,0.0,29.5,27.5,21.13754272460937,1400,0.0,
1986-12-08 00:00:00+00:00,0.0,29.0,27.5,20.779268264770508,72200,0.0,
1986-12-09 00:00:00+00:00,0.0,29.25,27.0,19.34622001647949,400,0.0,
1986-12-10 00:00:00+00:00,0.0,29.0,27.0,20.779268264770508,3400,0.0,
