date,UFPI_Open,UFPI_High,UFPI_Low,UFPI_Close,UFPI_Volume,UFPI_Dividends,UFPI_Stock Splits
1993-11-10 00:00:00+00:00,2.5,2.541666984558105,2.3333330154418945,2.0474679470062256,1327500,0.0,
1993-11-11 00:00:00+00:00,2.541666984558105,2.541666984558105,2.416666984558105,1.9467735290527344,1109700,0.0,
1993-11-12 00:00:00+00:00,2.4583330154418945,2.4583330154418945,2.3333330154418945,1.980338454246521,263100,0.0,
1993-11-15 00:00:00+00:00,2.4583330154418945,2.541666984558105,2.3333330154418945,2.0139029026031494,817500,0.0,
1993-11-16 00:00:00+00:00,2.541666984558105,2.5833330154418945,2.4583330154418945,2.0474679470062256,317100,0.0,
1993-11-17 00:00:00+00:00,2.541666984558105,2.541666984558105,2.375,1.9299912452697756,654000,0.0,
1993-11-18 00:00:00+00:00,2.4583330154418945,2.5,2.375,1.9467735290527344,181500,0.0,
1993-11-19 00:00:00+00:00,2.4583330154418945,2.4583330154418945,2.375,1.980338454246521,216000,0.0,
1993-11-22 00:00:00+00:00,2.4583330154418945,2.5,2.375,2.0139029026031494,162900,0.0,
1993-11-23 00:00:00+00:00,2.375,2.5,2.375,2.0139029026031494,187200,0.0,
1993-11-24 00:00:00+00:00,2.5,2.5,2.375,1.9132080078125,67200,0.0,
1993-11-26 00:00:00+00:00,2.5,2.5,2.375,1.9132080078125,16200,0.0,
1993-11-29 00:00:00+00:00,2.375,2.5,2.375,1.980338454246521,39900,0.0,
1993-11-30 00:00:00+00:00,2.5,2.5833330154418945,2.416666984558105,2.08103346824646,453000,0.0,
1993-12-01 00:00:00+00:00,2.5833330154418945,2.625,2.5,2.114599227905273,337500,0.0,
1993-12-02 00:00:00+00:00,2.625,2.791666984558105,2.5,2.248859643936157,295500,0.0,
1993-12-03 00:00:00+00:00,2.8333330154418945,3.0,2.75,2.416684150695801,353100,0.0,
1993-12-06 00:00:00+00:00,3.041666984558105,3.041666984558105,2.875,2.315988540649414,307200,0.0,
1993-12-07 00:00:00+00:00,2.916666984558105,2.916666984558105,2.75,2.248859643936157,665100,0.0,
1993-12-08 00:00:00+00:00,2.8333330154418945,2.916666984558105,2.75,2.3495538234710693,139800,0.0,
1993-12-09 00:00:00+00:00,2.8333330154418945,2.916666984558105,2.8333330154418945,2.282423973083496,171300,0.0,
1993-12-10 00:00:00+00:00,2.916666984558105,2.916666984558105,2.791666984558105,2.3495538234710693,38100,0.0,
