date,DUST_Open,DUST_High,DUST_Low,DUST_Close,DUST_Volume,DUST_Dividends,DUST_Stock Splits
2010-12-08 00:00:00+00:00,25300.0,26262.5,25112.5,22593.861328125,300,0.0,
2010-12-09 00:00:00+00:00,25450.0,26068.75,25431.25,22333.4140625,573,0.0,
2010-12-10 00:00:00+00:00,25993.75,26437.5,25406.25,22197.763671875,495,0.0,
2010-12-13 00:00:00+00:00,24762.5,25243.75,24456.25,21790.810546875,142,0.0,
2010-12-14 00:00:00+00:00,24993.75,25356.25,24625.0,21785.380859375,134,0.0,
2010-12-15 00:00:00+00:00,25581.25,26118.75,25150.0,22593.861328125,116,0.0,
2010-12-16 00:00:00+00:00,26200.0,27337.5,26200.0,23282.958984375,117,0.0,
2010-12-17 00:00:00+00:00,26637.5,27356.25,26518.75,23261.2578125,31,0.0,
2010-12-20 00:00:00+00:00,26425.0,26931.25,26187.5,22897.71484375,79,0.0,
2010-12-21 00:00:00+00:00,26212.5,26806.25,26200.0,22973.677734375,21,0.0,
2010-12-22 00:00:00+00:00,26431.25,27043.75,26431.25,23462.017578125,20,0.0,
2010-12-23 00:00:00+00:00,27018.75,27206.25,26268.75,23109.330078125,14,0.0,
2010-12-27 00:00:00+00:00,26600.0,27450.0,26600.0,23402.333984375,41,0.0,
2010-12-28 00:00:00+00:00,25912.5,26393.75,25450.0,22154.353515625,57,0.0,
2010-12-29 00:00:00+00:00,25356.25,25575.0,25125.0,22013.275390625,14,0.0,
2010-12-30 00:00:00+00:00,25281.25,25887.5,25131.25,22349.6875,12,0.0,
2010-12-31 00:00:00+00:00,25512.5,25606.25,25025.0,21910.18359375,42,0.0,
2011-01-03 00:00:00+00:00,24806.25,26087.5,24806.25,22409.373046875,54,0.0,
2011-01-04 00:00:00+00:00,26362.5,28112.5,26275.0,23668.2109375,90,0.0,
2011-01-05 00:00:00+00:00,27893.75,28600.0,27668.75,24275.919921875,52,0.0,
2011-01-06 00:00:00+00:00,27931.25,29568.75,27931.25,25523.8984375,88,0.0,
2011-01-07 00:00:00+00:00,29768.75,29768.75,28443.75,25534.75,93,0.0,
2011-01-10 00:00:00+00:00,29275.0,29856.25,29112.5,25366.54296875,27,0.0,
2011-01-11 00:00:00+00:00,28362.5,28787.5,28025.0,24362.736328125,34,0.0,
2011-01-12 00:00:00+00:00,27918.75,28781.25,27918.75,24433.2734375,39,0.0,
2011-01-13 00:00:00+00:00,27968.75,30350.0,27962.5,26071.923828125,69,0.0,
2011-01-14 00:00:00+00:00,30575.0,31543.75,30575.0,27124.56640625,142,0.0,
2011-01-18 00:00:00+00:00,30450.0,30593.75,29912.5,26229.279296875,102,0.0,
2011-01-19 00:00:00+00:00,29562.5,31118.75,29556.25,26712.189453125,80,0.0,
2011-01-20 00:00:00+00:00,32018.75,32862.5,31450.0,27412.146484375,246,0.0,
2011-01-21 00:00:00+00:00,31737.5,32300.0,31250.0,27998.154296875,91,0.0,
2011-01-24 00:00:00+00:00,32350.0,33243.75,31637.5,28573.30859375,179,0.0,
2011-01-25 00:00:00+00:00,33706.25,34037.5,33043.75,28958.5546875,204,0.0,
2011-01-26 00:00:00+00:00,33400.0,33462.5,30668.75,26657.931640625,277,0.0,
2011-01-27 00:00:00+00:00,30856.25,32743.75,30850.0,28052.4140625,291,0.0,
2011-01-28 00:00:00+00:00,32781.25,32837.5,30437.5,27439.279296875,255,0.0,
2011-01-31 00:00:00+00:00,31762.5,32600.0,31393.75,27829.94921875,117,0.0,
2011-02-01 00:00:00+00:00,31218.75,31881.25,29925.0,26234.703125,162,0.0,
2011-02-02 00:00:00+00:00,30156.25,31206.25,30075.0,26712.189453125,110,0.0,
2011-02-03 00:00:00+00:00,30462.5,31143.75,28843.75,25160.357421875,170,0.0,
2011-02-04 00:00:00+00:00,28606.25,29581.25,28518.75,25523.8984375,112,0.0,
2011-02-07 00:00:00+00:00,28925.0,29500.0,28793.75,25567.3046875,59,0.0,
2011-02-08 00:00:00+00:00,28531.25,28718.75,28050.0,24411.56640625,88,0.0,
2011-02-09 00:00:00+00:00,28175.0,29275.0,27843.75,25160.357421875,71,0.0,
2011-02-10 00:00:00+00:00,29656.25,30250.0,29231.25,25621.568359375,68,0.0,
