date,FORTY_Open,FORTY_High,FORTY_Low,FORTY_Close,FORTY_Volume,FORTY_Dividends,FORTY_Stock Splits
1997-10-20 00:00:00+00:00,34.5,36.5,34.5,12.084738731384276,1400,0.0,
1997-10-21 00:00:00+00:00,33.0,33.375,32.0,11.050085067749023,13300,0.0,
1997-10-22 00:00:00+00:00,33.75,34.625,33.75,11.257017135620115,13100,0.0,
1997-10-23 00:00:00+00:00,32.25,33.5,32.0,10.925928115844728,16300,0.0,
1997-10-24 00:00:00+00:00,34.25,35.25,32.75,10.843158721923828,34300,0.0,
1997-10-27 00:00:00+00:00,31.25,31.25,29.25,9.684345245361328,18100,0.0,
1997-10-28 00:00:00+00:00,26.25,29.25,26.0,9.146324157714844,22900,0.0,
1997-10-29 00:00:00+00:00,29.125,32.0,29.125,10.1395902633667,23800,0.0,
1997-10-30 00:00:00+00:00,30.25,30.75,30.0,10.015436172485352,3900,0.0,
1997-10-31 00:00:00+00:00,31.0,32.0,30.75,10.594839096069336,10100,0.0,
1997-11-03 00:00:00+00:00,33.625,36.25,33.625,11.505334854125977,4000,0.0,
1997-11-04 00:00:00+00:00,33.5,34.625,33.5,11.463948249816896,13500,0.0,
1997-11-05 00:00:00+00:00,34.625,34.75,33.375,11.091475486755373,6900,0.0,
1997-11-06 00:00:00+00:00,33.125,33.375,32.75,10.843158721923828,1100,0.0,
1997-11-07 00:00:00+00:00,32.125,32.375,31.25,10.34652328491211,5900,0.0,
1997-11-10 00:00:00+00:00,31.0,31.0,30.0,9.932662963867188,2000,0.0,
1997-11-11 00:00:00+00:00,30.0,30.0,30.0,9.932662963867188,0,0.0,
1997-11-12 00:00:00+00:00,29.625,29.625,27.875,9.22909927368164,1800,0.0,
1997-11-13 00:00:00+00:00,27.625,27.75,26.5,8.773852348327637,2300,0.0,
1997-11-14 00:00:00+00:00,26.5,27.75,25.875,9.187714576721191,7100,0.0,
1997-11-17 00:00:00+00:00,29.5,29.5,29.5,9.767117500305176,1800,0.0,
1997-11-18 00:00:00+00:00,29.5,29.5,29.5,9.767117500305176,500,0.0,
1997-11-19 00:00:00+00:00,34.75,34.75,31.25,10.594839096069336,4500,0.0,
1997-11-20 00:00:00+00:00,33.25,35.0,33.25,11.463948249816896,4900,0.0,
1997-11-21 00:00:00+00:00,34.25,34.625,33.375,11.050085067749023,4900,0.0,
1997-11-24 00:00:00+00:00,32.25,33.25,31.75,10.51206874847412,2600,0.0,
1997-11-25 00:00:00+00:00,32.5,32.5,31.25,10.760382652282717,1200,0.0,
1997-11-26 00:00:00+00:00,33.375,33.375,33.375,11.050085067749023,200,0.0,
1997-11-28 00:00:00+00:00,33.375,33.375,33.375,11.050085067749023,0,0.0,
1997-12-01 00:00:00+00:00,33.875,34.375,33.75,11.339791297912598,3900,0.0,
1997-12-02 00:00:00+00:00,33.0,33.0,33.0,10.925928115844728,700,0.0,
1997-12-03 00:00:00+00:00,33.0,33.0,33.0,10.925928115844728,0,0.0,
1997-12-04 00:00:00+00:00,33.0,33.0,33.0,10.925928115844728,0,0.0,
1997-12-05 00:00:00+00:00,33.0,33.0,33.0,10.925928115844728,0,0.0,
1997-12-08 00:00:00+00:00,33.0,33.0,33.0,10.925928115844728,0,0.0,
1997-12-09 00:00:00+00:00,33.375,34.5,33.375,11.13286018371582,6100,0.0,
1997-12-10 00:00:00+00:00,33.25,33.75,33.0,10.925928115844728,22700,0.0,
1997-12-11 00:00:00+00:00,31.5,32.0,31.0,10.594839096069336,3600,0.0,
1997-12-12 00:00:00+00:00,31.25,31.25,31.0,10.263751983642578,1900,0.0,
1997-12-15 00:00:00+00:00,31.0,31.0,30.5,10.0982084274292,1300,0.0,
1997-12-16 00:00:00+00:00,29.75,29.75,28.0,9.27048683166504,1900,0.0,
1997-12-17 00:00:00+00:00,28.0,28.0,28.0,9.27048683166504,0,0.0,
