date,PNC_Open,PNC_High,PNC_Low,PNC_Close,PNC_Volume,PNC_Dividends,PNC_Stock Splits
1975-11-17 00:00:00+00:00,0.0,2.625,2.625,0.6903592348098755,4000,0.0,
1975-11-18 00:00:00+00:00,0.0,2.5625,2.5625,0.673922061920166,39200,0.0,
1975-11-19 00:00:00+00:00,0.0,2.53125,2.53125,0.6657040119171143,22400,0.0,
1975-11-20 00:00:00+00:00,0.0,2.46875,2.46875,0.6492664813995361,24800,0.0,
1975-11-21 00:00:00+00:00,0.0,2.5,2.5,0.6574851274490356,22400,0.0,
1975-11-24 00:00:00+00:00,0.0,2.46875,2.46875,0.6492664813995361,5600,0.0,
1975-11-25 00:00:00+00:00,0.0,2.46875,2.46875,0.6492664813995361,24000,0.0,
1975-11-26 00:00:00+00:00,0.0,2.40625,2.40625,0.6328293085098267,35200,0.0,
1975-11-28 00:00:00+00:00,0.0,2.375,2.375,0.6246111989021301,19200,0.0,
1975-12-01 00:00:00+00:00,0.0,2.375,2.375,0.6246111989021301,7200,0.0,
1975-12-02 00:00:00+00:00,0.0,2.3125,2.3125,0.6081737279891968,24000,0.0,
1975-12-03 00:00:00+00:00,0.0,2.21875,2.21875,0.5835179090499878,40800,0.0,
1975-12-04 00:00:00+00:00,0.0,2.21875,2.21875,0.5835179090499878,16000,0.0,
1975-12-05 00:00:00+00:00,0.0,2.15625,2.15625,0.5670809745788574,36000,0.0,
1975-12-08 00:00:00+00:00,0.0,2.15625,2.15625,0.5670809745788574,37600,0.0,
1975-12-09 00:00:00+00:00,0.0,2.1875,2.1875,0.5752996206283569,64000,0.0,
1975-12-10 00:00:00+00:00,0.0,2.1875,2.1875,0.5752996206283569,22400,0.0,
1975-12-11 00:00:00+00:00,0.0,2.1875,2.1875,0.5752996206283569,15200,0.0,
1975-12-12 00:00:00+00:00,0.0,2.25,2.25,0.5917364954948425,119200,0.0,
1975-12-15 00:00:00+00:00,0.0,2.21875,2.21875,0.5835179090499878,45600,0.0,
1975-12-16 00:00:00+00:00,0.0,2.21875,2.21875,0.5835179090499878,53600,0.0,
1975-12-17 00:00:00+00:00,0.0,2.25,2.25,0.5917364954948425,47200,0.0,
1975-12-18 00:00:00+00:00,0.0,2.28125,2.28125,0.5999549627304077,26400,0.0,
1975-12-19 00:00:00+00:00,0.0,2.28125,2.28125,0.5999549627304077,8000,0.0,
1975-12-22 00:00:00+00:00,0.0,2.28125,2.28125,0.5999549627304077,24800,0.0,
1975-12-23 00:00:00+00:00,0.0,2.28125,2.28125,0.5999549627304077,52000,0.0,
1975-12-24 00:00:00+00:00,0.0,2.28125,2.28125,0.5999549627304077,8800,0.0,
1975-12-26 00:00:00+00:00,0.0,2.34375,2.34375,0.616392195224762,12800,0.0,
1975-12-29 00:00:00+00:00,0.0,2.34375,2.34375,0.616392195224762,8800,0.0,
1975-12-30 00:00:00+00:00,0.0,2.34375,2.34375,0.616392195224762,20000,0.0,
1975-12-31 00:00:00+00:00,0.0,2.34375,2.34375,0.616392195224762,12000,0.0,
1976-01-02 00:00:00+00:00,0.0,2.3125,2.3125,0.6081737279891968,4800,0.0,
1976-01-05 00:00:00+00:00,0.0,2.375,2.375,0.6246111989021301,27200,0.0,
1976-01-06 00:00:00+00:00,0.0,2.53125,2.53125,0.6657040119171143,65600,0.0,
1976-01-07 00:00:00+00:00,0.0,2.53125,2.53125,0.6657040119171143,25600,0.0,
1976-01-08 00:00:00+00:00,0.0,2.5625,2.5625,0.673922061920166,13600,0.0,
1976-01-09 00:00:00+00:00,0.0,2.53125,2.53125,0.6657040119171143,24800,0.0,
1976-01-12 00:00:00+00:00,0.0,2.5625,2.5625,0.673922061920166,35200,0.0,
1976-01-13 00:00:00+00:00,0.0,2.625,2.625,0.6903592348098755,23200,0.0,
1976-01-14 00:00:00+00:00,0.0,2.75,2.75,0.7232330441474915,50400,0.0,
1976-01-15 00:00:00+00:00,0.0,2.6875,2.6875,0.7067965269088745,52800,0.0,
1976-01-16 00:00:00+00:00,0.0,2.8125,2.8125,0.7396705150604248,48000,0.0,
1976-01-19 00:00:00+00:00,0.0,2.8125,2.8125,0.7396705150604248,17600,0.0,
1976-01-20 00:00:00+00:00,0.0,2.78125,2.78125,0.7314526438713074,25600,0.0,
1976-01-21 00:00:00+00:00,0.0,2.75,2.75,0.7232330441474915,19200,0.0,
1976-01-22 00:00:00+00:00,0.0,2.6875,2.6875,0.7067965269088745,23200,0.0,
1976-01-23 00:00:00+00:00,0.0,2.71875,2.71875,0.7150149345397949,32000,0.0,
1976-01-26 00:00:00+00:00,0.0,2.75,2.75,0.7232330441474915,31200,0.0,
