date,CFBK_Open,CFBK_High,CFBK_Low,CFBK_Close,CFBK_Volume,CFBK_Dividends,CFBK_Stock Splits
1998-12-30 00:00:00+00:00,296.9613342285156,303.8674011230469,290.05523681640625,206.0543670654297,1003,0.0,
1998-12-31 00:00:00+00:00,300.41436767578125,303.8674011230469,296.9613342285156,201.37130737304688,264,0.0,
1999-01-04 00:00:00+00:00,296.9613342285156,296.9613342285156,279.6961364746094,193.1759185791016,2259,0.0,
1999-01-05 00:00:00+00:00,284.8757019042969,288.3287353515625,281.4226379394531,194.9320068359375,5477,0.0,
1999-01-06 00:00:00+00:00,290.05523681640625,296.9613342285156,290.05523681640625,200.78594970703125,5151,0.0,
1999-01-07 00:00:00+00:00,296.9613342285156,296.9613342285156,293.50830078125,199.02972412109372,2056,0.0,
1999-01-08 00:00:00+00:00,295.2348022460937,298.6878356933594,295.2348022460937,202.54205322265625,840,0.0,
1999-01-11 00:00:00+00:00,293.50830078125,298.6878356933594,293.50830078125,199.02972412109372,261,0.0,
1999-01-12 00:00:00+00:00,295.2348022460937,298.6878356933594,295.2348022460937,200.2004852294922,699,0.0,
1999-01-13 00:00:00+00:00,291.7817687988281,291.7817687988281,291.7817687988281,197.85894775390625,145,0.0,
1999-01-14 00:00:00+00:00,296.9613342285156,296.9613342285156,290.05523681640625,196.68820190429688,1824,0.0,
1999-01-15 00:00:00+00:00,291.7817687988281,293.50830078125,290.05523681640625,199.02972412109372,1701,0.0,
1999-01-19 00:00:00+00:00,290.05523681640625,296.9613342285156,286.6022033691406,199.02972412109372,2147,0.0,
1999-01-20 00:00:00+00:00,293.50830078125,293.50830078125,293.50830078125,199.02972412109372,641,0.0,
1999-01-21 00:00:00+00:00,293.50830078125,295.2348022460937,291.7817687988281,199.02972412109372,1730,0.0,
1999-01-22 00:00:00+00:00,291.7817687988281,293.50830078125,290.05523681640625,196.68820190429688,804,0.0,
1999-01-25 00:00:00+00:00,291.7817687988281,293.50830078125,291.7817687988281,199.02972412109372,358,0.0,
1999-01-26 00:00:00+00:00,295.2348022460937,295.2348022460937,290.05523681640625,197.85894775390625,272,0.0,
1999-01-27 00:00:00+00:00,290.05523681640625,293.50830078125,290.05523681640625,199.02972412109372,1035,0.0,
1999-01-28 00:00:00+00:00,290.05523681640625,295.2348022460937,290.05523681640625,197.85894775390625,2863,0.0,
