date,AMTX_Open,AMTX_High,AMTX_Low,AMTX_Close,AMTX_Volume,AMTX_Dividends,AMTX_Stock Splits
2006-06-27 00:00:00+00:00,41.25,41.25,38.125,39.375,10800,,
2006-06-28 00:00:00+00:00,40.0,41.25,38.75,40.0,18080,,
2006-06-29 00:00:00+00:00,40.625,41.25,38.75,40.0,23520,,
2006-06-30 00:00:00+00:00,41.25,45.0,39.275001525878906,45.0,12800,,
2006-07-03 00:00:00+00:00,45.0,47.5,45.0,45.0,2360,,
2006-07-05 00:00:00+00:00,45.0,45.0,41.25,43.75,26000,,
2006-07-06 00:00:00+00:00,44.0,45.0,37.5,42.5,8880,,
2006-07-07 00:00:00+00:00,43.75,43.75,37.5,40.0,9440,,
2006-07-10 00:00:00+00:00,40.0,43.75,40.0,41.25,8280,,
2006-07-11 00:00:00+00:00,42.5,45.0,42.5,43.75,2800,,
2006-07-12 00:00:00+00:00,45.0,60.0,44.375,57.5,11480,,
2006-07-13 00:00:00+00:00,55.0,57.5,53.75,56.875,2400,,
2006-07-14 00:00:00+00:00,52.5,57.5,52.5,55.625,4120,,
2006-07-17 00:00:00+00:00,55.0,55.0,47.5,47.5,2680,,
2006-07-18 00:00:00+00:00,50.0,50.0,50.0,50.0,1040,,
2006-07-19 00:00:00+00:00,45.0,55.0,43.75,50.0,3640,,
2006-07-20 00:00:00+00:00,50.0,55.0,47.5,50.0,1880,,
2006-07-21 00:00:00+00:00,50.0,55.0,48.75,55.0,1240,,
2006-07-24 00:00:00+00:00,60.0,60.0,52.5,55.0,4720,,
2006-07-25 00:00:00+00:00,55.0,57.5,53.150001525878906,53.150001525878906,2800,,
2006-07-26 00:00:00+00:00,52.5,55.625,50.0,53.25,3760,,
2006-07-27 00:00:00+00:00,53.25,55.625,53.25,54.375,5480,,
2006-07-28 00:00:00+00:00,53.125,55.0,53.125,53.75,840,,
2006-07-31 00:00:00+00:00,53.75,55.0,51.875,55.0,3920,,
2006-08-01 00:00:00+00:00,55.0,57.5,53.75,57.275001525878906,5280,,
2006-08-02 00:00:00+00:00,60.0,60.0,57.5,60.0,3440,,
2006-08-03 00:00:00+00:00,60.0,60.0,56.875,57.5,1560,,
2006-08-04 00:00:00+00:00,52.5,60.0,52.5,55.0,400,,
2006-08-07 00:00:00+00:00,52.5,53.75,50.0,53.75,800,,
2006-08-08 00:00:00+00:00,55.0,55.0,48.75,50.0,2400,,
2006-08-09 00:00:00+00:00,50.0,50.0,41.875,45.0,6080,,
2006-08-10 00:00:00+00:00,42.5,51.25,42.5,47.5,2840,,
2006-08-11 00:00:00+00:00,47.5,50.0,46.25,47.5,1400,,
2006-08-14 00:00:00+00:00,47.5,50.0,45.0,47.5,1600,,
2006-08-15 00:00:00+00:00,45.0,45.0,45.0,45.0,560,,
2006-08-16 00:00:00+00:00,45.0,47.5,45.0,47.5,1040,,
2006-08-17 00:00:00+00:00,45.0,47.5,44.875,45.0,1280,,
2006-08-18 00:00:00+00:00,46.25,50.0,46.25,50.0,960,,
