date,BTCS_Open,BTCS_High,BTCS_Low,BTCS_Close,BTCS_Volume,BTCS_Dividends,BTCS_Stock Splits
2010-11-15 00:00:00+00:00,541.7999877929688,738.0,541.7999877929688,708.0559692382812,784,0.0,
2010-11-16 00:00:00+00:00,810.0,810.0,315.0,328.296630859375,2113,0.0,
2010-11-17 00:00:00+00:00,333.0,360.0,253.8000030517578,303.4525451660156,423,0.0,
2010-11-18 00:00:00+00:00,324.0,333.0,315.0,319.4237365722656,244,0.0,
2010-11-19 00:00:00+00:00,318.6000061035156,342.0,297.0,301.677978515625,136,0.0,
2010-11-22 00:00:00+00:00,306.0,333.0,270.0,266.1864318847656,169,0.0,
2010-11-23 00:00:00+00:00,288.0,288.0,234.0,234.24407958984372,147,0.0,
2010-11-24 00:00:00+00:00,252.0,252.0,234.0,234.24407958984372,152,0.0,
2010-11-26 00:00:00+00:00,243.0,252.0,237.6000061035156,239.5677947998047,15,0.0,
2010-11-29 00:00:00+00:00,234.0,243.0,162.0,177.45762634277344,155,0.0,
2010-11-30 00:00:00+00:00,180.0,198.0,180.0,195.20339965820312,33,0.0,
2010-12-01 00:00:00+00:00,198.0,216.0,180.0,195.20339965820312,59,0.0,
2010-12-02 00:00:00+00:00,198.0,198.0,180.0,193.42881774902344,54,0.0,
2010-12-03 00:00:00+00:00,196.1999969482422,196.1999969482422,180.0,177.45762634277344,45,0.0,
2010-12-06 00:00:00+00:00,144.0,180.0,144.0,177.45762634277344,39,0.0,
2010-12-07 00:00:00+00:00,180.0,180.0,144.0,159.7118682861328,60,0.0,
2010-12-08 00:00:00+00:00,145.8000030517578,162.0,126.0,133.0932159423828,345,0.0,
2010-12-09 00:00:00+00:00,162.0,162.0,120.5999984741211,133.0932159423828,129,0.0,
2010-12-10 00:00:00+00:00,144.0,144.0,135.0,141.9661102294922,72,0.0,
2010-12-13 00:00:00+00:00,144.0,144.0,126.0,127.76950073242188,67,0.0,
2010-12-14 00:00:00+00:00,149.39999389648438,153.0,140.39999389648438,138.4169464111328,144,0.0,
2010-12-15 00:00:00+00:00,135.0,144.0,135.0,141.9661102294922,16,0.0,
2010-12-16 00:00:00+00:00,144.0,153.0,138.60000610351562,136.6423797607422,143,0.0,
2010-12-17 00:00:00+00:00,138.60000610351562,138.60000610351562,138.60000610351562,136.6423797607422,1,0.0,
