date,STRT_Open,STRT_High,STRT_Low,STRT_Close,STRT_Volume,STRT_Dividends,STRT_Stock Splits
1995-02-23 00:00:00+00:00,11.5,13.25,11.5,10.449576377868652,132100,0.0,
1995-02-24 00:00:00+00:00,13.5,13.75,13.0,10.650531768798828,30100,0.0,
1995-02-27 00:00:00+00:00,13.0,13.0,12.5,10.449576377868652,55600,0.0,
1995-02-28 00:00:00+00:00,13.25,14.0,12.75,10.248624801635742,175700,0.0,
1995-03-01 00:00:00+00:00,13.25,13.25,11.5,9.243855476379396,291800,0.0,
1995-03-02 00:00:00+00:00,12.0,12.5,11.0,9.44481086730957,401200,0.0,
1995-03-03 00:00:00+00:00,11.25,11.75,11.25,9.04290008544922,121600,0.0,
1995-03-06 00:00:00+00:00,11.625,11.625,11.25,9.243855476379396,81000,0.0,
1995-03-07 00:00:00+00:00,11.625,11.625,10.75,9.04290008544922,281000,0.0,
1995-03-08 00:00:00+00:00,10.5,11.0,10.25,8.540517807006836,525600,0.0,
1995-03-09 00:00:00+00:00,11.0,11.0,10.25,8.339564323425293,221600,0.0,
1995-03-10 00:00:00+00:00,10.25,10.75,10.25,8.540517807006836,107000,0.0,
1995-03-13 00:00:00+00:00,10.75,11.25,10.5,8.841949462890625,145700,0.0,
1995-03-14 00:00:00+00:00,11.5,12.0,11.0,9.04290008544922,106600,0.0,
1995-03-15 00:00:00+00:00,11.75,12.0,11.25,9.44481086730957,186300,0.0,
1995-03-16 00:00:00+00:00,11.5,12.0,11.25,9.243855476379396,135100,0.0,
1995-03-17 00:00:00+00:00,11.25,12.0,11.25,9.193614959716797,179200,0.0,
1995-03-20 00:00:00+00:00,12.0,12.0,11.125,8.942425727844238,145700,0.0,
1995-03-21 00:00:00+00:00,11.125,11.75,11.0,8.841949462890625,86000,0.0,
1995-03-22 00:00:00+00:00,11.125,11.75,11.125,8.942425727844238,101900,0.0,
1995-03-23 00:00:00+00:00,11.125,11.5,10.875,8.741472244262695,148300,0.0,
1995-03-24 00:00:00+00:00,11.125,11.125,10.25,8.440042495727539,246900,0.0,
1995-03-27 00:00:00+00:00,10.5,11.0,10.25,8.440042495727539,57400,0.0,
1995-03-28 00:00:00+00:00,11.0,11.0,10.375,8.540517807006836,91500,0.0,
1995-03-29 00:00:00+00:00,10.5,11.0,10.375,8.540517807006836,113100,0.0,
1995-03-30 00:00:00+00:00,11.0,11.0,10.5,8.440042495727539,61700,0.0,
1995-03-31 00:00:00+00:00,11.0,11.25,10.5,9.04290008544922,79700,0.0,
1995-04-03 00:00:00+00:00,11.25,11.25,10.75,8.841949462890625,78400,0.0,
1995-04-04 00:00:00+00:00,11.25,12.0,11.0,9.54528522491455,147400,0.0,
1995-04-05 00:00:00+00:00,11.875,12.25,11.375,9.54528522491455,34500,0.0,
1995-04-06 00:00:00+00:00,12.25,12.25,11.5,9.846715927124023,107800,0.0,
1995-04-07 00:00:00+00:00,11.75,12.25,11.5,9.294095993041992,51000,0.0,
1995-04-10 00:00:00+00:00,11.5,11.875,11.5,9.44481086730957,18200,0.0,
1995-04-11 00:00:00+00:00,11.5,11.875,11.5,9.243855476379396,49400,0.0,
1995-04-12 00:00:00+00:00,11.875,11.875,11.5,9.243855476379396,179200,0.0,
1995-04-13 00:00:00+00:00,11.75,11.75,11.5,9.34433364868164,12500,0.0,
1995-04-17 00:00:00+00:00,11.5,11.75,11.25,9.243855476379396,41900,0.0,
1995-04-18 00:00:00+00:00,11.5,11.5,11.0,9.04290008544922,36200,0.0,
1995-04-19 00:00:00+00:00,11.0,11.25,10.75,9.04290008544922,102000,0.0,
1995-04-20 00:00:00+00:00,11.25,11.25,10.75,8.841949462890625,67400,0.0,
1995-04-21 00:00:00+00:00,10.75,11.25,10.5,8.841949462890625,25900,0.0,
1995-04-24 00:00:00+00:00,10.5,11.0,10.5,8.490279197692871,47300,0.0,
1995-04-25 00:00:00+00:00,10.75,11.0,10.5,8.841949462890625,94700,0.0,
1995-04-26 00:00:00+00:00,11.0,12.0,10.75,9.54528522491455,86500,0.0,
1995-04-27 00:00:00+00:00,12.0,12.0,11.5,9.243855476379396,20400,0.0,
1995-04-28 00:00:00+00:00,12.0,12.0,11.5,9.34433364868164,40600,0.0,
1995-05-01 00:00:00+00:00,12.0,12.0,11.25,9.645764350891112,29600,0.0,
1995-05-02 00:00:00+00:00,11.75,12.0,11.25,9.645764350891112,20400,0.0,
1995-05-03 00:00:00+00:00,12.0,12.0,11.5,9.645764350891112,11300,0.0,
1995-05-04 00:00:00+00:00,12.0,12.25,11.5,9.243855476379396,52700,0.0,
1995-05-05 00:00:00+00:00,11.5,12.0,11.25,9.04290008544922,11700,0.0,
1995-05-08 00:00:00+00:00,11.25,12.0,11.25,9.645764350891112,30700,0.0,
1995-05-09 00:00:00+00:00,12.0,12.0,11.25,9.243855476379396,23400,0.0,
1995-05-10 00:00:00+00:00,11.5,12.25,11.25,9.44481086730957,38400,0.0,
1995-05-11 00:00:00+00:00,12.25,12.25,11.75,9.645764350891112,4400,0.0,
1995-05-12 00:00:00+00:00,12.25,12.5,11.75,10.047672271728516,9800,0.0,
1995-05-15 00:00:00+00:00,12.5,12.5,12.0,9.645764350891112,12200,0.0,
1995-05-16 00:00:00+00:00,12.5,12.625,12.0,10.047672271728516,77300,0.0,
1995-05-17 00:00:00+00:00,13.0,13.0,12.25,10.248624801635742,58700,0.0,
1995-05-18 00:00:00+00:00,13.0,13.0,12.25,9.846715927124023,18200,0.0,
1995-05-19 00:00:00+00:00,12.75,13.0,12.25,10.248624801635742,17100,0.0,
1995-05-22 00:00:00+00:00,13.0,13.0,12.25,10.449576377868652,9300,0.0,
1995-05-23 00:00:00+00:00,12.25,13.0,12.25,10.34910011291504,24100,0.0,
1995-05-24 00:00:00+00:00,12.5,13.0,12.5,10.047672271728516,6200,0.0,
1995-05-25 00:00:00+00:00,13.0,13.0,12.5,10.34910011291504,29300,0.0,
1995-05-26 00:00:00+00:00,12.5625,13.0,12.5,10.449576377868652,15700,0.0,
1995-05-30 00:00:00+00:00,13.0,13.0,12.25,9.846715927124023,12900,0.0,
1995-05-31 00:00:00+00:00,12.25,12.75,12.25,10.148147583007812,7000,0.0,
1995-06-01 00:00:00+00:00,12.5,13.0,12.375,9.947192192077637,69400,0.0,
1995-06-02 00:00:00+00:00,13.0,13.125,12.5,10.34910011291504,6000,0.0,
1995-06-05 00:00:00+00:00,13.0,13.25,12.5,10.650531768798828,41200,0.0,
1995-06-06 00:00:00+00:00,12.875,13.375,12.875,10.550052642822266,141300,0.0,
1995-06-07 00:00:00+00:00,13.375,13.375,12.875,10.449576377868652,102400,0.0,
1995-06-08 00:00:00+00:00,12.625,13.0,12.625,10.248624801635742,8300,0.0,
