date,MFA_Open,MFA_High,MFA_Low,MFA_Close,MFA_Volume,MFA_Dividends,MFA_Stock Splits
1998-04-13 00:00:00+00:00,37.0,37.25,36.0,1.7421059608459473,3000,0.0,
1998-04-14 00:00:00+00:00,37.25,37.25,36.5,1.7421059608459473,3800,0.0,
1998-04-15 00:00:00+00:00,36.25,36.5,36.0,1.7421059608459473,2475,0.0,
1998-04-16 00:00:00+00:00,36.25,36.25,36.0,1.7182416915893557,2950,0.0,
1998-04-17 00:00:00+00:00,36.25,37.0,36.25,1.7301733493804932,3450,0.0,
1998-04-20 00:00:00+00:00,37.0,37.25,36.5,1.7779027223587036,11200,0.0,
1998-04-21 00:00:00+00:00,37.25,37.5,36.75,1.7898350954055786,5875,0.0,
1998-04-22 00:00:00+00:00,38.5,39.25,37.75,1.8733607530593872,8125,0.0,
1998-04-23 00:00:00+00:00,39.25,39.25,36.25,1.7540380954742432,7225,0.0,
1998-04-24 00:00:00+00:00,37.5,38.75,37.25,1.837564706802368,4850,0.0,
1998-04-27 00:00:00+00:00,39.0,39.0,37.5,1.8136991262435915,5775,0.0,
1998-04-28 00:00:00+00:00,38.25,38.75,38.0,1.8494954109191892,4025,0.0,
1998-04-29 00:00:00+00:00,38.25,39.25,38.25,1.837564706802368,2975,0.0,
1998-04-30 00:00:00+00:00,38.25,38.75,38.25,1.8494954109191892,1075,0.0,
1998-05-01 00:00:00+00:00,39.0,39.5,38.5,1.837564706802368,2750,0.0,
1998-05-04 00:00:00+00:00,38.25,38.75,38.25,1.837564706802368,700,0.0,
1998-05-05 00:00:00+00:00,38.25,38.5,38.0,1.8256319761276243,6100,0.0,
1998-05-06 00:00:00+00:00,38.25,38.75,37.0,1.765970230102539,5400,0.0,
1998-05-07 00:00:00+00:00,37.25,37.25,36.0,1.7182416915893557,4625,0.0,
1998-05-08 00:00:00+00:00,36.0,38.0,36.0,1.8136991262435915,3500,0.0,
1998-05-11 00:00:00+00:00,38.0,38.5,36.25,1.837564706802368,5300,0.0,
1998-05-12 00:00:00+00:00,38.5,38.5,36.5,1.8017672300338743,8325,0.0,
1998-05-13 00:00:00+00:00,38.0,38.0,37.25,1.8017672300338743,4800,0.0,
1998-05-14 00:00:00+00:00,37.5,37.75,37.25,1.7898350954055786,1175,0.0,
1998-05-15 00:00:00+00:00,37.25,38.25,37.25,1.8017672300338743,4600,0.0,
1998-05-18 00:00:00+00:00,37.5,39.75,37.5,1.7898350954055786,6700,0.0,
1998-05-19 00:00:00+00:00,38.75,39.5,37.25,1.7779027223587036,7450,0.0,
1998-05-20 00:00:00+00:00,37.75,37.75,36.0,1.7421059608459473,7050,0.0,
1998-05-21 00:00:00+00:00,36.25,36.5,36.0,1.7421059608459473,3300,0.0,
1998-05-22 00:00:00+00:00,36.5,36.5,36.0,1.7421059608459473,2550,0.0,
1998-05-26 00:00:00+00:00,37.0,39.0,36.5,1.7421059608459473,8125,0.0,
1998-05-27 00:00:00+00:00,36.75,37.25,36.25,1.7540380954742432,1450,0.0,
1998-05-28 00:00:00+00:00,37.0,38.5,37.0,1.765970230102539,5800,0.0,
1998-05-29 00:00:00+00:00,37.25,39.0,36.75,1.7540380954742432,4450,0.0,
1998-06-01 00:00:00+00:00,37.0,37.25,36.5,1.7540380954742432,2050,0.0,
1998-06-02 00:00:00+00:00,36.75,37.75,36.75,1.7540380954742432,775,0.0,
1998-06-03 00:00:00+00:00,37.0,37.5,37.0,1.765970230102539,1050,0.0,
1998-06-04 00:00:00+00:00,37.5,37.5,36.5,1.7540380954742432,1825,0.0,
1998-06-05 00:00:00+00:00,36.5,36.75,36.25,1.7301733493804932,1475,0.0,
1998-06-08 00:00:00+00:00,36.0,36.25,35.75,1.7063090801239014,3750,0.0,
1998-06-09 00:00:00+00:00,36.0,36.0,35.5,1.7063090801239014,4600,0.0,
1998-06-10 00:00:00+00:00,35.25,35.75,35.0,1.7063090801239014,4725,0.0,
1998-06-11 00:00:00+00:00,35.5,35.75,35.5,1.7063090801239014,3300,0.0,
1998-06-12 00:00:00+00:00,35.75,35.75,35.0,1.6705126762390137,3950,0.0,
1998-06-15 00:00:00+00:00,35.0,35.0,33.0,1.575054407119751,6300,0.0,
1998-06-16 00:00:00+00:00,32.75,34.25,32.75,1.575054407119751,9300,0.0,
1998-06-17 00:00:00+00:00,33.0,33.5,32.0,1.5273255109786987,6150,0.0,
1998-06-18 00:00:00+00:00,32.0,32.5,32.0,1.5392582416534424,4175,0.0,
1998-06-19 00:00:00+00:00,32.0,32.0,30.0,1.4318678379058838,10100,0.0,
1998-06-22 00:00:00+00:00,30.5,31.5,29.75,1.4438002109527588,9100,0.0,
1998-06-23 00:00:00+00:00,30.25,31.0,29.5,1.4318678379058838,13000,0.0,
1998-06-24 00:00:00+00:00,30.0,31.25,30.0,1.4676647186279297,2950,0.0,
