date,MDL_Open,MDL_High,MDL_Low,MDL_Close,MDL_Volume,MDL_Dividends,MDL_Stock Splits
1996-08-08 00:00:00+00:00,22.0,25.0,22.0,25.0,100.0,,
1996-08-12 00:00:00+00:00,25.0,25.0,25.0,25.0,0.0,,
1996-08-13 00:00:00+00:00,23.200000762939453,23.200000762939453,23.200000762939453,23.200000762939453,100.0,,
1996-08-14 00:00:00+00:00,24.0,24.0,23.200000762939453,23.200000762939453,175.0,,
1996-08-15 00:00:00+00:00,23.200000762939453,23.200000762939453,22.200000762939453,22.200000762939453,500.0,,
1996-08-16 00:00:00+00:00,24.0,24.0,23.0,23.0,325.0,,
1996-08-21 00:00:00+00:00,24.399999618530277,26.0,24.399999618530277,26.0,350.0,,
1996-08-22 00:00:00+00:00,26.0,27.399999618530277,26.0,26.0,3400.0,,
1996-08-23 00:00:00+00:00,27.799999237060547,27.799999237060547,26.0,26.0,650.0,,
1996-08-27 00:00:00+00:00,28.799999237060547,29.0,28.0,29.0,2600.0,,
1996-09-03 00:00:00+00:00,23.200000762939453,23.200000762939453,23.0,23.0,200.0,,
1996-09-04 00:00:00+00:00,22.200000762939453,22.200000762939453,22.200000762939453,22.200000762939453,150.0,,
1996-09-05 00:00:00+00:00,23.0,23.0,23.0,23.0,625.0,,
1996-09-06 00:00:00+00:00,23.0,23.0,23.0,23.0,0.0,,
1996-09-09 00:00:00+00:00,20.600000381469727,20.600000381469727,20.399999618530277,20.399999618530277,525.0,,
1996-09-17 00:00:00+00:00,30.0,30.0,25.399999618530277,27.0,550.0,,
1996-09-19 00:00:00+00:00,28.0,29.0,28.0,28.0,575.0,,
1996-09-20 00:00:00+00:00,29.0,30.600000381469727,29.0,30.600000381469727,1025.0,,
1996-09-23 00:00:00+00:00,29.0,30.0,29.0,29.799999237060547,1075.0,,
1996-09-24 00:00:00+00:00,29.600000381469727,29.600000381469727,27.0,28.600000381469727,400.0,,
1996-09-25 00:00:00+00:00,26.0,26.0,26.0,26.0,50.0,,
1996-09-26 00:00:00+00:00,26.0,26.0,26.0,26.0,0.0,,
1996-09-27 00:00:00+00:00,26.0,26.0,26.0,26.0,0.0,,
1996-09-30 00:00:00+00:00,27.600000381469727,27.600000381469727,27.600000381469727,27.600000381469727,0.0,,
1996-10-01 00:00:00+00:00,25.0,26.0,25.0,26.0,150.0,,
1996-10-03 00:00:00+00:00,24.0,24.0,24.0,24.0,100.0,,
1996-10-07 00:00:00+00:00,24.200000762939453,24.200000762939453,24.200000762939453,24.200000762939453,375.0,,
1996-10-08 00:00:00+00:00,25.0,25.0,24.0,24.0,300.0,,
1996-10-09 00:00:00+00:00,26.0,26.0,26.0,26.0,75.0,,
1996-10-10 00:00:00+00:00,24.0,24.0,24.0,24.0,150.0,,
1996-10-11 00:00:00+00:00,25.200000762939453,26.0,25.200000762939453,26.0,225.0,,
1996-10-15 00:00:00+00:00,26.0,26.0,26.0,26.0,0.0,,
