date,ESS_Open,ESS_High,ESS_Low,ESS_Close,ESS_Volume,ESS_Dividends,ESS_Stock Splits
1994-06-07 00:00:00+00:00,19.125,19.625,19.125,5.666338920593262,1595400,0.0,
1994-06-08 00:00:00+00:00,19.375,19.375,19.125,5.629782676696777,162400,0.0,
1994-06-09 00:00:00+00:00,19.25,19.25,19.125,5.629782676696777,76200,0.0,
1994-06-10 00:00:00+00:00,19.25,19.25,19.0,5.593225479125977,110500,0.0,
1994-06-13 00:00:00+00:00,19.125,19.125,19.0,5.593225479125977,51200,0.0,
1994-06-14 00:00:00+00:00,19.125,19.25,19.125,5.629782676696777,28100,0.0,
1994-06-15 00:00:00+00:00,19.25,19.5,19.125,5.629782676696777,96700,0.0,
1994-06-16 00:00:00+00:00,19.25,19.25,19.125,5.593225479125977,19800,0.0,
1994-06-17 00:00:00+00:00,19.125,19.25,19.0,5.556665897369385,56000,0.0,
1994-06-20 00:00:00+00:00,19.0,19.125,19.0,5.593225479125977,43500,0.0,
1994-06-21 00:00:00+00:00,19.125,19.125,19.0,5.556665897369385,34700,0.0,
1994-06-22 00:00:00+00:00,19.0,19.125,19.0,5.556665897369385,29500,0.0,
1994-06-23 00:00:00+00:00,19.0,19.125,18.75,5.483552932739258,67900,0.0,
1994-06-24 00:00:00+00:00,18.625,18.625,18.125,5.3738789558410645,72500,0.0,
1994-06-27 00:00:00+00:00,18.375,18.375,17.25,5.2276530265808105,70100,0.0,
1994-06-28 00:00:00+00:00,17.875,18.125,17.5,5.154538631439209,64700,0.0,
1994-06-29 00:00:00+00:00,17.75,18.125,17.75,5.2276530265808105,25100,0.0,
1994-06-30 00:00:00+00:00,17.875,18.0,17.625,5.154538631439209,26100,0.0,
1994-07-01 00:00:00+00:00,17.625,17.75,17.375,5.191096782684326,25500,0.0,
1994-07-05 00:00:00+00:00,17.75,17.875,17.75,5.2276530265808105,2900,0.0,
1994-07-06 00:00:00+00:00,17.875,17.875,17.5,5.154538631439209,33600,0.0,
1994-07-07 00:00:00+00:00,17.625,17.875,17.625,5.154538631439209,30500,0.0,
1994-07-08 00:00:00+00:00,17.625,17.875,17.625,5.154538631439209,30200,0.0,
1994-07-11 00:00:00+00:00,17.625,17.875,17.5,5.191096782684326,29300,0.0,
1994-07-12 00:00:00+00:00,17.75,17.875,17.625,5.191096782684326,11700,0.0,
1994-07-13 00:00:00+00:00,17.75,17.875,17.625,5.191096782684326,37800,0.0,
1994-07-14 00:00:00+00:00,17.75,17.875,17.625,5.2276530265808105,24600,0.0,
1994-07-15 00:00:00+00:00,17.875,18.0,17.875,5.2642107009887695,15000,0.0,
1994-07-18 00:00:00+00:00,18.0,18.0,17.875,5.2642107009887695,22900,0.0,
1994-07-19 00:00:00+00:00,18.0,18.5,18.0,5.410439014434815,25700,0.0,
1994-07-20 00:00:00+00:00,18.5,18.5,18.125,5.337327003479004,15900,0.0,
1994-07-21 00:00:00+00:00,18.25,18.25,18.0,5.337327003479004,16000,0.0,
1994-07-22 00:00:00+00:00,18.25,18.5,18.25,5.3738789558410645,18800,0.0,
1994-07-25 00:00:00+00:00,18.375,18.5,18.25,5.410439014434815,20100,0.0,
