date,SDOW_Open,SDOW_High,SDOW_Low,SDOW_Close,SDOW_Volume,SDOW_Dividends,SDOW_Stock Splits
2010-02-11 00:00:00+00:00,20692.48046875,20759.0390625,19860.48046875,17888.84765625,19,0.0,
2010-02-12 00:00:00+00:00,20572.16015625,20728.3203125,20154.880859375,18219.0625,14,0.0,
2010-02-16 00:00:00+00:00,19809.279296875,19824.640625,19095.0390625,17168.802734375,24,0.0,
2010-02-17 00:00:00+00:00,19002.880859375,19056.640625,18810.880859375,16934.896484375,22,0.0,
2010-02-18 00:00:00+00:00,18979.83984375,18979.83984375,18380.80078125,16496.90625,93,0.0,
2010-02-19 00:00:00+00:00,18549.759765625,18670.080078125,18168.3203125,16451.0390625,220,0.0,
2010-02-22 00:00:00+00:00,18168.3203125,18488.3203125,18168.3203125,16538.18359375,38,0.0,
2010-02-23 00:00:00+00:00,18529.279296875,18992.640625,18293.759765625,16999.1015625,132,0.0,
2010-02-24 00:00:00+00:00,18785.279296875,18887.6796875,18360.3203125,16545.060546875,189,0.0,
2010-02-25 00:00:00+00:00,19304.9609375,19425.279296875,18711.0390625,16760.619140625,178,0.0,
2010-02-26 00:00:00+00:00,18677.759765625,18982.400390625,18567.6796875,16760.619140625,139,0.0,
2010-03-01 00:00:00+00:00,18485.759765625,18552.3203125,18237.439453125,16393.71484375,80,0.0,
2010-03-02 00:00:00+00:00,18176.0,18327.0390625,18035.19921875,16402.88671875,110,0.0,
2010-03-03 00:00:00+00:00,18147.83984375,18396.16015625,17971.19921875,16409.763671875,70,0.0,
2010-03-04 00:00:00+00:00,18211.83984375,18278.400390625,18048.0,16178.1572265625,47,0.0,
2010-03-05 00:00:00+00:00,17920.0,17920.0,17405.439453125,15611.75,318,0.0,
2010-03-08 00:00:00+00:00,17423.359375,17500.16015625,17423.359375,15671.3720703125,31,0.0,
2010-03-09 00:00:00+00:00,17510.400390625,17528.3203125,17254.400390625,15602.576171875,83,0.0,
2010-03-10 00:00:00+00:00,17369.599609375,17512.9609375,17254.400390625,15572.765625,75,0.0,
2010-03-11 00:00:00+00:00,17461.759765625,17635.83984375,17154.560546875,15366.3837890625,101,0.0,
2010-03-12 00:00:00+00:00,16939.51953125,17213.439453125,16939.51953125,15311.34765625,172,0.0,
2010-03-15 00:00:00+00:00,17131.51953125,17290.240234375,16995.83984375,15231.0859375,52,0.0,
2010-03-16 00:00:00+00:00,16924.16015625,17082.880859375,16752.640625,15006.3603515625,122,0.0,
2010-03-17 00:00:00+00:00,16668.16015625,16668.16015625,16407.0390625,14855.01171875,69,0.0,
2010-03-18 00:00:00+00:00,16514.560546875,16532.48046875,16330.240234375,14648.6298828125,71,0.0,
2010-03-19 00:00:00+00:00,16535.0390625,16698.880859375,16174.080078125,14811.4404296875,144,0.0,
2010-03-22 00:00:00+00:00,16701.439453125,16724.48046875,16227.83984375,14589.0078125,127,0.0,
2010-03-23 00:00:00+00:00,16222.7197265625,16284.16015625,15838.7197265625,14206.05078125,136,0.0,
2010-03-24 00:00:00+00:00,15979.51953125,16107.51953125,15869.4404296875,14387.208984375,68,0.0,
2010-03-25 00:00:00+00:00,15772.16015625,16066.5595703125,15564.7998046875,14364.2763671875,125,0.0,
2010-03-26 00:00:00+00:00,15948.7998046875,16122.8798828125,15764.48046875,14320.7080078125,75,0.0,
2010-03-29 00:00:00+00:00,15843.83984375,15861.759765625,15736.3203125,14141.841796875,79,0.0,
2010-03-30 00:00:00+00:00,15800.3203125,15877.1201171875,15242.240234375,14128.0830078125,52,0.0,
2010-03-31 00:00:00+00:00,15843.83984375,16046.080078125,15779.83984375,14311.5361328125,129,0.0,
2010-04-01 00:00:00+00:00,15651.83984375,15902.7197265625,15526.400390625,14011.1337890625,75,0.0,
2010-04-05 00:00:00+00:00,15516.16015625,15646.7197265625,15393.2802734375,13839.1455078125,53,0.0,
2010-04-06 00:00:00+00:00,15585.2802734375,15621.1201171875,15393.2802734375,13855.19921875,154,0.0,
