date,NURO_Open,NURO_High,NURO_Low,NURO_Close,NURO_Volume,NURO_Dividends,NURO_Stock Splits
2004-07-22 00:00:00+00:00,751104.0,754790.375,705945.625,730198.5625,9,0.0,
2004-07-23 00:00:00+00:00,749260.8125,751104.0,723456.0,730198.5625,1,0.0,
2004-07-26 00:00:00+00:00,737280.0,748339.1875,737280.0,736548.125,0,0.0,
2004-07-27 00:00:00+00:00,740044.8125,750182.375,740044.8125,737455.25,0,0.0,
2004-07-28 00:00:00+00:00,824832.0,824832.0,681984.0,671238.4375,2,0.0,
2004-07-29 00:00:00+00:00,709632.0,728064.0,693964.8125,716592.375,1,0.0,
2004-07-30 00:00:00+00:00,737280.0,737280.0,718848.0,725663.1875,0,0.0,
2004-08-02 00:00:00+00:00,740966.375,740966.375,706867.1875,725663.1875,0,0.0,
2004-08-03 00:00:00+00:00,723456.0,735436.8125,717004.8125,705707.4375,0,0.0,
2004-08-04 00:00:00+00:00,737280.0,737280.0,701337.625,708428.6875,1,0.0,
2004-08-05 00:00:00+00:00,728064.0,728985.625,711475.1875,702986.1875,1,0.0,
2004-08-06 00:00:00+00:00,709632.0,719769.625,709632.0,705707.4375,0,0.0,
2004-08-09 00:00:00+00:00,704102.375,723456.0,704102.375,708428.6875,0,0.0,
2004-08-10 00:00:00+00:00,704102.375,723456.0,704102.375,712057.0,0,0.0,
2004-08-11 00:00:00+00:00,703180.8125,718848.0,703180.8125,702986.1875,0,0.0,
2004-08-12 00:00:00+00:00,706867.1875,718848.0,681062.375,670331.375,0,0.0,
2004-08-13 00:00:00+00:00,672768.0,724377.625,672768.0,705707.4375,0,0.0,
2004-08-16 00:00:00+00:00,714240.0,737280.0,681062.375,725663.1875,1,0.0,
2004-08-17 00:00:00+00:00,736358.375,741888.0,715161.625,730198.5625,1,0.0,
2004-08-18 00:00:00+00:00,741888.0,741888.0,723456.0,730198.5625,0,0.0,
2004-08-19 00:00:00+00:00,741888.0,742809.625,723456.0,731105.6875,0,0.0,
2004-08-20 00:00:00+00:00,741888.0,755712.0,728064.0,725663.1875,1,0.0,
2004-08-23 00:00:00+00:00,737280.0,754790.375,718848.0,730198.5625,0,0.0,
2004-08-24 00:00:00+00:00,762163.1875,762163.1875,721612.8125,721127.8125,0,0.0,
2004-08-25 00:00:00+00:00,751104.0,751104.0,728064.0,730198.5625,0,0.0,
2004-08-26 00:00:00+00:00,740966.375,741888.0,721612.8125,725663.1875,0,0.0,
2004-08-27 00:00:00+00:00,737280.0,740044.8125,724377.625,725663.1875,0,0.0,
2004-08-30 00:00:00+00:00,726220.8125,746496.0,726220.8125,730198.5625,0,0.0,
2004-08-31 00:00:00+00:00,741888.0,746496.0,728064.0,732919.8125,0,0.0,
2004-09-01 00:00:00+00:00,743731.1875,744652.8125,741888.0,732919.8125,0,0.0,
2004-09-02 00:00:00+00:00,744652.8125,746496.0,740044.8125,728384.4375,0,0.0,
2004-09-03 00:00:00+00:00,746496.0,746496.0,737280.0,734734.0,0,0.0,
2004-09-07 00:00:00+00:00,728064.0,748339.1875,728064.0,734734.0,0,0.0,
2004-09-08 00:00:00+00:00,745574.375,751104.0,745574.375,739269.375,0,0.0,
2004-09-09 00:00:00+00:00,746496.0,774144.0,746496.0,761946.375,0,0.0,
2004-09-10 00:00:00+00:00,785203.1875,792576.0,783360.0,780087.9375,0,0.0,
