date,DEO_Open,DEO_High,DEO_Low,DEO_Close,DEO_Volume,DEO_Dividends,DEO_Stock Splits
1991-03-14 00:00:00+00:00,0.0,30.25,29.75,11.26163387298584,2524700,0.0,
1991-03-15 00:00:00+00:00,0.0,29.5,28.25,10.69381618499756,1023500,0.0,
1991-03-18 00:00:00+00:00,0.0,28.0,27.5,10.50454807281494,800100,0.0,
1991-03-19 00:00:00+00:00,0.0,27.25,26.625,10.126005172729492,1073300,0.0,
1991-03-20 00:00:00+00:00,0.0,28.0,26.625,10.457231521606444,1015400,0.0,
1991-03-21 00:00:00+00:00,0.0,28.625,28.125,10.788454055786133,1093800,0.0,
1991-03-22 00:00:00+00:00,0.0,28.25,27.875,10.646503448486328,607000,0.0,
1991-03-25 00:00:00+00:00,0.0,29.375,27.875,10.97772979736328,2384700,0.0,
1991-03-26 00:00:00+00:00,0.0,28.875,28.375,10.835770606994627,1860500,0.0,
1991-03-27 00:00:00+00:00,0.0,28.875,28.5,10.835770606994627,1204100,0.0,
1991-03-28 00:00:00+00:00,0.0,28.875,28.25,10.835770606994627,818900,0.0,
1991-04-01 00:00:00+00:00,0.0,28.875,28.5,10.835770606994627,463700,0.0,
1991-04-02 00:00:00+00:00,0.0,30.0,29.0,11.356270790100098,1069900,0.0,
1991-04-03 00:00:00+00:00,0.0,30.25,29.75,11.26163387298584,929700,0.0,
1991-04-04 00:00:00+00:00,0.0,30.25,29.75,11.403584480285645,602900,0.0,
1991-04-05 00:00:00+00:00,0.0,30.0,29.25,11.119680404663086,708500,0.0,
1991-04-08 00:00:00+00:00,0.0,29.5,29.125,11.119680404663086,451400,0.0,
1991-04-09 00:00:00+00:00,0.0,29.625,29.125,11.025044441223145,463400,0.0,
1991-04-10 00:00:00+00:00,0.0,29.375,28.875,11.072360038757324,435200,0.0,
1991-04-11 00:00:00+00:00,0.0,30.125,29.375,11.308950424194336,483000,0.0,
1991-04-12 00:00:00+00:00,0.0,30.0,29.375,11.214312553405762,808500,0.0,
1991-04-15 00:00:00+00:00,0.0,30.0,29.625,11.308950424194336,451800,0.0,
1991-04-16 00:00:00+00:00,0.0,29.625,29.125,11.166993141174316,834600,0.0,
1991-04-17 00:00:00+00:00,0.0,29.5,29.125,11.119680404663086,996400,0.0,
1991-04-18 00:00:00+00:00,0.0,29.0,28.5,10.788454055786133,598000,0.0,
1991-04-19 00:00:00+00:00,0.0,28.25,27.375,10.50454807281494,714100,0.0,
1991-04-22 00:00:00+00:00,0.0,27.5,27.0,10.267963409423828,684700,0.0,
1991-04-23 00:00:00+00:00,0.0,27.75,27.25,10.457231521606444,676800,0.0,
1991-04-24 00:00:00+00:00,0.0,27.5,27.0,10.362592697143556,587800,0.0,
1991-04-25 00:00:00+00:00,0.0,27.375,27.0,10.362592697143556,577100,0.0,
1991-04-26 00:00:00+00:00,0.0,27.25,27.0,10.315277099609377,581800,0.0,
1991-04-29 00:00:00+00:00,0.0,27.75,27.0,10.362592697143556,601900,0.0,
1991-04-30 00:00:00+00:00,0.0,27.875,27.375,10.551868438720703,659900,0.0,
1991-05-01 00:00:00+00:00,0.0,28.75,27.625,10.835770606994627,679200,0.0,
1991-05-02 00:00:00+00:00,0.0,28.875,28.375,10.93040943145752,1419500,0.0,
1991-05-03 00:00:00+00:00,0.0,28.75,28.375,10.835770606994627,445500,0.0,
1991-05-06 00:00:00+00:00,0.0,28.75,28.375,10.835770606994627,393700,0.0,
1991-05-07 00:00:00+00:00,0.0,29.125,28.75,10.97772979736328,464000,0.0,
1991-05-08 00:00:00+00:00,0.0,28.875,28.625,10.93040943145752,448800,0.0,
1991-05-09 00:00:00+00:00,0.0,29.25,28.625,11.072360038757324,571900,0.0,
1991-05-10 00:00:00+00:00,0.0,29.0,28.0,10.646503448486328,333600,0.0,
1991-05-13 00:00:00+00:00,0.0,28.25,28.0,10.646503448486328,341000,0.0,
1991-05-14 00:00:00+00:00,0.0,27.75,27.5,10.409914016723633,251400,0.0,
1991-05-15 00:00:00+00:00,0.0,27.875,27.0,10.362592697143556,915600,0.0,
1991-05-16 00:00:00+00:00,0.0,27.5,27.0,10.315277099609377,416500,0.0,
1991-05-17 00:00:00+00:00,0.0,26.75,25.875,9.842101097106934,732700,0.0,
1991-05-20 00:00:00+00:00,0.0,26.375,25.875,9.794779777526855,550900,0.0,
1991-05-21 00:00:00+00:00,0.0,26.75,26.125,10.07868766784668,467200,0.0,
