date,SIEB_Open,SIEB_High,SIEB_Low,SIEB_Close,SIEB_Volume,SIEB_Dividends,SIEB_Stock Splits
1980-03-18 00:00:00+00:00,0.765625,0.859375,0.765625,0.1570461094379425,400,0.0,
1980-03-19 00:00:00+00:00,0.765625,0.859375,0.765625,0.1570461094379425,400,0.0,
1980-03-20 00:00:00+00:00,0.765625,0.859375,0.765625,0.1570461094379425,400,0.0,
1980-03-21 00:00:00+00:00,0.765625,0.859375,0.765625,0.1570461094379425,2400,0.0,
1980-03-24 00:00:00+00:00,0.765625,0.828125,0.75,0.1538410782814026,3200,0.0,
1980-03-25 00:00:00+00:00,0.75,0.828125,0.75,0.1538410782814026,800,0.0,
1980-03-26 00:00:00+00:00,0.75,0.75,0.75,0.1538410782814026,0,0.0,
1980-03-27 00:00:00+00:00,0.75,0.828125,0.75,0.1538410782814026,400,0.0,
1980-03-28 00:00:00+00:00,0.75,0.75,0.75,0.1538410782814026,0,0.0,
1980-03-31 00:00:00+00:00,0.75,0.828125,0.75,0.1538410782814026,400,0.0,
1980-04-01 00:00:00+00:00,0.75,0.828125,0.75,0.1538410782814026,8800,0.0,
1980-04-02 00:00:00+00:00,0.75,0.828125,0.75,0.1538410782814026,2400,0.0,
1980-04-03 00:00:00+00:00,0.75,0.75,0.75,0.1538410782814026,0,0.0,
1980-04-07 00:00:00+00:00,0.75,0.8125,0.734375,0.1506361067295074,800,0.0,
1980-04-08 00:00:00+00:00,0.734375,0.8125,0.734375,0.1506361067295074,400,0.0,
1980-04-09 00:00:00+00:00,0.734375,0.734375,0.734375,0.1506361067295074,0,0.0,
1980-04-10 00:00:00+00:00,0.734375,0.734375,0.734375,0.1506361067295074,0,0.0,
1980-04-11 00:00:00+00:00,0.734375,0.734375,0.734375,0.1506361067295074,0,0.0,
1980-04-14 00:00:00+00:00,0.734375,0.734375,0.734375,0.1506361067295074,0,0.0,
1980-04-15 00:00:00+00:00,0.734375,0.8125,0.734375,0.1506361067295074,800,0.0,
1980-04-16 00:00:00+00:00,0.734375,0.734375,0.734375,0.1506361067295074,0,0.0,
1980-04-17 00:00:00+00:00,0.734375,0.8125,0.734375,0.1506361067295074,2400,0.0,
1980-04-18 00:00:00+00:00,0.734375,0.8125,0.734375,0.1506361067295074,400,0.0,
1980-04-21 00:00:00+00:00,0.734375,0.8125,0.734375,0.1506361067295074,400,0.0,
1980-04-22 00:00:00+00:00,0.734375,0.734375,0.734375,0.1506361067295074,0,0.0,
