date,PCG-PG_Open,PCG-PG_High,PCG-PG_Low,PCG-PG_Close,PCG-PG_Volume,PCG-PG_Dividends,PCG-PG_Stock Splits
2000-01-03 00:00:00+00:00,16.25,17.25,16.25,9.31666088104248,0.0,0.0,
2000-01-04 00:00:00+00:00,16.25,17.25,16.25,9.31666088104248,0.0,0.0,
2000-01-05 00:00:00+00:00,16.25,17.25,16.25,9.31666088104248,0.0,0.0,
2000-01-06 00:00:00+00:00,16.5,16.5,16.5,9.459991455078123,100.0,0.0,
2000-01-07 00:00:00+00:00,16.0,17.0,16.0,9.173327445983888,0.0,0.0,
2000-01-10 00:00:00+00:00,16.0,17.0,16.0,9.173327445983888,0.0,0.0,
2000-01-11 00:00:00+00:00,16.5,16.5,16.5,9.459991455078123,100.0,0.0,
2000-01-12 00:00:00+00:00,16.0,16.625,16.0,9.173327445983888,0.0,0.0,
2000-01-13 00:00:00+00:00,16.0,16.625,16.0,9.173327445983888,0.0,0.0,
2000-01-14 00:00:00+00:00,16.0,16.625,16.0,9.173327445983888,0.0,0.0,
2000-01-18 00:00:00+00:00,16.0,16.625,16.0,9.173327445983888,0.0,0.0,
2000-01-19 00:00:00+00:00,16.0,16.625,16.0,9.173327445983888,0.0,0.0,
2000-01-20 00:00:00+00:00,16.125,16.125,16.125,9.244993209838867,300.0,0.0,
2000-01-21 00:00:00+00:00,15.375,16.375,15.375,8.982102394104004,0.0,0.3,
2000-01-24 00:00:00+00:00,15.375,16.25,15.375,8.982102394104004,0.0,0.0,
2000-01-25 00:00:00+00:00,15.375,16.25,15.375,8.982102394104004,0.0,0.0,
2000-01-26 00:00:00+00:00,15.375,16.25,15.375,8.982102394104004,0.0,0.0,
2000-01-27 00:00:00+00:00,16.0,16.375,16.0,9.566303253173828,2800.0,0.0,
2000-01-28 00:00:00+00:00,16.5,16.5,16.5,9.639327049255373,200.0,0.0,
2000-01-31 00:00:00+00:00,16.0,17.0,16.0,9.347229957580566,0.0,0.0,
2000-02-01 00:00:00+00:00,16.875,17.179689407348633,16.875,10.036405563354492,4000.0,0.0,
2000-02-02 00:00:00+00:00,16.75,17.375,16.75,9.785378456115724,0.0,0.0,
2000-02-03 00:00:00+00:00,17.1875,17.1875,16.875,9.858403205871582,5400.0,0.0,
2000-02-04 00:00:00+00:00,16.625,17.375,16.625,9.712353706359863,0.0,0.0,
2000-02-07 00:00:00+00:00,16.75,16.75,16.75,9.785378456115724,900.0,0.0,
2000-02-08 00:00:00+00:00,16.75,17.199220657348633,16.75,10.04781436920166,5100.0,0.0,
2000-02-09 00:00:00+00:00,16.625,17.625,16.625,9.712353706359863,0.0,0.0,
2000-02-10 00:00:00+00:00,16.625,17.625,16.625,9.712353706359863,0.0,0.0,
2000-02-11 00:00:00+00:00,16.625,17.625,16.625,9.712353706359863,0.0,0.0,
2000-02-14 00:00:00+00:00,16.75,16.75,16.75,9.785378456115724,500.0,0.0,
2000-02-15 00:00:00+00:00,16.75,16.75,16.75,9.785378456115724,100.0,0.0,
