date,SJM_Open,SJM_High,SJM_Low,SJM_Close,SJM_Volume,SJM_Dividends,SJM_Stock Splits
1994-10-31 00:00:00+00:00,23.375,24.25,23.375,11.762829780578612,32800,0.0,
1994-11-01 00:00:00+00:00,23.75,23.75,23.375,11.577098846435549,13200,0.0,
1994-11-02 00:00:00+00:00,23.375,23.75,23.25,11.762829780578612,7000,0.0,
1994-11-03 00:00:00+00:00,23.75,23.875,23.625,11.700922012329102,5400,0.0,
1994-11-04 00:00:00+00:00,23.625,23.75,23.125,11.453280448913574,9800,0.0,
1994-11-07 00:00:00+00:00,23.125,23.25,23.0,11.515192031860352,7200,0.0,
1994-11-08 00:00:00+00:00,23.25,23.25,23.0,11.391375541687012,2200,0.0,
1994-11-09 00:00:00+00:00,23.125,23.25,23.125,11.453280448913574,5600,0.0,
1994-11-10 00:00:00+00:00,23.125,23.125,23.0,11.453280448913574,82800,0.0,
1994-11-11 00:00:00+00:00,23.125,23.25,23.0,11.453280448913574,16400,0.0,
1994-11-14 00:00:00+00:00,23.125,23.25,23.0,11.453280448913574,54600,0.0,
1994-11-15 00:00:00+00:00,23.0,23.0,23.0,11.391375541687012,1800,0.0,
1994-11-16 00:00:00+00:00,23.0,23.125,23.0,11.453280448913574,4600,0.0,
1994-11-17 00:00:00+00:00,23.125,23.875,23.0,11.82473850250244,10600,0.0,
1994-11-18 00:00:00+00:00,23.875,23.875,23.5,11.700922012329102,8400,0.0,
1994-11-21 00:00:00+00:00,23.625,23.875,23.5,11.762829780578612,7000,0.0,
1994-11-22 00:00:00+00:00,23.75,24.0,23.5,11.63901138305664,14800,0.0,
1994-11-23 00:00:00+00:00,23.5,23.625,23.5,11.700922012329102,8000,0.0,
1994-11-25 00:00:00+00:00,23.5,23.5,23.5,11.63901138305664,2000,0.0,
1994-11-28 00:00:00+00:00,23.5,23.75,23.5,11.63901138305664,1400,0.0,
1994-11-29 00:00:00+00:00,23.5,23.5,23.375,11.577098846435549,1800,0.0,
1994-11-30 00:00:00+00:00,23.375,23.625,23.375,11.577098846435549,6000,0.0,
1994-12-01 00:00:00+00:00,23.375,23.5,22.75,11.267555236816406,35400,0.0,
1994-12-02 00:00:00+00:00,22.75,22.75,22.625,11.267555236816406,12600,0.0,
1994-12-05 00:00:00+00:00,22.75,22.75,22.625,11.205642700195312,5400,0.0,
1994-12-06 00:00:00+00:00,22.5,22.5,22.125,10.958003997802734,16000,0.0,
1994-12-07 00:00:00+00:00,22.125,22.25,21.875,10.958003997802734,11600,0.0,
1994-12-08 00:00:00+00:00,22.125,22.25,22.125,11.01991367340088,6000,0.0,
1994-12-09 00:00:00+00:00,22.25,22.5,22.0,10.896093368530272,9000,0.0,
1994-12-12 00:00:00+00:00,22.0,22.25,21.75,10.958003997802734,7600,0.0,
1994-12-13 00:00:00+00:00,22.125,22.625,22.125,11.205642700195312,4600,0.0,
1994-12-14 00:00:00+00:00,22.75,23.875,22.75,11.82473850250244,10800,0.0,
1994-12-15 00:00:00+00:00,23.875,24.75,23.875,12.25810718536377,13400,0.0,
1994-12-16 00:00:00+00:00,24.75,24.875,24.25,12.07237434387207,20400,0.0,
1994-12-19 00:00:00+00:00,24.375,24.625,24.0,11.88664722442627,10000,0.0,
1994-12-20 00:00:00+00:00,24.125,24.375,24.125,12.07237434387207,8000,0.0,
1994-12-21 00:00:00+00:00,24.375,24.875,24.375,12.320018768310549,7800,0.0,
1994-12-22 00:00:00+00:00,24.875,25.0,24.875,12.320018768310549,9000,0.0,
1994-12-23 00:00:00+00:00,24.875,25.0,24.875,12.381927490234377,5400,0.0,
1994-12-27 00:00:00+00:00,24.875,24.875,24.625,12.25810718536377,6000,0.0,
1994-12-28 00:00:00+00:00,24.75,24.875,24.625,12.25810718536377,3200,0.0,
1994-12-29 00:00:00+00:00,24.625,24.625,23.5,11.762829780578612,9600,0.0,
1994-12-30 00:00:00+00:00,23.75,24.125,23.25,11.88664722442627,28000,0.0,
1995-01-03 00:00:00+00:00,24.0,24.5,23.75,11.762829780578612,4600,0.0,
1995-01-04 00:00:00+00:00,24.125,24.25,24.125,12.010470390319824,3000,0.0,
1995-01-05 00:00:00+00:00,24.125,24.125,24.125,11.948563575744627,1600,0.0,
1995-01-06 00:00:00+00:00,24.125,24.25,24.0,12.010470390319824,3200,0.0,
1995-01-09 00:00:00+00:00,24.25,24.25,24.0,11.948563575744627,5600,0.0,
1995-01-10 00:00:00+00:00,24.0,24.0,23.5,11.63901138305664,6600,0.0,
1995-01-11 00:00:00+00:00,23.5,23.75,22.75,11.63901138305664,25600,0.0,
1995-01-12 00:00:00+00:00,23.5,23.5,23.25,11.577098846435549,4400,0.0,
1995-01-13 00:00:00+00:00,23.375,23.5,23.25,11.63901138305664,3200,0.0,
1995-01-16 00:00:00+00:00,23.5,23.875,23.375,11.63901138305664,6600,0.0,
1995-01-17 00:00:00+00:00,23.5,23.75,23.5,11.762829780578612,3200,0.0,
1995-01-18 00:00:00+00:00,23.75,23.875,23.5,11.762829780578612,12000,0.0,
1995-01-19 00:00:00+00:00,23.625,23.625,23.5,11.63901138305664,3200,0.0,
1995-01-20 00:00:00+00:00,23.25,23.25,22.375,11.267555236816406,36000,0.0,
1995-01-23 00:00:00+00:00,22.75,23.25,22.625,11.515192031860352,9200,0.0,
1995-01-24 00:00:00+00:00,23.25,23.25,23.125,11.515192031860352,3000,0.0,
