date,RDUS_Open,RDUS_High,RDUS_Low,RDUS_Close,RDUS_Volume,RDUS_Dividends,RDUS_Stock Splits
1993-11-16 00:00:00+00:00,6.0,6.5,6.0,3.8584303855896,2837100,0.0,
1993-11-17 00:00:00+00:00,6.333333015441895,6.583333015441895,6.333333015441895,3.909200668334961,802500,0.0,
1993-11-18 00:00:00+00:00,6.4166669845581055,6.583333015441895,6.4166669845581055,3.934583187103272,420300,0.0,
1993-11-19 00:00:00+00:00,6.458333015441895,6.583333015441895,6.4166669845581055,3.909200668334961,120000,0.0,
1993-11-22 00:00:00+00:00,6.4166669845581055,6.5,6.333333015441895,3.934583187103272,397800,0.0,
1993-11-23 00:00:00+00:00,6.333333015441895,6.5,6.333333015441895,3.8584303855896,245700,0.0,
1993-11-24 00:00:00+00:00,6.5,6.5,6.333333015441895,3.959968090057373,42900,0.0,
1993-11-26 00:00:00+00:00,6.5,6.5,6.333333015441895,3.959968090057373,18600,0.0,
1993-11-29 00:00:00+00:00,6.333333015441895,6.5,6.333333015441895,3.8584303855896,408000,0.0,
1993-11-30 00:00:00+00:00,6.333333015441895,6.6666669845581055,6.333333015441895,3.959968090057373,272400,0.0,
1993-12-01 00:00:00+00:00,6.5,7.1666669845581055,6.5,4.366118431091309,263100,0.0,
1993-12-02 00:00:00+00:00,7.0,7.5416669845581055,7.0,4.594577789306641,310500,0.0,
1993-12-03 00:00:00+00:00,7.5833330154418945,7.5833330154418945,7.3333330154418945,4.467656135559082,293400,0.0,
1993-12-06 00:00:00+00:00,7.3333330154418945,7.5833330154418945,7.3333330154418945,4.619962692260742,48900,0.0,
1993-12-07 00:00:00+00:00,7.3333330154418945,7.9166669845581055,7.3333330154418945,4.823037147521973,257100,0.0,
1993-12-08 00:00:00+00:00,7.9166669845581055,8.0,7.6666669845581055,4.873806953430176,94500,0.0,
1993-12-09 00:00:00+00:00,8.166666984558105,8.166666984558105,7.75,4.873806953430176,556200,0.0,
1993-12-10 00:00:00+00:00,7.8333330154418945,7.875,7.75,4.721499443054199,125100,0.0,
1993-12-13 00:00:00+00:00,7.75,8.0,7.6666669845581055,4.823037147521973,379500,0.0,
1993-12-14 00:00:00+00:00,7.6666669845581055,7.9166669845581055,7.6666669845581055,4.670731067657471,125100,0.0,
1993-12-15 00:00:00+00:00,7.9583330154418945,8.166666984558105,7.75,4.975344657897949,159300,0.0,
1993-12-16 00:00:00+00:00,7.9166669845581055,8.333333015441895,7.9166669845581055,4.873806953430176,341400,0.0,
1993-12-17 00:00:00+00:00,8.25,8.25,8.0,4.92457389831543,101400,0.0,
1993-12-20 00:00:00+00:00,8.0,8.25,8.0,5.026112079620361,115500,0.0,
1993-12-21 00:00:00+00:00,8.083333015441895,8.125,8.083333015441895,4.949957370758057,101400,0.0,
1993-12-22 00:00:00+00:00,8.25,8.583333015441895,8.125,5.229188919067383,164400,0.0,
1993-12-23 00:00:00+00:00,8.333333015441895,8.583333015441895,8.333333015441895,5.076880931854248,2700,0.0,
1993-12-27 00:00:00+00:00,8.5,8.5,8.5,5.178418159484863,7500,0.0,
