date,AWH_Open,AWH_High,AWH_Low,AWH_Close,AWH_Volume,AWH_Dividends,AWH_Stock Splits
2000-10-02 00:00:00+00:00,4579.6875,5915.625,4537.5,5353.125,5407,,
2000-10-03 00:00:00+00:00,5550.0,5550.0,4743.75,4781.25,1759,,
2000-10-04 00:00:00+00:00,4837.5,4931.25,4631.25,4875.0,2000,,
2000-10-05 00:00:00+00:00,4781.25,4950.0,4650.0,4762.5,1765,,
2000-10-06 00:00:00+00:00,4781.25,4856.25,4293.75,4303.125,1777,,
2000-10-09 00:00:00+00:00,4275.0,4500.0,3787.5,4500.0,1754,,
2000-10-10 00:00:00+00:00,4422.65625,4722.65625,4293.75,4331.25,1959,,
2000-10-11 00:00:00+00:00,4200.0,4293.75,4106.25,4106.25,2908,,
2000-10-12 00:00:00+00:00,4087.5,4275.0,3900.0,4050.0,3005,,
2000-10-13 00:00:00+00:00,3900.0,4256.25,3900.0,4256.25,861,,
2000-10-16 00:00:00+00:00,4190.625,4462.5,4125.0,4331.25,1289,,
2000-10-17 00:00:00+00:00,4460.15625,4500.0,4275.0,4293.75,278,,
2000-10-18 00:00:00+00:00,4331.25,4331.25,3881.25,4012.5,589,,
2000-10-19 00:00:00+00:00,4141.40625,4143.75,3881.25,4031.25,1553,,
2000-10-20 00:00:00+00:00,3956.25,4331.25,3956.25,4265.625,1220,,
2000-10-23 00:00:00+00:00,4293.75,4837.5,4256.25,4500.0,1077,,
2000-10-24 00:00:00+00:00,4502.34375,4612.5,4068.75,4500.0,776,,
2000-10-25 00:00:00+00:00,4443.75,4575.0,4275.0,4500.0,769,,
2000-10-26 00:00:00+00:00,4406.25,4612.5,4312.5,4500.0,722,,
2000-10-27 00:00:00+00:00,4725.0,5137.5,4425.0,4462.5,1419,,
2000-10-30 00:00:00+00:00,4572.65625,5025.0,4425.0,4875.0,923,,
2000-10-31 00:00:00+00:00,4877.34375,5137.5,4350.0,4650.0,2583,,
2000-11-01 00:00:00+00:00,4612.5,4912.5,4425.0,4912.5,982,,
2000-11-02 00:00:00+00:00,4950.0,5221.875,4875.0,5055.46875,281,,
2000-11-03 00:00:00+00:00,5250.0,5325.0,5175.0,5231.25,1171,,
2000-11-06 00:00:00+00:00,5325.0,5381.25,5156.25,5287.5,295,,
2000-11-07 00:00:00+00:00,5446.875,5634.375,5362.5,5362.5,2865,,
2000-11-08 00:00:00+00:00,5416.40625,5475.0,5081.25,5175.0,1303,,
2000-11-09 00:00:00+00:00,5247.65625,5247.65625,4809.375,4837.5,558,,
2000-11-10 00:00:00+00:00,4800.0,4950.0,4800.0,4856.25,713,,
2000-11-13 00:00:00+00:00,4537.5,4610.15625,4256.25,4321.875,2161,,
2000-11-14 00:00:00+00:00,4406.25,4406.25,4050.0,4050.0,390,,
2000-11-15 00:00:00+00:00,4087.5,4143.75,3862.5,3918.75,1303,,
2000-11-16 00:00:00+00:00,3902.34375,4087.5,3900.0,4031.25,595,,
2000-11-17 00:00:00+00:00,4031.25,4050.0,3750.0,3862.5,430,,
2000-11-20 00:00:00+00:00,3937.5,3937.5,2475.0,2793.75,2864,,
2000-11-21 00:00:00+00:00,2934.375,2946.09375,2643.75,2643.75,719,,
2000-11-22 00:00:00+00:00,2550.0,2622.65625,2437.5,2559.375,1896,,
2000-11-24 00:00:00+00:00,2920.3125,3000.0,2737.5,2850.0,649,,
2000-11-27 00:00:00+00:00,2981.25,2981.25,2512.5,2700.0,1323,,
2000-11-28 00:00:00+00:00,2753.90625,2753.90625,2250.0,2306.25,1021,,
2000-11-29 00:00:00+00:00,2475.0,2475.0,2212.5,2306.25,929,,
2000-11-30 00:00:00+00:00,2198.4375,2231.25,1425.0,1650.0,6132,,
2000-12-01 00:00:00+00:00,1764.84375,2268.75,1762.5,2268.75,3152,,
2000-12-04 00:00:00+00:00,2247.65625,2606.25,2231.25,2362.5,442,,
2000-12-05 00:00:00+00:00,2449.21875,2662.5,2446.875,2550.0,547,,
2000-12-06 00:00:00+00:00,2625.0,2625.0,2531.25,2587.5,559,,
2000-12-07 00:00:00+00:00,2397.65625,2625.0,2250.0,2475.0,2162,,
2000-12-08 00:00:00+00:00,2625.0,2653.125,2550.0,2568.75,352,,
2000-12-11 00:00:00+00:00,2606.25,2775.0,2606.25,2700.0,552,,
2000-12-12 00:00:00+00:00,2728.125,2793.75,2643.75,2643.75,1152,,
2000-12-13 00:00:00+00:00,2716.40625,2718.75,2606.25,2643.75,295,,
2000-12-14 00:00:00+00:00,2700.0,2700.0,2550.0,2550.0,42,,
2000-12-15 00:00:00+00:00,2587.5,2662.5,2287.5,2343.75,125,,
2000-12-18 00:00:00+00:00,2475.0,2550.0,2306.25,2325.0,201,,
2000-12-19 00:00:00+00:00,2322.65625,2322.65625,2025.0,2250.0,747,,
2000-12-20 00:00:00+00:00,2100.0,2137.5,2025.0,2081.25,173,,
2000-12-21 00:00:00+00:00,2085.9375,2118.75,1968.75,2015.625,194,,
2000-12-22 00:00:00+00:00,1987.5,2137.5,1912.5,2062.5,764,,
2000-12-26 00:00:00+00:00,2008.59375,2062.5,1950.0,1987.5,734,,
2000-12-27 00:00:00+00:00,1931.25,2006.25,1931.25,1940.625,553,,
2000-12-28 00:00:00+00:00,1933.59375,2100.0,1912.5,2025.0,637,,
2000-12-29 00:00:00+00:00,2053.125,2081.25,1968.75,1987.5,395,,
2001-01-02 00:00:00+00:00,2025.0,2025.0,1931.25,1987.5,38,,
2001-01-03 00:00:00+00:00,1966.40625,1966.40625,1800.0,1800.0,161,,
