date,USEG_Open,USEG_High,USEG_Low,USEG_Close,USEG_Volume,USEG_Dividends,USEG_Stock Splits
1980-03-17 00:00:00+00:00,0.0,1785.0,1725.0,1616.3326416015625,308,0.0,
1980-03-18 00:00:00+00:00,0.0,1965.0,1905.0,1784.9935302734375,303,0.0,
1980-03-19 00:00:00+00:00,0.0,1920.0,1860.0,1742.8282470703125,128,0.0,
1980-03-20 00:00:00+00:00,0.0,1920.0,1860.0,1742.8282470703125,43,0.0,
1980-03-21 00:00:00+00:00,0.0,1890.0,1830.0,1714.7181396484375,238,0.0,
1980-03-24 00:00:00+00:00,0.0,1860.0,1800.0,1686.60791015625,103,0.0,
1980-03-25 00:00:00+00:00,0.0,1845.0,1785.0,1672.552978515625,52,0.0,
1980-03-26 00:00:00+00:00,0.0,1800.0,1740.0,1630.3876953125,127,0.0,
1980-03-27 00:00:00+00:00,0.0,1425.0,1365.0,1279.010986328125,292,0.0,
1980-03-28 00:00:00+00:00,0.0,1575.0,1515.0,1419.5616455078125,492,0.0,
1980-03-31 00:00:00+00:00,0.0,1635.0,1575.0,1475.781982421875,258,0.0,
1980-04-01 00:00:00+00:00,0.0,1890.0,1830.0,1714.7181396484375,433,0.0,
1980-04-02 00:00:00+00:00,0.0,1950.0,1890.0,1770.9383544921875,237,0.0,
1980-04-03 00:00:00+00:00,0.0,1950.0,1890.0,1770.9383544921875,228,0.0,
1980-04-07 00:00:00+00:00,0.0,1770.0,1710.0,1602.277587890625,237,0.0,
1980-04-08 00:00:00+00:00,0.0,1740.0,1680.0,1574.16748046875,72,0.0,
1980-04-09 00:00:00+00:00,0.0,1725.0,1665.0,1560.1123046875,32,0.0,
1980-04-10 00:00:00+00:00,0.0,1860.0,1800.0,1686.60791015625,348,0.0,
1980-04-11 00:00:00+00:00,0.0,1830.0,1770.0,1658.4979248046875,250,0.0,
1980-04-14 00:00:00+00:00,0.0,1755.0,1695.0,1588.22265625,238,0.0,
1980-04-15 00:00:00+00:00,0.0,1710.0,1650.0,1546.0572509765625,232,0.0,
1980-04-16 00:00:00+00:00,0.0,1650.0,1590.0,1489.8370361328125,80,0.0,
1980-04-17 00:00:00+00:00,0.0,1620.0,1560.0,1461.7269287109375,142,0.0,
1980-04-18 00:00:00+00:00,0.0,1327.5,1267.5,1187.6531982421875,997,0.0,
1980-04-21 00:00:00+00:00,0.0,1005.0,945.0,885.4691772460938,1158,0.0,
1980-04-22 00:00:00+00:00,0.0,1080.0,1020.0,955.7445068359376,1407,0.0,
1980-04-23 00:00:00+00:00,0.0,1080.0,1020.0,955.7445068359376,442,0.0,
1980-04-24 00:00:00+00:00,0.0,990.0,930.0,871.4141235351562,550,0.0,
1980-04-25 00:00:00+00:00,0.0,1020.0,960.0,899.5242309570312,633,0.0,
1980-04-28 00:00:00+00:00,0.0,960.0,900.0,843.303955078125,283,0.0,
1980-04-29 00:00:00+00:00,0.0,915.0,855.0,801.1387939453125,345,0.0,
1980-04-30 00:00:00+00:00,0.0,1005.0,945.0,885.4691772460938,462,0.0,
1980-05-01 00:00:00+00:00,0.0,1035.0,975.0,913.5792846679688,303,0.0,
1980-05-02 00:00:00+00:00,0.0,1170.0,1110.0,1040.0748291015625,1485,0.0,
1980-05-05 00:00:00+00:00,0.0,1095.0,1035.0,969.7996215820312,468,0.0,
1980-05-06 00:00:00+00:00,0.0,1065.0,1005.0,941.689453125,242,0.0,
1980-05-07 00:00:00+00:00,0.0,990.0,930.0,871.4141235351562,270,0.0,
1980-05-08 00:00:00+00:00,0.0,1020.0,960.0,899.5242309570312,160,0.0,
1980-05-09 00:00:00+00:00,0.0,990.0,930.0,871.4141235351562,138,0.0,
1980-05-12 00:00:00+00:00,0.0,930.0,870.0,815.19384765625,147,0.0,
1980-05-13 00:00:00+00:00,0.0,945.0,885.0,829.2489624023438,278,0.0,
1980-05-14 00:00:00+00:00,0.0,1005.0,945.0,885.4691772460938,387,0.0,
1980-05-15 00:00:00+00:00,0.0,960.0,900.0,843.303955078125,190,0.0,
1980-05-16 00:00:00+00:00,0.0,975.0,915.0,857.3590698242188,47,0.0,
1980-05-19 00:00:00+00:00,0.0,945.0,885.0,829.2489624023438,55,0.0,
1980-05-20 00:00:00+00:00,0.0,945.0,885.0,829.2489624023438,68,0.0,
1980-05-21 00:00:00+00:00,0.0,960.0,900.0,843.303955078125,107,0.0,
1980-05-22 00:00:00+00:00,0.0,930.0,870.0,815.19384765625,50,0.0,
1980-05-23 00:00:00+00:00,0.0,900.0,840.0,787.083740234375,140,0.0,
1980-05-27 00:00:00+00:00,0.0,870.0,810.0,758.9736328125,160,0.0,
1980-05-28 00:00:00+00:00,0.0,885.0,825.0,773.0286254882812,343,0.0,
1980-05-29 00:00:00+00:00,0.0,915.0,855.0,801.1387939453125,263,0.0,
1980-05-30 00:00:00+00:00,0.0,870.0,810.0,758.9736328125,193,0.0,
1980-06-02 00:00:00+00:00,0.0,915.0,855.0,801.1387939453125,185,0.0,
1980-06-03 00:00:00+00:00,0.0,960.0,900.0,843.303955078125,277,0.0,
1980-06-04 00:00:00+00:00,0.0,960.0,900.0,843.303955078125,185,0.0,
1980-06-05 00:00:00+00:00,0.0,1005.0,945.0,885.4691772460938,438,0.0,
1980-06-06 00:00:00+00:00,0.0,990.0,930.0,871.4141235351562,180,0.0,
1980-06-09 00:00:00+00:00,0.0,990.0,930.0,871.4141235351562,18,0.0,
1980-06-10 00:00:00+00:00,0.0,975.0,915.0,857.3590698242188,82,0.0,
1980-06-11 00:00:00+00:00,0.0,960.0,900.0,843.303955078125,55,0.0,
1980-06-12 00:00:00+00:00,0.0,945.0,885.0,829.2489624023438,82,0.0,
1980-06-13 00:00:00+00:00,0.0,885.0,825.0,773.0286254882812,250,0.0,
1980-06-16 00:00:00+00:00,0.0,885.0,825.0,773.0286254882812,27,0.0,
1980-06-17 00:00:00+00:00,0.0,930.0,870.0,815.19384765625,95,0.0,
1980-06-18 00:00:00+00:00,0.0,990.0,930.0,871.4141235351562,360,0.0,
1980-06-19 00:00:00+00:00,0.0,975.0,915.0,857.3590698242188,502,0.0,
1980-06-20 00:00:00+00:00,0.0,1020.0,960.0,899.5242309570312,403,0.0,
1980-06-23 00:00:00+00:00,0.0,1005.0,945.0,885.4691772460938,108,0.0,
1980-06-24 00:00:00+00:00,0.0,1020.0,960.0,899.5242309570312,110,0.0,
