date,DXR_Open,DXR_High,DXR_Low,DXR_Close,DXR_Volume,DXR_Dividends,DXR_Stock Splits
1983-07-25 00:00:00+00:00,0.0,10.5,9.5,6.186119556427002,2300,0.0,
1983-07-26 00:00:00+00:00,9.5,9.5,9.5,6.186119556427002,0,0.0,
1983-07-27 00:00:00+00:00,0.0,10.25,9.5,6.186119556427002,1000,0.0,
1983-07-28 00:00:00+00:00,9.5,9.5,9.5,6.186119556427002,0,0.0,
1983-07-29 00:00:00+00:00,9.5,9.5,9.5,6.186119556427002,0,0.0,
1983-08-01 00:00:00+00:00,9.5,9.5,9.5,6.186119556427002,0,0.0,
1983-08-02 00:00:00+00:00,0.0,10.25,9.5,6.186119556427002,500,0.0,
1983-08-03 00:00:00+00:00,9.5,9.5,9.5,6.186119556427002,0,0.0,
1983-08-04 00:00:00+00:00,0.0,10.25,9.5,6.186119556427002,4000,0.0,
1983-08-05 00:00:00+00:00,9.5,9.5,9.5,6.186119556427002,0,0.0,
1983-08-08 00:00:00+00:00,9.5,9.5,9.5,6.186119556427002,0,0.0,
1983-08-09 00:00:00+00:00,0.0,10.25,9.5,6.186119556427002,200,0.0,
1983-08-10 00:00:00+00:00,9.5,9.5,9.5,6.186119556427002,0,0.0,
1983-08-11 00:00:00+00:00,0.0,10.25,9.5,6.186119556427002,500,0.0,
1983-08-12 00:00:00+00:00,9.5,9.5,9.5,6.186119556427002,0,0.0,
1983-08-15 00:00:00+00:00,9.5,9.5,9.5,6.186119556427002,0,0.0,
1983-08-16 00:00:00+00:00,0.0,10.75,9.75,6.348912239074707,600,0.0,
1983-08-17 00:00:00+00:00,0.0,11.25,10.25,6.674497604370117,600,0.0,
1983-08-18 00:00:00+00:00,10.25,10.25,10.25,6.674497604370117,0,0.0,
1983-08-19 00:00:00+00:00,0.0,11.25,10.25,6.674497604370117,500,0.0,
1983-08-22 00:00:00+00:00,10.25,10.25,10.25,6.674497604370117,0,0.0,
1983-08-23 00:00:00+00:00,0.0,11.25,10.25,6.674497604370117,900,0.0,
1983-08-24 00:00:00+00:00,0.0,11.25,10.25,6.674497604370117,200,0.0,
1983-08-25 00:00:00+00:00,10.25,10.25,10.25,6.674497604370117,0,0.0,
1983-08-26 00:00:00+00:00,10.25,10.25,10.25,6.674497604370117,0,0.0,
1983-08-29 00:00:00+00:00,0.0,11.25,10.25,6.674497604370117,500,0.0,
1983-08-30 00:00:00+00:00,10.25,10.25,10.25,6.674497604370117,0,0.0,
1983-08-31 00:00:00+00:00,0.0,11.0,10.25,6.674497604370117,1000,0.0,
1983-09-01 00:00:00+00:00,0.0,11.0,10.0,6.511703968048096,1300,0.0,
1983-09-02 00:00:00+00:00,0.0,10.5,10.0,6.511703968048096,400,0.0,
1983-09-06 00:00:00+00:00,0.0,10.5,9.75,6.348912239074707,500,0.0,
1983-09-07 00:00:00+00:00,0.0,10.75,10.0,6.511703968048096,2400,0.0,
1983-09-08 00:00:00+00:00,10.0,10.0,10.0,6.511703968048096,0,0.0,
1983-09-09 00:00:00+00:00,10.0,10.0,10.0,6.511703968048096,0,0.0,
1983-09-12 00:00:00+00:00,10.0,10.0,10.0,6.511703968048096,0,0.0,
1983-09-13 00:00:00+00:00,10.0,10.0,10.0,6.511703968048096,0,0.0,
1983-09-14 00:00:00+00:00,0.0,10.5,10.0,6.511703968048096,500,0.0,
1983-09-15 00:00:00+00:00,0.0,10.5,10.0,6.511703968048096,1400,0.0,
1983-09-16 00:00:00+00:00,10.0,10.0,10.0,6.511703968048096,0,0.0,
1983-09-19 00:00:00+00:00,0.0,10.5,10.0,6.511703968048096,1000,0.0,
