date,MLAB_Open,MLAB_High,MLAB_Low,MLAB_Close,MLAB_Volume,MLAB_Dividends,MLAB_Stock Splits
1984-02-29 00:00:00+00:00,0.0,3.375,3.0,2.2787227630615234,35800,0.0,
1984-03-01 00:00:00+00:00,0.0,3.5,3.0,2.2787227630615234,112000,0.0,
1984-03-02 00:00:00+00:00,0.0,3.5,3.125,2.373670816421509,113000,0.0,
1984-03-05 00:00:00+00:00,0.0,3.5,3.25,2.468616485595703,12500,0.0,
1984-03-06 00:00:00+00:00,0.0,3.5,3.25,2.468616485595703,68600,0.0,
1984-03-07 00:00:00+00:00,0.0,3.5,3.375,2.5635628700256348,7300,0.0,
1984-03-08 00:00:00+00:00,0.0,3.5,3.375,2.5635628700256348,1900,0.0,
1984-03-09 00:00:00+00:00,3.375,3.375,3.375,2.5635628700256348,0,0.0,
1984-03-12 00:00:00+00:00,0.0,3.5,3.25,2.468616485595703,4000,0.0,
1984-03-13 00:00:00+00:00,0.0,3.375,3.25,2.468616485595703,12600,0.0,
1984-03-14 00:00:00+00:00,0.0,3.25,3.125,2.373670816421509,5000,0.0,
1984-03-15 00:00:00+00:00,0.0,3.25,3.0,2.2787227630615234,7500,0.0,
1984-03-16 00:00:00+00:00,0.0,3.25,3.0,2.2787227630615234,700,0.0,
1984-03-19 00:00:00+00:00,0.0,3.25,3.0,2.2787227630615234,8600,0.0,
1984-03-20 00:00:00+00:00,0.0,3.125,2.875,2.1837756633758545,18200,0.0,
1984-03-21 00:00:00+00:00,0.0,3.125,2.875,2.1837756633758545,51800,0.0,
1984-03-22 00:00:00+00:00,0.0,3.125,2.875,2.1837756633758545,10500,0.0,
1984-03-23 00:00:00+00:00,0.0,3.125,2.875,2.1837756633758545,300,0.0,
1984-03-26 00:00:00+00:00,0.0,3.125,2.875,2.1837756633758545,100,0.0,
1984-03-27 00:00:00+00:00,2.875,2.875,2.875,2.1837756633758545,0,0.0,
1984-03-28 00:00:00+00:00,0.0,3.125,2.875,2.1837756633758545,800,0.0,
1984-03-29 00:00:00+00:00,0.0,3.0,2.875,2.1837756633758545,600,0.0,
1984-03-30 00:00:00+00:00,0.0,3.25,3.0,2.2787227630615234,9100,0.0,
1984-04-02 00:00:00+00:00,0.0,3.375,3.0,2.2787227630615234,21900,0.0,
1984-04-03 00:00:00+00:00,3.0,3.0,3.0,2.2787227630615234,0,0.0,
1984-04-04 00:00:00+00:00,0.0,3.375,3.0,2.2787227630615234,600,0.0,
1984-04-05 00:00:00+00:00,0.0,3.375,3.125,2.373670816421509,1500,0.0,
1984-04-06 00:00:00+00:00,3.125,3.125,3.125,2.373670816421509,0,0.0,
1984-04-09 00:00:00+00:00,0.0,3.25,3.0,2.2787227630615234,4100,0.0,
1984-04-10 00:00:00+00:00,0.0,3.25,3.0,2.2787227630615234,11100,0.0,
1984-04-11 00:00:00+00:00,0.0,3.25,3.0,2.2787227630615234,1900,0.0,
1984-04-12 00:00:00+00:00,0.0,3.5,3.0,2.2787227630615234,16000,0.0,
1984-04-13 00:00:00+00:00,0.0,3.5,3.0,2.2787227630615234,23900,0.0,
1984-04-16 00:00:00+00:00,0.0,3.5,3.0,2.2787227630615234,300,0.0,
1984-04-17 00:00:00+00:00,0.0,3.375,3.0,2.2787227630615234,2300,0.0,
1984-04-18 00:00:00+00:00,3.0,3.0,3.0,2.2787227630615234,0,0.0,
1984-04-19 00:00:00+00:00,0.0,3.5,3.0,2.2787227630615234,2500,0.0,
1984-04-23 00:00:00+00:00,3.0,3.0,3.0,2.2787227630615234,0,0.0,
1984-04-24 00:00:00+00:00,0.0,3.5,3.125,2.373670816421509,1500,0.0,
1984-04-25 00:00:00+00:00,0.0,3.625,3.25,2.468616485595703,1600,0.0,
1984-04-26 00:00:00+00:00,0.0,3.625,3.25,2.468616485595703,600,0.0,
1984-04-27 00:00:00+00:00,0.0,3.625,3.375,2.5635628700256348,3500,0.0,
1984-04-30 00:00:00+00:00,0.0,4.125,3.875,2.9433512687683105,10500,0.0,
