date,BKYI_Open,BKYI_High,BKYI_Low,BKYI_Close,BKYI_Volume,BKYI_Dividends,BKYI_Stock Splits
1997-02-21 00:00:00+00:00,5616.0,7344.0,5616.0,6588.0,57,,
1997-02-24 00:00:00+00:00,5940.0,7128.0,5616.0,6696.0,98,,
1997-02-25 00:00:00+00:00,7128.0,7128.0,6048.0,6912.0,61,,
1997-02-26 00:00:00+00:00,7344.0,7344.0,6264.0,7020.0,14,,
1997-02-27 00:00:00+00:00,6912.0,7452.0,6372.0,7236.0,25,,
1997-02-28 00:00:00+00:00,7344.0,7344.0,6264.0,7128.0,9,,
1997-03-03 00:00:00+00:00,7128.0,7344.0,6156.0,7344.0,6,,
1997-03-04 00:00:00+00:00,7344.0,7344.0,6156.0,7236.0,19,,
1997-03-05 00:00:00+00:00,7128.0,7128.0,6048.0,6480.0,26,,
1997-03-06 00:00:00+00:00,6399.0,6588.0,6264.0,6480.0,17,,
1997-03-07 00:00:00+00:00,6804.0,6804.0,6264.0,6804.0,18,,
1997-03-10 00:00:00+00:00,6264.0,7236.0,6156.0,7236.0,8,,
1997-03-11 00:00:00+00:00,6156.0,6534.0,6156.0,6480.0,9,,
1997-03-12 00:00:00+00:00,6534.0,6912.0,6156.0,6588.0,17,,
1997-03-13 00:00:00+00:00,6480.0,6696.0,6156.0,6156.0,19,,
1997-03-14 00:00:00+00:00,6912.0,6912.0,6156.0,6480.0,10,,
1997-03-17 00:00:00+00:00,6453.0,6480.0,6156.0,6453.0,5,,
1997-03-18 00:00:00+00:00,6453.0,6858.0,6156.0,6372.0,5,,
1997-03-19 00:00:00+00:00,6156.0,6588.0,6156.0,6156.0,24,,
1997-03-20 00:00:00+00:00,6453.0,6588.0,6156.0,6588.0,15,,
1997-03-21 00:00:00+00:00,6264.0,6804.0,6156.0,6696.0,22,,
1997-03-24 00:00:00+00:00,6696.0,6696.0,6696.0,6696.0,0,,
1997-03-25 00:00:00+00:00,6264.0,6804.0,6264.0,6372.0,12,,
1997-03-26 00:00:00+00:00,7020.0,7128.0,6372.0,7128.0,22,,
1997-03-27 00:00:00+00:00,6804.0,7344.0,6372.0,6804.0,9,,
1997-03-31 00:00:00+00:00,6912.0,7344.0,6669.0,6669.0,3,,
1997-04-01 00:00:00+00:00,6480.0,7344.0,6480.0,7128.0,4,,
1997-04-02 00:00:00+00:00,7344.0,7992.0,6696.0,7992.0,20,,
1997-04-03 00:00:00+00:00,6804.0,8100.0,6804.0,8100.0,12,,
