date,GBCI_Open,GBCI_High,GBCI_Low,GBCI_Close,GBCI_Volume,GBCI_Dividends,GBCI_Stock Splits
1984-03-22 00:00:00+00:00,0.0,0.3127500116825104,0.2948789894580841,0.1089731305837631,58753,0.0,
1984-03-23 00:00:00+00:00,0.0,0.317218005657196,0.3038139939308166,0.112275056540966,153877,0.0,
1984-03-26 00:00:00+00:00,0.0,0.3216859996318817,0.3038139939308166,0.112275056540966,33573,0.0,
1984-03-27 00:00:00+00:00,0.0,0.3216859996318817,0.3038139939308166,0.112275056540966,16787,0.0,
1984-03-28 00:00:00+00:00,0.0,0.3216859996318817,0.3038139939308166,0.112275056540966,2798,0.0,
1984-03-29 00:00:00+00:00,0.0,0.3216859996318817,0.3038139939308166,0.112275056540966,25180,0.0,
1984-03-30 00:00:00+00:00,0.0,0.3216859996318817,0.3038139939308166,0.112275056540966,53157,0.0,
1984-04-02 00:00:00+00:00,0.0,0.3216859996318817,0.3038139939308166,0.112275056540966,64348,0.0,
1984-04-03 00:00:00+00:00,0.0,0.3216859996318817,0.3038139939308166,0.112275056540966,53157,0.0,
1984-04-04 00:00:00+00:00,0.0,0.3216859996318817,0.3082819879055023,0.1139262020587921,153877,0.0,
1984-04-05 00:00:00+00:00,0.0,0.3261539936065674,0.3127500116825104,0.1155774071812629,25180,0.0,
1984-04-06 00:00:00+00:00,0.0,0.330621987581253,0.3127500116825104,0.1155774071812629,16787,0.0,
1984-04-09 00:00:00+00:00,0.0,0.330621987581253,0.3127500116825104,0.1155774071812629,36371,0.0,
1984-04-10 00:00:00+00:00,0.0,0.330621987581253,0.3216859996318817,0.1188796535134315,598721,0.0,
1984-04-11 00:00:00+00:00,0.0,0.3350889980792999,0.3216859996318817,0.1188796535134315,36371,0.0,
1984-04-12 00:00:00+00:00,0.0,0.3350889980792999,0.3216859996318817,0.1188796535134315,11191,0.0,
1984-04-13 00:00:00+00:00,0.0,0.3350889980792999,0.3216859996318817,0.1188796535134315,22382,0.0,
1984-04-16 00:00:00+00:00,0.0,0.3395569920539856,0.3261539936065674,0.120530791580677,19584,0.0,
1984-04-17 00:00:00+00:00,0.0,0.3395569920539856,0.3261539936065674,0.120530791580677,30775,0.0,
1984-04-18 00:00:00+00:00,0.0,0.3395569920539856,0.3261539936065674,0.120530791580677,11191,0.0,
1984-04-19 00:00:00+00:00,0.0,0.3395569920539856,0.3261539936065674,0.120530791580677,41966,0.0,
1984-04-23 00:00:00+00:00,0.0,0.3395569920539856,0.3261539936065674,0.120530791580677,44764,0.0,
1984-04-24 00:00:00+00:00,0.0,0.3395569920539856,0.3261539936065674,0.120530791580677,16787,0.0,
1984-04-25 00:00:00+00:00,0.0,0.3395569920539856,0.3261539936065674,0.120530791580677,13989,0.0,
1984-04-26 00:00:00+00:00,0.0,0.3395569920539856,0.3261539936065674,0.120530791580677,120304,0.0,
1984-04-27 00:00:00+00:00,0.0,0.3350889980792999,0.3261539936065674,0.120530791580677,19584,0.0,
1984-04-30 00:00:00+00:00,0.0,0.3350889980792999,0.3261539936065674,0.120530791580677,55955,0.0,
1984-05-01 00:00:00+00:00,0.0,0.3350889980792999,0.3261539936065674,0.120530791580677,30775,0.0,
1984-05-02 00:00:00+00:00,0.0,0.3395569920539856,0.3261539936065674,0.120530791580677,153877,0.0,
1984-05-03 00:00:00+00:00,0.0,0.3395569920539856,0.3261539936065674,0.120530791580677,27978,0.0,
1984-05-04 00:00:00+00:00,0.0,0.3395569920539856,0.3261539936065674,0.120530791580677,27978,0.0,
1984-05-07 00:00:00+00:00,0.3261539936065674,0.3261539936065674,0.3261539936065674,0.120530791580677,0,0.0,
1984-05-08 00:00:00+00:00,0.0,0.3395569920539856,0.3261539936065674,0.120530791580677,8393,0.0,
1984-05-09 00:00:00+00:00,0.0,0.3395569920539856,0.3261539936065674,0.120530791580677,2798,0.0,
1984-05-10 00:00:00+00:00,0.3261539936065674,0.3261539936065674,0.3261539936065674,0.120530791580677,0,0.0,
1984-05-11 00:00:00+00:00,0.0,0.3395569920539856,0.3261539936065674,0.120530791580677,2798,0.0,
1984-05-14 00:00:00+00:00,0.0,0.3395569920539856,0.3261539936065674,0.120530791580677,2798,0.0,
1984-05-15 00:00:00+00:00,0.3261539936065674,0.3261539936065674,0.3261539936065674,0.120530791580677,0,0.0,
1984-05-16 00:00:00+00:00,0.0,0.3350889980792999,0.3216859996318817,0.1188796535134315,5596,0.0,
1984-05-17 00:00:00+00:00,0.0,0.3350889980792999,0.317218005657196,0.1172284856438636,95124,0.0,
1984-05-18 00:00:00+00:00,0.0,0.3350889980792999,0.317218005657196,0.1172284856438636,41966,0.0,
1984-05-21 00:00:00+00:00,0.317218005657196,0.317218005657196,0.317218005657196,0.1172284856438636,0,0.0,
1984-05-22 00:00:00+00:00,0.0,0.3350889980792999,0.317218005657196,0.1172284856438636,27978,0.0,
1984-05-23 00:00:00+00:00,0.0,0.3350889980792999,0.317218005657196,0.1172284856438636,47562,0.0,
1984-05-24 00:00:00+00:00,0.317218005657196,0.317218005657196,0.317218005657196,0.1172284856438636,0,0.0,
1984-05-25 00:00:00+00:00,0.317218005657196,0.317218005657196,0.317218005657196,0.1172284856438636,0,0.0,
1984-05-29 00:00:00+00:00,0.317218005657196,0.317218005657196,0.317218005657196,0.1172284856438636,0,0.0,
1984-05-30 00:00:00+00:00,0.317218005657196,0.317218005657196,0.317218005657196,0.1172284856438636,0,0.0,
1984-05-31 00:00:00+00:00,0.0,0.330621987581253,0.3127500116825104,0.1155774071812629,16787,0.0,
1984-06-01 00:00:00+00:00,0.3127500116825104,0.3127500116825104,0.3127500116825104,0.1155774071812629,0,0.0,
1984-06-04 00:00:00+00:00,0.0,0.330621987581253,0.3127500116825104,0.1155774071812629,0,0.0,
1984-06-05 00:00:00+00:00,0.3127500116825104,0.3127500116825104,0.3127500116825104,0.1155774071812629,0,0.0,
1984-06-06 00:00:00+00:00,0.0,0.3216859996318817,0.2948789894580841,0.1089731305837631,36371,0.0,
1984-06-07 00:00:00+00:00,0.2948789894580841,0.2948789894580841,0.2948789894580841,0.1089731305837631,0,0.0,
1984-06-08 00:00:00+00:00,0.2948789894580841,0.2948789894580841,0.2948789894580841,0.1089731305837631,0,0.0,
1984-06-11 00:00:00+00:00,0.0,0.3216859996318817,0.2948789894580841,0.1089731305837631,16787,0.0,
1984-06-12 00:00:00+00:00,0.2948789894580841,0.2948789894580841,0.2948789894580841,0.1089731305837631,0,0.0,
1984-06-13 00:00:00+00:00,0.0,0.3216859996318817,0.2948789894580841,0.1089731305837631,162270,0.0,
1984-06-14 00:00:00+00:00,0.0,0.3216859996318817,0.2948789894580841,0.1089731305837631,0,0.0,
1984-06-15 00:00:00+00:00,0.0,0.3216859996318817,0.2948789894580841,0.1089731305837631,5596,0.0,
1984-06-18 00:00:00+00:00,0.0,0.3216859996318817,0.2948789894580841,0.1089731305837631,2798,0.0,
1984-06-19 00:00:00+00:00,0.0,0.3216859996318817,0.2948789894580841,0.1089731305837631,2798,0.0,
1984-06-20 00:00:00+00:00,0.2948789894580841,0.2948789894580841,0.2948789894580841,0.1089731305837631,0,0.0,
1984-06-21 00:00:00+00:00,0.0,0.3216859996318817,0.2948789894580841,0.1089731305837631,2798,0.0,
1984-06-22 00:00:00+00:00,0.0,0.3216859996318817,0.2948789894580841,0.1089731305837631,11191,0.0,
