date,SAVA_Open,SAVA_High,SAVA_Low,SAVA_Close,SAVA_Volume,SAVA_Dividends,SAVA_Stock Splits
2000-07-14 00:00:00+00:00,101.5,184.625,101.5,89.2372055053711,867457,0.0,
2000-07-17 00:00:00+00:00,160.5625,161.0,127.75,81.07837677001953,192143,0.0,
2000-07-18 00:00:00+00:00,132.5625,134.75,130.375,76.99896240234375,28414,0.0,
2000-07-19 00:00:00+00:00,138.6875,161.875,136.5,90.0020980834961,78343,0.0,
2000-07-20 00:00:00+00:00,154.21875,165.375,151.375,88.72727966308594,44871,0.0,
2000-07-21 00:00:00+00:00,154.0,154.0,148.75,86.68756866455078,25986,0.0,
2000-07-24 00:00:00+00:00,149.625,149.625,140.0,82.86312103271484,23386,0.0,
2000-07-25 00:00:00+00:00,146.78125,147.4375,140.4375,82.2257080078125,22314,0.0,
2000-07-26 00:00:00+00:00,141.75,141.75,135.625,81.07837677001953,63057,0.0,
2000-07-27 00:00:00+00:00,138.6875,140.875,135.1875,81.07837677001953,36657,0.0,
2000-07-28 00:00:00+00:00,139.34375,143.5,126.4375,74.9592514038086,28271,0.0,
2000-07-31 00:00:00+00:00,128.625,130.375,116.375,75.46918487548828,35443,0.0,
2000-08-01 00:00:00+00:00,126.0,143.5,126.0,77.5088882446289,40529,0.0,
2000-08-02 00:00:00+00:00,133.4375,142.625,133.0,82.09822845458984,17200,0.0,
2000-08-03 00:00:00+00:00,133.0,140.0,130.375,81.58830261230469,15571,0.0,
2000-08-04 00:00:00+00:00,140.0,147.0,140.0,85.6039810180664,23914,0.0,
2000-08-07 00:00:00+00:00,138.25,146.5625,138.25,81.58830261230469,4043,0.0,
2000-08-08 00:00:00+00:00,142.1875,147.875,127.75,74.44932556152344,12186,0.0,
2000-08-09 00:00:00+00:00,135.625,135.625,127.3125,78.52873992919922,11914,0.0,
2000-08-10 00:00:00+00:00,126.0,129.5,125.125,73.42947387695312,16729,0.0,
2000-08-11 00:00:00+00:00,129.5,129.5,119.0,69.8599853515625,2414,0.0,
2000-08-14 00:00:00+00:00,123.375,128.1875,111.5625,65.01567840576172,11286,0.0,
2000-08-15 00:00:00+00:00,113.3125,115.5,108.5,63.48589706420898,20514,0.0,
2000-08-16 00:00:00+00:00,109.375,109.375,98.4375,58.38663101196289,8071,0.0,
2000-08-17 00:00:00+00:00,103.25,104.5625,100.625,59.66144561767578,13543,0.0,
2000-08-18 00:00:00+00:00,100.625,107.625,98.0,62.721004486083984,3286,0.0,
2000-08-21 00:00:00+00:00,110.03125,111.125,107.625,63.23093795776367,1900,0.0,
2000-08-22 00:00:00+00:00,111.125,122.5,108.5,63.995826721191406,25743,0.0,
