date,DJCO_Open,DJCO_High,DJCO_Low,DJCO_Close,DJCO_Volume,DJCO_Dividends,DJCO_Stock Splits
1986-06-11 00:00:00+00:00,0.0,10.25,9.25,9.25,0,,
1986-06-12 00:00:00+00:00,0.0,10.0,9.0,9.0,2200,,
1986-06-13 00:00:00+00:00,0.0,10.0,9.0,9.0,2300,,
1986-06-16 00:00:00+00:00,0.0,10.0,9.0,9.0,500,,
1986-06-17 00:00:00+00:00,9.0,9.0,9.0,9.0,0,,
1986-06-18 00:00:00+00:00,0.0,10.0,9.0,9.0,200,,
1986-06-19 00:00:00+00:00,0.0,10.0,9.0,9.0,1300,,
1986-06-20 00:00:00+00:00,9.0,9.0,9.0,9.0,0,,
1986-06-23 00:00:00+00:00,0.0,9.75,8.75,8.75,200,,
1986-06-24 00:00:00+00:00,0.0,9.75,8.75,8.75,100,,
1986-06-25 00:00:00+00:00,0.0,9.5,8.75,8.75,600,,
1986-06-26 00:00:00+00:00,8.75,8.75,8.75,8.75,0,,
1986-06-27 00:00:00+00:00,8.75,8.75,8.75,8.75,0,,
1986-06-30 00:00:00+00:00,0.0,9.25,8.25,8.25,600,,
1986-07-01 00:00:00+00:00,8.25,8.25,8.25,8.25,0,,
1986-07-02 00:00:00+00:00,8.25,8.25,8.25,8.25,0,,
1986-07-03 00:00:00+00:00,8.25,8.25,8.25,8.25,0,,
1986-07-07 00:00:00+00:00,0.0,8.25,7.25,7.25,300,,
1986-07-08 00:00:00+00:00,0.0,8.25,7.25,7.25,100,,
1986-07-09 00:00:00+00:00,0.0,8.25,7.25,7.25,800,,
1986-07-10 00:00:00+00:00,0.0,8.25,7.25,7.25,0,,
1986-07-11 00:00:00+00:00,0.0,8.25,7.25,7.25,100,,
1986-07-14 00:00:00+00:00,0.0,8.25,7.25,7.25,1500,,
1986-07-15 00:00:00+00:00,0.0,8.25,7.25,7.25,300,,
1986-07-16 00:00:00+00:00,0.0,8.25,7.25,7.25,100,,
1986-07-17 00:00:00+00:00,0.0,8.25,7.25,7.25,0,,
1986-07-18 00:00:00+00:00,0.0,8.25,7.25,7.25,100,,
1986-07-21 00:00:00+00:00,0.0,8.25,7.25,7.25,3200,,
1986-07-22 00:00:00+00:00,0.0,8.25,7.25,7.25,200,,
1986-07-23 00:00:00+00:00,0.0,8.25,7.25,7.25,500,,
1986-07-24 00:00:00+00:00,0.0,8.25,7.25,7.25,100,,
1986-07-25 00:00:00+00:00,0.0,8.25,7.25,7.25,200,,
1986-07-28 00:00:00+00:00,0.0,8.25,7.25,7.25,500,,
1986-07-29 00:00:00+00:00,0.0,8.25,7.25,7.25,0,,
