date,REZ_Open,REZ_High,REZ_Low,REZ_Close,REZ_Volume,REZ_Dividends,REZ_Stock Splits
2007-05-04 00:00:00+00:00,49.150001525878906,49.150001525878906,48.880001068115234,25.67835998535156,10000,0.0,
2007-05-07 00:00:00+00:00,49.06999969482422,49.06999969482422,49.06999969482422,25.77816772460937,2000,0.0,
2007-05-08 00:00:00+00:00,49.15999984741211,49.15999984741211,49.15999984741211,25.82545661926269,200,0.0,
2007-05-09 00:00:00+00:00,49.09000015258789,49.09000015258789,49.09000015258789,25.7886905670166,2000,0.0,
2007-05-10 00:00:00+00:00,49.70000076293945,49.70000076293945,49.38999938964844,25.9462947845459,8000,0.0,
2007-05-11 00:00:00+00:00,51.02999877929688,51.18999862670898,50.84000015258789,26.891883850097656,3000,0.0,
2007-05-14 00:00:00+00:00,51.18999862670898,51.18999862670898,51.18999862670898,26.891883850097656,0,0.0,
2007-05-15 00:00:00+00:00,51.560001373291016,51.560001373291016,51.560001373291016,27.08625030517578,1000,0.0,
2007-05-16 00:00:00+00:00,51.560001373291016,51.560001373291016,51.560001373291016,27.08625030517578,0,0.0,
2007-05-17 00:00:00+00:00,51.560001373291016,51.560001373291016,51.560001373291016,27.08625030517578,0,0.0,
2007-05-18 00:00:00+00:00,51.560001373291016,51.560001373291016,51.560001373291016,27.08625030517578,0,0.0,
2007-05-21 00:00:00+00:00,51.560001373291016,51.560001373291016,51.560001373291016,27.08625030517578,0,0.0,
2007-05-22 00:00:00+00:00,49.43999862670898,49.43999862670898,49.43999862670898,25.9725399017334,1000,0.0,
2007-05-23 00:00:00+00:00,49.59999847412109,49.59999847412109,49.59999847412109,26.05659484863281,400,0.0,
2007-05-24 00:00:00+00:00,49.59999847412109,49.59999847412109,49.59999847412109,26.05659484863281,0,0.0,
2007-05-25 00:00:00+00:00,50.790000915527344,50.790000915527344,50.43999862670898,26.49788475036621,7000,0.0,
2007-05-29 00:00:00+00:00,52.4900016784668,52.91999816894531,52.400001525878906,27.80071830749512,32000,0.0,
2007-05-30 00:00:00+00:00,52.91999816894531,53.88999938964844,52.91999816894531,28.310279846191406,3300,0.0,
2007-05-31 00:00:00+00:00,54.119998931884766,54.119998931884766,53.43999862670898,28.073884963989254,6900,0.0,
2007-06-01 00:00:00+00:00,53.7400016784668,53.790000915527344,53.31999969482422,28.010862350463867,10100,0.0,
2007-06-04 00:00:00+00:00,53.650001525878906,53.650001525878906,53.59000015258789,28.152692794799805,5700,0.0,
2007-06-05 00:00:00+00:00,53.290000915527344,53.290000915527344,53.290000915527344,27.99507713317871,2000,0.0,
2007-06-06 00:00:00+00:00,53.290000915527344,53.290000915527344,53.290000915527344,27.99507713317871,0,0.0,
2007-06-07 00:00:00+00:00,51.45000076293945,51.45000076293945,51.290000915527344,26.94442176818848,7000,0.0,
2007-06-08 00:00:00+00:00,51.290000915527344,51.290000915527344,51.290000915527344,26.94442176818848,0,0.0,
2007-06-11 00:00:00+00:00,50.36000061035156,51.34999847412109,50.36000061035156,26.97593307495117,300,0.0,
2007-06-12 00:00:00+00:00,51.34999847412109,51.34999847412109,51.34999847412109,26.97593307495117,0,0.0,
