date,SMG_Open,SMG_High,SMG_Low,SMG_Close,SMG_Volume,SMG_Dividends,SMG_Stock Splits
1992-01-31 00:00:00+00:00,12.25,12.25,10.9375,5.789041996002197,19977200,0.0,
1992-02-03 00:00:00+00:00,11.0,11.1875,10.5625,5.626426696777344,4132000,0.0,
1992-02-04 00:00:00+00:00,10.75,10.875,10.625,5.528859615325928,1891000,0.0,
1992-02-05 00:00:00+00:00,11.0,11.375,10.875,5.756518363952637,3734600,0.0,
1992-02-06 00:00:00+00:00,11.125,11.25,11.0,5.789041996002197,1074200,0.0,
1992-02-07 00:00:00+00:00,11.125,11.25,10.875,5.789041996002197,916200,0.0,
1992-02-10 00:00:00+00:00,11.0,11.25,10.5,5.463814735412598,1289800,0.0,
1992-02-11 00:00:00+00:00,10.5,11.375,10.5,5.723994731903076,1285600,0.0,
1992-02-12 00:00:00+00:00,11.0,11.375,11.0,5.789041996002197,1226000,0.0,
1992-02-13 00:00:00+00:00,11.0,11.25,10.5,5.528859615325928,786400,0.0,
1992-02-14 00:00:00+00:00,10.5,11.0,10.5,5.658951759338379,584600,0.0,
1992-02-18 00:00:00+00:00,11.0,11.0,10.375,5.398768424987793,918400,0.0,
1992-02-19 00:00:00+00:00,10.375,10.625,10.375,5.528859615325928,977800,0.0,
1992-02-20 00:00:00+00:00,10.375,10.625,10.375,5.463814735412598,846200,0.0,
1992-02-21 00:00:00+00:00,10.375,10.5,10.125,5.268677711486816,664000,0.0,
1992-02-24 00:00:00+00:00,10.375,10.625,10.125,5.463814735412598,791200,0.0,
1992-02-25 00:00:00+00:00,10.5,10.75,10.375,5.431290626525879,431400,0.0,
1992-02-26 00:00:00+00:00,10.5,10.625,10.25,5.366244792938232,391600,0.0,
1992-02-27 00:00:00+00:00,10.375,10.5,10.25,5.366244792938232,919400,0.0,
1992-02-28 00:00:00+00:00,10.25,10.75,10.25,5.528859615325928,647400,0.0,
1992-03-02 00:00:00+00:00,10.5,10.875,10.5,5.593904495239258,539600,0.0,
1992-03-03 00:00:00+00:00,10.875,10.875,10.5,5.593904495239258,398000,0.0,
1992-03-04 00:00:00+00:00,10.625,10.625,10.125,5.30120325088501,434600,0.0,
1992-03-05 00:00:00+00:00,9.875,10.0,9.375,4.943451881408691,2622600,0.0,
1992-03-06 00:00:00+00:00,9.75,10.125,9.5,5.073541641235352,1099600,0.0,
1992-03-09 00:00:00+00:00,9.75,9.875,9.5,5.138587951660156,101200,0.0,
1992-03-10 00:00:00+00:00,10.0,10.125,9.625,5.008497714996338,775400,0.0,
1992-03-11 00:00:00+00:00,9.75,9.75,9.375,4.910927772521973,1485600,0.0,
1992-03-12 00:00:00+00:00,9.625,9.625,9.125,4.813360214233398,508200,0.0,
