date,MSN_Open,MSN_High,MSN_Low,MSN_Close,MSN_Volume,MSN_Dividends,MSN_Stock Splits
1994-09-01 00:00:00+00:00,1.25,1.25,1.0,0.3723106682300567,2100,0.0,
1994-09-02 00:00:00+00:00,1.5,1.5,1.5,0.4467727839946747,1200,0.0,
1994-09-06 00:00:00+00:00,1.5,1.5,1.375,0.4095416963100433,231200,0.0,
1994-09-07 00:00:00+00:00,1.125,1.375,1.125,0.4095416963100433,207600,0.0,
1994-09-08 00:00:00+00:00,1.5,1.5,1.1875,0.3909261524677276,206600,0.0,
1994-09-09 00:00:00+00:00,1.3125,1.375,1.1875,0.3723106682300567,517700,0.0,
1994-09-12 00:00:00+00:00,1.25,1.375,1.125,0.3536951243877411,646200,0.0,
1994-09-13 00:00:00+00:00,1.25,1.3125,1.125,0.3723106682300567,175100,0.0,
1994-09-14 00:00:00+00:00,1.25,1.3125,1.1875,0.3909261524677276,496600,0.0,
1994-09-15 00:00:00+00:00,1.3125,1.3125,1.25,0.3909261524677276,371000,0.0,
1994-09-16 00:00:00+00:00,1.3125,1.375,1.1875,0.3909261524677276,132900,0.0,
1994-09-19 00:00:00+00:00,1.25,1.3125,1.125,0.3350795805454254,571700,0.0,
1994-09-20 00:00:00+00:00,1.3125,1.3125,1.25,0.3909261524677276,69600,0.0,
1994-09-21 00:00:00+00:00,1.3125,1.3125,1.25,0.3909261524677276,146700,0.0,
1994-09-22 00:00:00+00:00,1.3125,1.3125,1.3125,0.3909261524677276,37200,0.0,
1994-09-23 00:00:00+00:00,1.25,1.3125,1.25,0.3909261524677276,3100,0.0,
1994-09-26 00:00:00+00:00,1.3125,1.3125,1.3125,0.3909261524677276,2000,0.0,
1994-09-27 00:00:00+00:00,1.25,1.3125,1.25,0.3909261524677276,32000,0.0,
1994-09-28 00:00:00+00:00,1.3125,1.3125,1.25,0.3723106682300567,5300,0.0,
1994-09-29 00:00:00+00:00,1.3125,1.3125,1.25,0.3723106682300567,3800,0.0,
1994-09-30 00:00:00+00:00,1.3125,1.375,1.3125,0.4095416963100433,27600,0.0,
1994-10-03 00:00:00+00:00,1.375,1.4375,1.3125,0.4095416963100433,63500,0.0,
1994-10-04 00:00:00+00:00,1.375,1.4375,1.3125,0.3909261524677276,13800,0.0,
1994-10-05 00:00:00+00:00,1.3125,1.4375,1.3125,0.4095416963100433,12800,0.0,
1994-10-06 00:00:00+00:00,1.4375,1.4375,1.375,0.4095416963100433,21900,0.0,
1994-10-07 00:00:00+00:00,1.4375,1.4375,1.3125,0.3909261524677276,11500,0.0,
1994-10-10 00:00:00+00:00,1.4375,1.4375,1.4375,0.428157240152359,400,0.0,
1994-10-11 00:00:00+00:00,1.4375,1.4375,1.3125,0.428157240152359,8000,0.0,
1994-10-12 00:00:00+00:00,1.3125,1.4375,1.3125,0.3909261524677276,8400,0.0,
1994-10-13 00:00:00+00:00,1.375,1.375,1.375,0.4095416963100433,2000,0.0,
1994-10-14 00:00:00+00:00,1.3125,1.4375,1.3125,0.428157240152359,500,0.0,
1994-10-17 00:00:00+00:00,1.3125,1.4375,1.25,0.4095416963100433,11700,0.0,
1994-10-18 00:00:00+00:00,1.25,1.25,1.25,0.3723106682300567,1400,0.0,
1994-10-19 00:00:00+00:00,1.3125,1.375,1.25,0.4095416963100433,69900,0.0,
1994-10-20 00:00:00+00:00,1.1875,1.25,1.1875,0.3536951243877411,500,0.0,
1994-10-21 00:00:00+00:00,1.1875,1.375,1.1875,0.4095416963100433,15600,0.0,
1994-10-24 00:00:00+00:00,1.1875,1.25,1.125,0.3723106682300567,23700,0.0,
1994-10-25 00:00:00+00:00,1.25,1.25,1.125,0.3350795805454254,30000,0.0,
1994-10-26 00:00:00+00:00,1.125,1.25,1.125,0.3723106682300567,11300,0.0,
1994-10-27 00:00:00+00:00,1.25,1.25,1.25,0.3723106682300567,300,0.0,
1994-10-28 00:00:00+00:00,1.25,1.25,1.125,0.3536951243877411,13500,0.0,
1994-10-31 00:00:00+00:00,1.3125,1.3125,1.3125,0.3909261524677276,3000,0.0,
1994-11-01 00:00:00+00:00,1.3125,1.3125,1.125,0.3350795805454254,1500,0.0,
1994-11-02 00:00:00+00:00,1.125,1.1875,1.125,0.3350795805454254,11100,0.0,
1994-11-03 00:00:00+00:00,1.0,1.125,1.0,0.3350795805454254,5500,0.0,
1994-11-04 00:00:00+00:00,1.0,1.0625,1.0,0.3164640367031097,8800,0.0,
1994-11-07 00:00:00+00:00,1.0625,1.125,1.0,0.3350795805454254,11600,0.0,
1994-11-08 00:00:00+00:00,1.0,1.125,0.9375,0.3350795805454254,55800,0.0,
1994-11-09 00:00:00+00:00,1.125,1.1875,1.0625,0.3164640367031097,37200,0.0,
1994-11-10 00:00:00+00:00,1.25,1.3125,1.1875,0.3909261524677276,26300,0.0,
1994-11-11 00:00:00+00:00,1.1875,1.1875,1.1875,0.3536951243877411,5800,0.0,
1994-11-14 00:00:00+00:00,1.3125,1.3125,1.1875,0.3536951243877411,17200,0.0,
1994-11-15 00:00:00+00:00,1.1875,1.1875,1.1875,0.3536951243877411,0,0.0,
1994-11-16 00:00:00+00:00,1.25,1.3125,1.1875,0.3909261524677276,4700,0.0,
1994-11-17 00:00:00+00:00,1.3125,1.3125,1.3125,0.3909261524677276,15000,0.0,
1994-11-18 00:00:00+00:00,1.3125,1.3125,1.25,0.3723106682300567,14200,0.0,
1994-11-21 00:00:00+00:00,1.3125,1.5625,1.25,0.428157240152359,119500,0.0,
1994-11-22 00:00:00+00:00,1.5,1.625,1.5,0.4653882980346679,270300,0.0,
1994-11-23 00:00:00+00:00,1.625,2.0625,1.5,0.5956970453262329,296300,0.0,
1994-11-25 00:00:00+00:00,2.0,2.0,1.875,0.5956970453262329,22500,0.0,
1994-11-28 00:00:00+00:00,2.0,2.0625,1.8125,0.5584659576416016,237400,0.0,
1994-11-29 00:00:00+00:00,2.0,2.0625,1.875,0.5770815014839172,102200,0.0,
1994-11-30 00:00:00+00:00,2.0,2.625,1.9375,0.7446213364601135,411600,0.0,
1994-12-01 00:00:00+00:00,2.4375,2.5625,2.3125,0.6887747049331665,35600,0.0,
1994-12-02 00:00:00+00:00,2.375,2.4375,2.125,0.7073902487754822,57800,0.0,
1994-12-05 00:00:00+00:00,2.375,2.375,2.125,0.6329280734062195,15000,0.0,
1994-12-06 00:00:00+00:00,2.125,2.25,1.875,0.5584659576416016,67300,0.0,
