date,ALB_Open,ALB_High,ALB_Low,ALB_Close,ALB_Volume,ALB_Dividends,ALB_Stock Splits
1994-02-22 00:00:00+00:00,7.375,7.375,7.25,4.37583589553833,20800,0.0,
1994-02-23 00:00:00+00:00,7.125,7.125,6.75,4.1872239112854,31600,0.0,
1994-02-24 00:00:00+00:00,6.9375,6.9375,6.8125,4.111778736114502,32000,0.0,
1994-02-25 00:00:00+00:00,6.6875,6.6875,6.25,3.885441541671753,49800,0.0,
1994-02-28 00:00:00+00:00,6.5,6.75,6.4375,3.998610019683838,170400,0.0,
1994-03-01 00:00:00+00:00,6.625,6.625,6.5,3.960886240005493,41600,0.0,
1994-03-02 00:00:00+00:00,6.4375,6.5625,6.4375,3.960886240005493,67000,0.0,
1994-03-03 00:00:00+00:00,6.625,6.625,6.5,3.9231674671173096,27800,0.0,
1994-03-04 00:00:00+00:00,6.5,6.75,6.4375,4.074057102203369,358200,0.0,
1994-03-07 00:00:00+00:00,6.4375,6.8125,6.4375,4.074057102203369,690800,0.0,
1994-03-08 00:00:00+00:00,6.75,6.8125,6.75,4.111778736114502,515200,0.0,
1994-03-09 00:00:00+00:00,6.8125,6.875,6.8125,4.149503231048584,540400,0.0,
1994-03-10 00:00:00+00:00,6.875,6.875,6.8125,4.149503231048584,1832200,0.0,
1994-03-11 00:00:00+00:00,6.9375,7.1875,6.9375,4.338116645812988,1895400,0.0,
1994-03-14 00:00:00+00:00,7.1875,7.625,7.1875,4.564451217651367,1413800,0.0,
1994-03-15 00:00:00+00:00,7.5625,7.6875,7.4375,4.489005088806152,1665200,0.0,
1994-03-16 00:00:00+00:00,7.4375,7.4375,7.3125,4.489005088806152,717000,0.0,
1994-03-17 00:00:00+00:00,7.4375,7.6875,7.4375,4.579846382141113,971200,0.025,
1994-03-18 00:00:00+00:00,7.625,7.6875,7.625,4.6176958084106445,1178000,0.0,
1994-03-21 00:00:00+00:00,7.625,7.6875,7.625,4.655547618865967,659400,0.0,
1994-03-22 00:00:00+00:00,7.6875,7.875,7.6875,4.731245040893555,374000,0.0,
1994-03-23 00:00:00+00:00,7.8125,7.9375,7.75,4.769094944000244,430200,0.0,
1994-03-24 00:00:00+00:00,7.8125,7.875,7.75,4.693397045135498,747000,0.0,
1994-03-25 00:00:00+00:00,7.8125,7.8125,7.625,4.655547618865967,370000,0.0,
1994-03-28 00:00:00+00:00,7.6875,7.6875,7.625,4.6176958084106445,1116200,0.0,
1994-03-29 00:00:00+00:00,7.625,7.6875,7.5,4.541994094848633,595800,0.0,
1994-03-30 00:00:00+00:00,7.5,7.5,7.3125,4.4662957191467285,653000,0.0,
1994-03-31 00:00:00+00:00,7.375,7.4375,7.25,4.4662957191467285,448400,0.0,
1994-04-04 00:00:00+00:00,7.125,7.375,7.125,4.4662957191467285,386600,0.0,
1994-04-05 00:00:00+00:00,7.3125,7.6875,7.3125,4.6176958084106445,361600,0.0,
1994-04-06 00:00:00+00:00,7.625,7.6875,7.375,4.4662957191467285,551400,0.0,
1994-04-07 00:00:00+00:00,7.5,7.5,7.375,4.504148006439209,338400,0.0,
1994-04-08 00:00:00+00:00,7.3125,7.5,7.3125,4.541994094848633,166000,0.0,
1994-04-11 00:00:00+00:00,7.5,7.625,7.25,4.390595436096191,424800,0.0,
1994-04-12 00:00:00+00:00,7.125,7.25,7.125,4.314898490905762,602800,0.0,
1994-04-13 00:00:00+00:00,7.125,7.3125,7.0,4.23919677734375,504600,0.0,
1994-04-14 00:00:00+00:00,7.0625,7.0625,6.9375,4.2013468742370605,378200,0.0,
1994-04-15 00:00:00+00:00,6.875,7.0625,6.875,4.163497924804688,197600,0.0,
1994-04-18 00:00:00+00:00,7.0,7.25,7.0,4.390595436096191,184800,0.0,
1994-04-19 00:00:00+00:00,7.1875,7.3125,7.1875,4.390595436096191,122200,0.0,
1994-04-20 00:00:00+00:00,7.3125,7.3125,7.125,4.314898490905762,201400,0.0,
1994-04-21 00:00:00+00:00,7.125,7.3125,6.875,4.163497924804688,858200,0.0,
1994-04-22 00:00:00+00:00,7.0,7.25,7.0,4.390595436096191,411400,0.0,
1994-04-25 00:00:00+00:00,7.1875,7.625,7.1875,4.6176958084106445,330600,0.0,
1994-04-26 00:00:00+00:00,7.5625,7.5625,7.25,4.4662957191467285,313400,0.0,
1994-04-28 00:00:00+00:00,7.3125,7.3125,7.125,4.428447246551514,161600,0.0,
1994-04-29 00:00:00+00:00,7.25,7.3125,7.1875,4.390595436096191,344600,0.0,
1994-05-02 00:00:00+00:00,7.1875,7.3125,7.0625,4.352747440338135,135800,0.0,
1994-05-03 00:00:00+00:00,7.25,7.4375,7.125,4.352747440338135,375200,0.0,
1994-05-04 00:00:00+00:00,7.125,7.375,7.125,4.428447246551514,491800,0.0,
1994-05-05 00:00:00+00:00,7.3125,7.3125,7.1875,4.390595436096191,152800,0.0,
1994-05-06 00:00:00+00:00,7.25,7.3125,7.25,4.390595436096191,272800,0.0,
1994-05-09 00:00:00+00:00,7.25,7.3125,7.25,4.390595436096191,161600,0.0,
1994-05-10 00:00:00+00:00,7.25,7.5,7.25,4.541994094848633,308200,0.0,
1994-05-11 00:00:00+00:00,7.5,7.6875,7.5,4.579846382141113,388600,0.0,
1994-05-12 00:00:00+00:00,7.5,7.75,7.5,4.693397045135498,155000,0.0,
1994-05-13 00:00:00+00:00,7.6875,7.75,7.375,4.4662957191467285,105200,0.0,
