date,MPU_Open,MPU_High,MPU_Low,MPU_Close,MPU_Volume,MPU_Dividends,MPU_Stock Splits
1998-01-20 00:00:00+00:00,1.75,1.75,1.625,1.606411337852478,75500,0.0,
1998-01-21 00:00:00+00:00,1.600000023841858,1.600000023841858,1.600000023841858,1.5816973447799685,14500,0.0,
1998-01-22 00:00:00+00:00,1.600000023841858,1.600000023841858,1.600000023841858,1.5816973447799685,4500,0.0,
1998-01-23 00:00:00+00:00,1.600000023841858,1.600000023841858,1.600000023841858,1.5816973447799685,3500,0.0,
1998-01-26 00:00:00+00:00,1.600000023841858,1.600000023841858,1.5750000476837158,1.5569833517074585,9000,0.0,
1998-01-27 00:00:00+00:00,1.5750000476837158,1.5750000476837158,1.5499999523162842,1.5322692394256592,8000,0.0,
1998-01-28 00:00:00+00:00,1.524999976158142,1.5499999523162842,1.524999976158142,1.5322692394256592,14000,0.0,
1998-01-29 00:00:00+00:00,1.537500023841858,1.537500023841858,1.537500023841858,1.5199122428894043,12000,0.0,
1998-01-30 00:00:00+00:00,1.537500023841858,1.537500023841858,1.537500023841858,1.5199122428894043,0,0.0,
1998-02-02 00:00:00+00:00,1.537500023841858,1.537500023841858,1.5,1.4828412532806396,22000,0.0,
1998-02-03 00:00:00+00:00,1.524999976158142,1.5750000476837158,1.524999976158142,1.5322692394256592,30500,0.0,
1998-02-04 00:00:00+00:00,1.5499999523162842,1.5499999523162842,1.537500023841858,1.5322692394256592,27000,0.0,
1998-02-05 00:00:00+00:00,1.5499999523162842,1.5499999523162842,1.5499999523162842,1.5322692394256592,12500,0.0,
1998-02-06 00:00:00+00:00,1.5499999523162842,1.5499999523162842,1.5499999523162842,1.5322692394256592,14000,0.0,
1998-02-09 00:00:00+00:00,1.5,1.5,1.5,1.4828412532806396,45500,0.0,
1998-02-10 00:00:00+00:00,1.5,1.5,1.4500000476837158,1.4334131479263306,22000,0.0,
1998-02-11 00:00:00+00:00,1.4500000476837158,1.4500000476837158,1.375,1.3839850425720217,21000,0.0,
1998-02-12 00:00:00+00:00,1.399999976158142,1.399999976158142,1.399999976158142,1.3839850425720217,5000,0.0,
1998-02-13 00:00:00+00:00,1.399999976158142,1.399999976158142,1.399999976158142,1.3839850425720217,3000,0.0,
1998-02-17 00:00:00+00:00,1.399999976158142,1.399999976158142,1.399999976158142,1.3839850425720217,1500,0.0,
1998-02-18 00:00:00+00:00,1.399999976158142,1.399999976158142,1.399999976158142,1.3839850425720217,6500,0.0,
1998-02-19 00:00:00+00:00,1.399999976158142,1.399999976158142,1.399999976158142,1.3839850425720217,20000,0.0,
1998-02-20 00:00:00+00:00,1.399999976158142,1.399999976158142,1.399999976158142,1.3839850425720217,1500,0.0,
1998-02-23 00:00:00+00:00,1.399999976158142,1.399999976158142,1.399999976158142,1.3839850425720217,1500,0.0,
1998-02-24 00:00:00+00:00,1.399999976158142,1.399999976158142,1.399999976158142,1.3839850425720217,500,0.0,
1998-02-25 00:00:00+00:00,1.399999976158142,1.399999976158142,1.399999976158142,1.3839850425720217,1500,0.0,
1998-02-26 00:00:00+00:00,1.399999976158142,1.399999976158142,1.399999976158142,1.3839850425720217,0,0.0,
1998-02-27 00:00:00+00:00,1.399999976158142,1.399999976158142,1.399999976158142,1.3839850425720217,0,0.0,
1998-03-02 00:00:00+00:00,1.375,1.375,1.350000023841858,1.334557056427002,9000,0.0,
1998-03-03 00:00:00+00:00,1.3250000476837158,1.3250000476837158,1.2999999523162842,1.2851289510726929,16000,0.0,
