date,JWN_Open,JWN_High,JWN_Low,JWN_Close,JWN_Volume,JWN_Dividends,JWN_Stock Splits
1980-03-17 00:00:00+00:00,0.0,1.9375,1.84375,0.8971157073974609,37600,0.0,
1980-03-18 00:00:00+00:00,0.0,2.0,1.90625,0.9275264739990234,100800,0.0,
1980-03-19 00:00:00+00:00,0.0,2.0625,1.96875,0.9579371213912964,30400,0.0,
1980-03-20 00:00:00+00:00,0.0,2.0625,1.96875,0.9579371213912964,27200,0.0,
1980-03-21 00:00:00+00:00,0.0,2.0625,1.96875,0.9579371213912964,7200,0.0,
1980-03-24 00:00:00+00:00,0.0,2.03125,1.9375,0.9427321553230286,50400,0.0,
1980-03-25 00:00:00+00:00,0.0,2.03125,1.9375,0.9427321553230286,26400,0.0,
1980-03-26 00:00:00+00:00,0.0,2.03125,1.9375,0.9427321553230286,80800,0.0,
1980-03-27 00:00:00+00:00,0.0,2.0,1.90625,0.9275264739990234,70400,0.0,
1980-03-28 00:00:00+00:00,0.0,2.0625,1.96875,0.9579371213912964,63200,0.0,
1980-03-31 00:00:00+00:00,0.0,2.0625,1.96875,0.9579371213912964,4800,0.0,
1980-04-01 00:00:00+00:00,0.0,2.125,2.03125,0.9883482456207277,27200,0.0,
1980-04-02 00:00:00+00:00,0.0,2.21875,2.125,1.0339645147323608,38400,0.0,
1980-04-03 00:00:00+00:00,0.0,2.21875,2.125,1.0339645147323608,7200,0.0,
1980-04-07 00:00:00+00:00,0.0,2.21875,2.125,1.0339645147323608,9600,0.0,
1980-04-08 00:00:00+00:00,0.0,2.21875,2.125,1.0339645147323608,27200,0.0,
1980-04-09 00:00:00+00:00,0.0,2.375,2.28125,1.1099908351898191,48000,0.0,
1980-04-10 00:00:00+00:00,0.0,2.375,2.28125,1.1099908351898191,23200,0.0,
1980-04-11 00:00:00+00:00,0.0,2.40625,2.3125,1.1251962184906006,54400,0.0,
1980-04-14 00:00:00+00:00,0.0,2.40625,2.3125,1.1251962184906006,32800,0.0,
1980-04-15 00:00:00+00:00,0.0,2.4375,2.34375,1.14040207862854,44000,0.0,
1980-04-16 00:00:00+00:00,0.0,2.40625,2.3125,1.1251962184906006,76000,0.0,
1980-04-17 00:00:00+00:00,0.0,2.28125,2.1875,1.064375400543213,247200,0.0,
1980-04-18 00:00:00+00:00,0.0,2.28125,2.1875,1.064375400543213,8000,0.0,
1980-04-21 00:00:00+00:00,0.0,2.3125,2.21875,1.079580307006836,38400,0.0,
1980-04-22 00:00:00+00:00,0.0,2.34375,2.25,1.094785451889038,188800,0.0,
1980-04-23 00:00:00+00:00,0.0,2.3125,2.21875,1.079580307006836,68800,0.0,
1980-04-24 00:00:00+00:00,0.0,2.3125,2.21875,1.079580307006836,71200,0.0,
1980-04-25 00:00:00+00:00,0.0,2.3125,2.21875,1.079580307006836,18400,0.0,
1980-04-28 00:00:00+00:00,0.0,2.3125,2.21875,1.079580307006836,39200,0.0,
1980-04-29 00:00:00+00:00,0.0,2.3125,2.21875,1.079580307006836,4000,0.0,
1980-04-30 00:00:00+00:00,0.0,2.3125,2.21875,1.079580307006836,23200,0.0,
1980-05-01 00:00:00+00:00,0.0,2.34375,2.25,1.094785451889038,21600,0.0,
1980-05-02 00:00:00+00:00,0.0,2.3125,2.21875,1.079580307006836,30400,0.0,
1980-05-05 00:00:00+00:00,0.0,2.3125,2.21875,1.079580307006836,8800,0.0,
1980-05-06 00:00:00+00:00,0.0,2.3125,2.21875,1.079580307006836,3200,0.0,
1980-05-07 00:00:00+00:00,0.0,2.3125,2.21875,1.079580307006836,8800,0.0,
1980-05-08 00:00:00+00:00,0.0,2.28125,2.1875,1.064375400543213,25600,0.0,
1980-05-09 00:00:00+00:00,0.0,2.28125,2.1875,1.064375400543213,24800,0.0,
1980-05-12 00:00:00+00:00,0.0,2.28125,2.1875,1.064375400543213,47200,0.0,
1980-05-13 00:00:00+00:00,0.0,2.34375,2.25,1.094785451889038,236800,0.0,
1980-05-14 00:00:00+00:00,0.0,2.34375,2.25,1.094785451889038,48800,0.0,
1980-05-15 00:00:00+00:00,0.0,2.375,2.28125,1.1099908351898191,61600,0.0,
1980-05-16 00:00:00+00:00,0.0,2.40625,2.3125,1.1251962184906006,16000,0.0,
1980-05-19 00:00:00+00:00,0.0,2.4375,2.34375,1.14040207862854,35200,0.0,
1980-05-20 00:00:00+00:00,0.0,2.375,2.28125,1.1099908351898191,120800,0.0,
1980-05-21 00:00:00+00:00,0.0,2.34375,2.25,1.094785451889038,22400,0.0,
1980-05-22 00:00:00+00:00,0.0,2.34375,2.25,1.094785451889038,18400,0.0,
1980-05-23 00:00:00+00:00,0.0,2.34375,2.25,1.094785451889038,28800,0.0,
1980-05-27 00:00:00+00:00,0.0,2.375,2.28125,1.1099908351898191,12800,0.0,
1980-05-28 00:00:00+00:00,0.0,2.34375,2.25,1.094785451889038,64800,0.0,
1980-05-29 00:00:00+00:00,0.0,2.34375,2.25,1.094785451889038,64000,0.0,
1980-05-30 00:00:00+00:00,0.0,2.3125,2.21875,1.079580307006836,75200,0.0,
1980-06-02 00:00:00+00:00,0.0,2.3125,2.21875,1.079580307006836,4000,0.0,
1980-06-03 00:00:00+00:00,0.0,2.28125,2.1875,1.064375400543213,20800,0.0,
1980-06-04 00:00:00+00:00,0.0,2.28125,2.1875,1.064375400543213,46400,0.0,
1980-06-05 00:00:00+00:00,0.0,2.3125,2.21875,1.079580307006836,42400,0.0,
1980-06-06 00:00:00+00:00,0.0,2.25,2.15625,1.049169659614563,34400,0.0,
1980-06-09 00:00:00+00:00,0.0,2.21875,2.125,1.0339645147323608,27200,0.0,
1980-06-10 00:00:00+00:00,0.0,2.1875,2.09375,1.0187585353851318,147200,0.0,
1980-06-11 00:00:00+00:00,0.0,2.21875,2.125,1.0339645147323608,97600,0.0,
1980-06-12 00:00:00+00:00,0.0,2.1875,2.09375,1.0187585353851318,84800,0.0,
1980-06-13 00:00:00+00:00,0.0,2.1875,2.09375,1.0187585353851318,50400,0.0,
1980-06-16 00:00:00+00:00,0.0,2.1875,2.09375,1.0187585353851318,8800,0.0,
1980-06-17 00:00:00+00:00,0.0,2.21875,2.125,1.0339645147323608,143200,0.0,
1980-06-18 00:00:00+00:00,0.0,2.1875,2.09375,1.0187585353851318,60800,0.0,
1980-06-19 00:00:00+00:00,0.0,2.1875,2.09375,1.0187585353851318,111200,0.0,
1980-06-20 00:00:00+00:00,0.0,2.1875,2.09375,1.0187585353851318,37600,0.0,
1980-06-23 00:00:00+00:00,0.0,2.1875,2.09375,1.0187585353851318,27200,0.0,
1980-06-24 00:00:00+00:00,0.0,2.21875,2.125,1.0339645147323608,93600,0.0,
1980-06-25 00:00:00+00:00,0.0,2.21875,2.125,1.0339645147323608,61600,0.0,
1980-06-26 00:00:00+00:00,0.0,2.21875,2.125,1.0339645147323608,37600,0.0,
1980-06-27 00:00:00+00:00,0.0,2.21875,2.125,1.0339645147323608,37600,0.0,
1980-06-30 00:00:00+00:00,0.0,2.21875,2.125,1.0339645147323608,42400,0.0,
1980-07-01 00:00:00+00:00,0.0,2.21875,2.125,1.0339645147323608,37600,0.0,
1980-07-02 00:00:00+00:00,0.0,2.21875,2.125,1.0339645147323608,243200,0.0,
1980-07-03 00:00:00+00:00,0.0,2.28125,2.1875,1.064375400543213,218400,0.0,
1980-07-07 00:00:00+00:00,0.0,2.25,2.21875,1.079580307006836,54400,0.0,
1980-07-08 00:00:00+00:00,0.0,2.25,2.21875,1.079580307006836,81600,0.0,
1980-07-09 00:00:00+00:00,0.0,2.25,2.21875,1.079580307006836,130400,0.0,
1980-07-10 00:00:00+00:00,0.0,2.25,2.1875,1.064375400543213,120800,0.0,
1980-07-11 00:00:00+00:00,0.0,2.25,2.21875,1.079580307006836,359200,0.0,
1980-07-14 00:00:00+00:00,0.0,2.25,2.21875,1.079580307006836,304800,0.0,
1980-07-15 00:00:00+00:00,0.0,2.25,2.21875,1.079580307006836,38400,0.0,
1980-07-16 00:00:00+00:00,0.0,2.3125,2.28125,1.1099908351898191,312000,0.0,
1980-07-17 00:00:00+00:00,0.0,2.34375,2.3125,1.1251962184906006,332000,0.0,
1980-07-18 00:00:00+00:00,0.0,2.5,2.46875,1.201223373413086,231200,0.0,
1980-07-21 00:00:00+00:00,0.0,2.75,2.71875,1.3228665590286257,154400,0.0,
1980-07-22 00:00:00+00:00,0.0,2.65625,2.625,1.277250051498413,136800,0.0,
1980-07-23 00:00:00+00:00,0.0,2.71875,2.6875,1.3076611757278442,61600,0.0,
1980-07-24 00:00:00+00:00,0.0,2.78125,2.71875,1.3228665590286257,198400,0.0,
1980-07-25 00:00:00+00:00,0.0,2.78125,2.71875,1.3228665590286257,618400,0.0,
1980-07-28 00:00:00+00:00,0.0,2.78125,2.71875,1.3228665590286257,208800,0.0,
1980-07-29 00:00:00+00:00,0.0,2.78125,2.71875,1.3228665590286257,109600,0.0,
1980-07-30 00:00:00+00:00,0.0,3.0,2.96875,1.444508075714111,194400,0.0,
1980-07-31 00:00:00+00:00,0.0,3.0,2.9375,1.4293031692504885,336800,0.0,
1980-08-01 00:00:00+00:00,0.0,3.0625,3.0,1.4597147703170776,115200,0.0,
1980-08-04 00:00:00+00:00,0.0,3.03125,2.96875,1.444508075714111,73600,0.0,
1980-08-05 00:00:00+00:00,0.0,3.0,2.96875,1.444508075714111,48800,0.0,
1980-08-06 00:00:00+00:00,0.0,3.0,2.96875,1.444508075714111,40000,0.0,
1980-08-07 00:00:00+00:00,0.0,3.03125,2.96875,1.444508075714111,12000,0.0,
1980-08-08 00:00:00+00:00,0.0,3.0,2.9375,1.4293031692504885,196000,0.0,
1980-08-11 00:00:00+00:00,0.0,3.0,2.96875,1.444508075714111,16000,0.0,
1980-08-12 00:00:00+00:00,0.0,3.0,2.9375,1.4293031692504885,59200,0.0,
1980-08-13 00:00:00+00:00,0.0,3.0,2.9375,1.4293031692504885,58400,0.0,
1980-08-14 00:00:00+00:00,0.0,3.0,2.9375,1.4293031692504885,128000,0.0,
1980-08-15 00:00:00+00:00,0.0,3.125,3.0625,1.4901248216629028,128800,0.0,
1980-08-18 00:00:00+00:00,0.0,3.09375,3.0625,1.4901248216629028,125600,0.0,
1980-08-19 00:00:00+00:00,0.0,3.0625,3.03125,1.474920392036438,51200,0.0,
1980-08-20 00:00:00+00:00,0.0,3.09375,3.0625,1.4901248216629028,35200,0.0,
1980-08-21 00:00:00+00:00,0.0,3.09375,3.0625,1.4901248216629028,60000,0.0,
1980-08-22 00:00:00+00:00,0.0,3.0625,3.03125,1.474920392036438,64000,0.0,
1980-08-25 00:00:00+00:00,0.0,3.03125,2.96875,1.444508075714111,59200,0.0,
1980-08-26 00:00:00+00:00,0.0,2.96875,2.9375,1.4293031692504885,250400,0.0,
1980-08-27 00:00:00+00:00,0.0,3.0,2.9375,1.4293031692504885,288000,0.0,
1980-08-28 00:00:00+00:00,0.0,2.90625,2.875,1.3988927602767944,116800,0.0,
