date,RIGL_Open,RIGL_High,RIGL_Low,RIGL_Close,RIGL_Volume,RIGL_Dividends,RIGL_Stock Splits
2000-11-29 00:00:00+00:00,652.5,708.75,630.0,639.84375,22122,,
2000-11-30 00:00:00+00:00,630.0,646.875,625.78125,635.625,3778,,
2000-12-01 00:00:00+00:00,635.625,725.625,630.0,663.75,4410,,
2000-12-04 00:00:00+00:00,720.0,725.625,675.0,675.0,2649,,
2000-12-05 00:00:00+00:00,677.8125,697.5,632.8125,691.875,2176,,
2000-12-06 00:00:00+00:00,703.125,708.75,675.0,675.0,1564,,
2000-12-07 00:00:00+00:00,676.40625,686.25,646.875,655.3125,1032,,
2000-12-08 00:00:00+00:00,652.5,669.375,641.25,663.75,682,,
2000-12-11 00:00:00+00:00,675.0,787.5,641.25,753.75,3826,,
2000-12-12 00:00:00+00:00,812.8125,821.25,748.125,793.125,2037,,
2000-12-13 00:00:00+00:00,832.5,832.5,686.25,708.75,2118,,
2000-12-14 00:00:00+00:00,714.375,742.5,675.0,708.75,1204,,
2000-12-15 00:00:00+00:00,677.8125,720.0,632.8125,680.625,1088,,
2000-12-18 00:00:00+00:00,717.1875,717.1875,630.0,663.75,798,,
2000-12-19 00:00:00+00:00,632.8125,697.5,630.0,663.75,1007,,
2000-12-20 00:00:00+00:00,652.5,652.5,630.0,630.0,1830,,
2000-12-21 00:00:00+00:00,638.4375,658.125,630.0,641.25,561,,
2000-12-22 00:00:00+00:00,635.625,691.875,635.625,663.75,734,,
2000-12-26 00:00:00+00:00,652.5,742.5,652.5,720.0,881,,
2000-12-27 00:00:00+00:00,687.65625,810.0,687.65625,810.0,1704,,
2000-12-28 00:00:00+00:00,812.8125,849.375,759.375,821.25,682,,
2000-12-29 00:00:00+00:00,832.5,900.0,832.5,900.0,939,,
2001-01-02 00:00:00+00:00,945.0,1023.75,855.0,1023.75,1807,,
2001-01-03 00:00:00+00:00,1136.25,1147.5,1057.5,1068.75,2492,,
2001-01-04 00:00:00+00:00,1119.375,1141.875,798.75,978.75,1266,,
2001-01-05 00:00:00+00:00,967.5,1001.25,928.125,984.375,612,,
2001-01-08 00:00:00+00:00,981.5625,1001.25,866.25,888.75,363,,
2001-01-09 00:00:00+00:00,915.46875,915.46875,703.125,756.5625,1613,,
2001-01-10 00:00:00+00:00,748.125,787.5,708.75,787.5,1049,,
2001-01-11 00:00:00+00:00,804.375,810.0,731.25,770.625,1529,,
2001-01-12 00:00:00+00:00,776.25,810.0,748.125,810.0,1268,,
