date,IOR_Open,IOR_High,IOR_Low,IOR_Close,IOR_Volume,IOR_Dividends,IOR_Stock Splits
1986-11-05 00:00:00+00:00,0.0,13.333333015441896,12.0,4.548157215118408,9000,0.0,
1986-11-06 00:00:00+00:00,0.0,12.0,10.666666984558104,4.042806148529053,29850,0.0,
1986-11-07 00:00:00+00:00,0.0,11.333333015441896,10.666666984558104,4.042806148529053,1350,0.0,
1986-11-10 00:00:00+00:00,0.0,11.333333015441896,10.666666984558104,4.042806148529053,750,0.0,
1986-11-11 00:00:00+00:00,0.0,11.333333015441896,10.0,3.790130376815796,750,0.0,
1986-11-12 00:00:00+00:00,0.0,10.0,8.666666984558105,3.2847793102264404,4050,0.0,
1986-11-13 00:00:00+00:00,0.0,10.0,8.666666984558105,3.2847793102264404,1200,0.0,
1986-11-14 00:00:00+00:00,0.0,9.333333015441896,8.833333015441895,3.347949266433716,3900,0.0,
1986-11-17 00:00:00+00:00,0.0,9.666666984558104,8.833333015441895,3.347949266433716,2700,0.0,
1986-11-18 00:00:00+00:00,0.0,9.666666984558104,9.166666984558104,3.4742870330810547,750,0.0,
1986-11-19 00:00:00+00:00,0.0,9.666666984558104,9.333333015441896,3.5374550819396973,150,0.0,
1986-11-20 00:00:00+00:00,0.0,10.333333015441896,9.666666984558104,3.663794040679932,2100,0.0,
1986-11-21 00:00:00+00:00,0.0,10.333333015441896,9.666666984558104,3.663794040679932,450,0.0,
1986-11-24 00:00:00+00:00,9.666666984558104,9.666666984558104,9.666666984558104,3.663794040679932,0,0.0,
1986-11-25 00:00:00+00:00,0.0,10.333333015441896,9.833333015441896,3.726962327957153,450,0.0,
1986-11-26 00:00:00+00:00,0.0,10.333333015441896,9.833333015441896,3.726962327957153,600,0.0,
1986-11-28 00:00:00+00:00,0.0,10.333333015441896,9.333333015441896,3.5374550819396973,10350,0.0,
1986-12-01 00:00:00+00:00,9.333333015441896,9.333333015441896,9.333333015441896,3.5374550819396973,0,0.0,
1986-12-02 00:00:00+00:00,0.0,10.0,9.333333015441896,3.5374550819396973,600,0.0,
1986-12-03 00:00:00+00:00,0.0,10.0,9.333333015441896,3.5374550819396973,750,0.0,
1986-12-04 00:00:00+00:00,9.333333015441896,9.333333015441896,9.333333015441896,3.5374550819396973,0,0.0,
1986-12-05 00:00:00+00:00,0.0,10.0,9.166666984558104,3.4742870330810547,300,0.0,
1986-12-08 00:00:00+00:00,0.0,9.333333015441896,8.666666984558105,3.2847793102264404,2700,0.0,
