date,REW_Open,REW_High,REW_Low,REW_Close,REW_Volume,REW_Dividends,REW_Stock Splits
2007-02-02 00:00:00+00:00,35466.23828125,35727.359375,35466.23828125,23328.0078125,16,0.0,
2007-02-05 00:00:00+00:00,35589.12109375,35589.12109375,35507.19921875,23277.755859375,13,0.0,
2007-02-06 00:00:00+00:00,35942.3984375,36126.71875,35911.6796875,23502.25390625,16,0.0,
2007-02-07 00:00:00+00:00,35450.87890625,35450.87890625,35118.078125,23133.66796875,10,0.0,
2007-02-08 00:00:00+00:00,35461.12109375,35537.921875,35087.359375,22962.7734375,22,0.0,
2007-02-09 00:00:00+00:00,35256.3203125,36346.87890625,35256.3203125,23639.630859375,24,0.0,
2007-02-12 00:00:00+00:00,36464.640625,36572.16015625,36316.16015625,23924.44140625,6,0.0,
2007-02-13 00:00:00+00:00,36203.51953125,36336.640625,36044.80078125,23780.359375,4,0.0,
2007-02-14 00:00:00+00:00,35722.23828125,35732.48046875,35261.44140625,23120.263671875,14,0.0,
2007-02-15 00:00:00+00:00,35240.9609375,35287.0390625,34990.078125,22969.4765625,14,0.0,
2007-02-16 00:00:00+00:00,35368.9609375,35430.3984375,35368.9609375,23187.27734375,0,0.0,
2007-02-20 00:00:00+00:00,35665.921875,35712.0,35112.9609375,22979.529296875,9,0.0,
2007-02-21 00:00:00+00:00,35210.23828125,35210.23828125,35072.0,22952.73046875,1,0.0,
2007-02-22 00:00:00+00:00,34606.078125,35041.28125,34585.6015625,22932.6171875,32,0.0,
2007-02-23 00:00:00+00:00,34851.83984375,34979.83984375,34754.55859375,22801.935546875,31,0.0,
2007-02-26 00:00:00+00:00,35056.640625,35584.0,35056.640625,23113.55859375,40,0.0,
2007-02-27 00:00:00+00:00,36787.19921875,38353.921875,36367.359375,24540.986328125,161,0.0,
2007-02-28 00:00:00+00:00,38400.0,38400.0,37314.55859375,24594.599609375,5,0.0,
2007-03-01 00:00:00+00:00,39168.0,39168.0,37990.3984375,24993.333984375,6,0.0,
2007-03-02 00:00:00+00:00,38297.6015625,39285.76171875,38272.0,25633.33203125,12,0.0,
2007-03-05 00:00:00+00:00,39526.3984375,39864.3203125,38727.6796875,25877.94140625,8,0.0,
2007-03-06 00:00:00+00:00,38707.19921875,38758.3984375,38261.76171875,25040.251953125,6,0.0,
2007-03-07 00:00:00+00:00,38251.51953125,38435.83984375,38251.51953125,25154.177734375,1,0.0,
2007-03-08 00:00:00+00:00,37888.0,38517.76171875,37836.80078125,25207.787109375,2,0.0,
2007-03-09 00:00:00+00:00,38282.23828125,38702.078125,38277.12109375,25080.46484375,8,0.0,
