date,GEG_Open,GEG_High,GEG_Low,GEG_Close,GEG_Volume,GEG_Dividends,GEG_Stock Splits
1999-06-11 00:00:00+00:00,605.25,747.0,603.0,604.3316650390625,458078,0.0,
1999-06-14 00:00:00+00:00,733.5,733.5,585.0,529.0255126953125,97944,0.0,
1999-06-15 00:00:00+00:00,642.375,643.5,580.5,498.903076171875,46117,0.0,
1999-06-16 00:00:00+00:00,594.0,666.0,585.0,555.3826904296875,26294,0.0,
1999-06-17 00:00:00+00:00,650.25,702.0,630.0,579.857177734375,13694,0.0,
1999-06-18 00:00:00+00:00,690.75,699.75,619.875,561.0306396484375,22917,0.0,
1999-06-21 00:00:00+00:00,670.5,873.0,670.5,692.8163452148438,47061,0.0,
1999-06-22 00:00:00+00:00,832.5,1068.75,814.5,799.1862182617188,64439,0.0,
1999-06-23 00:00:00+00:00,963.0,1064.25,886.5,888.6122436523438,21033,0.0,
1999-06-24 00:00:00+00:00,1110.375,1180.125,936.0,794.4796142578125,27050,0.0,
1999-06-25 00:00:00+00:00,994.5,1001.25,828.0,705.9949340820312,18372,0.0,
1999-06-28 00:00:00+00:00,861.75,877.5,779.625,681.5204467773438,11389,0.0,
1999-06-29 00:00:00+00:00,823.5,927.0,821.25,730.4694213867188,16433,0.0,
1999-06-30 00:00:00+00:00,891.0,1046.25,875.25,843.4285888671875,42578,0.0,
1999-07-01 00:00:00+00:00,963.0,1093.5,918.0,864.1377563476562,16022,0.0,
1999-07-02 00:00:00+00:00,1059.75,1242.0,1035.0,1031.69384765625,31150,0.0,
1999-07-06 00:00:00+00:00,1249.875,1422.0,1248.75,1091.9388427734375,40567,0.0,
1999-07-07 00:00:00+00:00,1379.25,1509.75,1332.0,1159.71435546875,44267,0.0,
1999-07-08 00:00:00+00:00,1434.375,1444.5,1309.5,1133.357177734375,21539,0.0,
1999-07-09 00:00:00+00:00,1361.25,1372.5,1320.75,1107.0,15094,0.0,
1999-07-12 00:00:00+00:00,1307.25,1311.75,1212.75,1087.702880859375,30183,0.0,
1999-07-13 00:00:00+00:00,1206.0,1440.0,1197.0,1200.6619873046875,21583,0.0,
1999-07-14 00:00:00+00:00,1440.0,1546.875,1440.0,1235.0203857421875,14650,0.0,
1999-07-15 00:00:00+00:00,1487.25,1497.375,1387.125,1204.89794921875,8583,0.0,
1999-07-16 00:00:00+00:00,1449.0,1615.5,1399.5,1235.0203857421875,19294,0.0,
1999-07-19 00:00:00+00:00,1521.0,1534.5,1386.0,1167.244873046875,11089,0.0,
1999-07-20 00:00:00+00:00,1377.0,1400.625,1248.75,1095.7041015625,10117,0.0,
1999-07-21 00:00:00+00:00,1315.125,1494.0,1300.5,1250.0816650390625,21811,0.0,
1999-07-22 00:00:00+00:00,1476.0,1494.0,1330.875,1186.0714111328125,14533,0.0,
1999-07-23 00:00:00+00:00,1442.25,1479.375,1334.25,1180.4234619140625,14217,0.0,
