date,NBR_Open,NBR_High,NBR_Low,NBR_Close,NBR_Volume,NBR_Dividends,NBR_Stock Splits
1973-02-21 00:00:00+00:00,0.0,65.625,65.625,56.072486877441406,116,0.0,
1973-02-22 00:00:00+00:00,0.0,65.625,65.625,56.072486877441406,60,0.0,
1973-02-23 00:00:00+00:00,0.0,65.625,65.625,56.072486877441406,16,0.0,
1973-02-26 00:00:00+00:00,0.0,62.5,62.5,53.40235900878906,148,0.0,
1973-02-27 00:00:00+00:00,0.0,62.5,62.5,53.40235900878906,32,0.0,
1973-02-28 00:00:00+00:00,0.0,62.5,62.5,53.40235900878906,28,0.0,
1973-03-01 00:00:00+00:00,0.0,62.5,62.5,53.40235900878906,72,0.0,
1973-03-02 00:00:00+00:00,0.0,62.5,62.5,53.40235900878906,32,0.0,
1973-03-05 00:00:00+00:00,0.0,62.5,62.5,53.40235900878906,44,0.0,
1973-03-06 00:00:00+00:00,0.0,59.375,59.375,50.73224639892578,44,0.0,
1973-03-07 00:00:00+00:00,0.0,59.375,59.375,50.73224639892578,8,0.0,
1973-03-08 00:00:00+00:00,0.0,59.375,59.375,50.73224639892578,124,0.0,
1973-03-09 00:00:00+00:00,0.0,56.25,56.25,48.062129974365234,4,0.0,
1973-03-12 00:00:00+00:00,0.0,56.25,56.25,48.062129974365234,36,0.0,
1973-03-13 00:00:00+00:00,0.0,56.25,56.25,48.062129974365234,12,0.0,
1973-03-14 00:00:00+00:00,0.0,53.125,53.125,45.39200592041016,44,0.0,
1973-03-15 00:00:00+00:00,0.0,53.125,53.125,45.39200592041016,20,0.0,
1973-03-16 00:00:00+00:00,0.0,56.25,56.25,48.062129974365234,52,0.0,
1973-03-19 00:00:00+00:00,0.0,53.125,53.125,45.39200592041016,8,0.0,
1973-03-20 00:00:00+00:00,0.0,53.125,53.125,45.39200592041016,116,0.0,
1973-03-21 00:00:00+00:00,0.0,53.125,53.125,45.39200592041016,56,0.0,
1973-03-22 00:00:00+00:00,0.0,50.0,50.0,42.72188949584961,96,0.0,
1973-03-23 00:00:00+00:00,0.0,53.125,53.125,45.39200592041016,104,0.0,
1973-03-26 00:00:00+00:00,0.0,56.25,56.25,48.062129974365234,52,0.0,
1973-03-27 00:00:00+00:00,0.0,53.125,53.125,45.39200592041016,16,0.0,
1973-03-28 00:00:00+00:00,0.0,53.125,53.125,45.39200592041016,64,0.0,
1973-03-29 00:00:00+00:00,0.0,50.0,50.0,42.72188949584961,36,0.0,
1973-03-30 00:00:00+00:00,0.0,50.0,50.0,42.72188949584961,60,0.0,
1973-04-02 00:00:00+00:00,50.0,50.0,50.0,42.72188949584961,0,0.0,
1973-04-03 00:00:00+00:00,0.0,53.125,53.125,45.39200592041016,32,0.0,
1973-04-04 00:00:00+00:00,0.0,50.0,50.0,42.72188949584961,32,0.0,
1973-04-05 00:00:00+00:00,50.0,50.0,50.0,42.72188949584961,0,0.0,
1973-04-06 00:00:00+00:00,0.0,50.0,50.0,42.72188949584961,232,0.0,
1973-04-09 00:00:00+00:00,0.0,53.125,53.125,45.39200592041016,28,0.0,
1973-04-10 00:00:00+00:00,53.125,53.125,53.125,45.39200592041016,0,0.0,
1973-04-11 00:00:00+00:00,0.0,53.125,53.125,45.39200592041016,24,0.0,
1973-04-12 00:00:00+00:00,0.0,50.0,50.0,42.72188949584961,40,0.0,
1973-04-13 00:00:00+00:00,0.0,50.0,50.0,42.72188949584961,20,0.0,
1973-04-16 00:00:00+00:00,0.0,53.125,53.125,45.39200592041016,24,0.0,
1973-04-17 00:00:00+00:00,0.0,53.125,53.125,45.39200592041016,4,0.0,
