date,ISCG_Open,ISCG_High,ISCG_Low,ISCG_Close,ISCG_Volume,ISCG_Dividends,ISCG_Stock Splits
2004-07-13 00:00:00+00:00,9.313332557678224,9.313332557678224,9.313332557678224,8.438923835754395,3000,0.0,
2004-07-14 00:00:00+00:00,9.350000381469728,9.350000381469728,9.333333015441896,8.45704174041748,3000,0.0,
2004-07-15 00:00:00+00:00,9.286666870117188,9.303333282470703,9.266667366027832,8.41928482055664,3000,0.0,
2004-07-16 00:00:00+00:00,9.206666946411133,9.206666946411133,9.206666946411133,8.342266082763672,3000,0.0,
2004-07-19 00:00:00+00:00,9.101667404174805,9.101667404174805,9.101667404174805,8.247122764587402,2400,0.0,
2004-07-20 00:00:00+00:00,9.16333293914795,9.24666690826416,9.16333293914795,8.378506660461426,10800,0.0,
2004-07-21 00:00:00+00:00,9.258333206176758,9.279999732971191,8.988332748413086,8.14443302154541,8400,0.0,
2004-07-22 00:00:00+00:00,8.908332824707031,8.908332824707031,8.833333015441895,8.008516311645508,7200,0.0,
2004-07-23 00:00:00+00:00,8.838333129882812,8.838333129882812,8.838333129882812,8.008516311645508,0,0.0,
2004-07-26 00:00:00+00:00,8.783332824707031,8.783332824707031,8.611666679382324,7.822761058807373,4200,0.0,
2004-07-27 00:00:00+00:00,8.726667404174805,8.845000267028809,8.726667404174805,8.014554977416992,7800,0.0,
2004-07-28 00:00:00+00:00,8.680000305175781,8.791666984558105,8.640000343322754,7.925449848175049,322200,0.0,
2004-07-29 00:00:00+00:00,8.828332901000977,8.828332901000977,8.828332901000977,7.999452590942383,6000,0.0,
2004-07-30 00:00:00+00:00,8.898332595825195,8.916666984558105,8.898332595825195,8.079493522644043,1800,0.0,
2004-08-02 00:00:00+00:00,8.9350004196167,8.9350004196167,8.921667098999023,8.08402156829834,2400,0.0,
2004-08-03 00:00:00+00:00,8.921667098999023,8.921667098999023,8.921667098999023,8.08402156829834,0,0.0,
2004-08-04 00:00:00+00:00,8.613332748413086,8.71166706085205,8.613332748413086,7.893741607666016,4800,0.0,
2004-08-05 00:00:00+00:00,8.648332595825195,8.648332595825195,8.479999542236328,7.6838226318359375,2400,0.0,
2004-08-06 00:00:00+00:00,8.333333015441895,8.333333015441895,8.266667366027832,7.490520477294922,26400,0.0,
2004-08-09 00:00:00+00:00,8.226667404174805,8.233332633972168,8.210000038146973,7.439176559448242,3600,0.0,
