date,MMT_Open,MMT_High,MMT_Low,MMT_Close,MMT_Volume,MMT_Dividends,MMT_Stock Splits
1987-03-05 00:00:00+00:00,10.0,10.125,10.0,0.3607421219348907,4544100,0.0,
1987-03-06 00:00:00+00:00,10.125,10.125,10.0,0.3607421219348907,602400,0.0,
1987-03-09 00:00:00+00:00,10.125,10.125,10.0,0.3607421219348907,667700,0.0,
1987-03-10 00:00:00+00:00,10.125,10.125,10.0,0.3607421219348907,563500,0.0,
1987-03-11 00:00:00+00:00,10.125,10.125,10.0,0.3607421219348907,454000,0.0,
1987-03-12 00:00:00+00:00,10.125,10.125,10.0,0.3607421219348907,369900,0.0,
1987-03-13 00:00:00+00:00,10.125,10.125,10.0,0.3607421219348907,352100,0.0,
1987-03-16 00:00:00+00:00,10.0,10.125,10.0,0.3562888503074646,403500,0.0,
1987-03-17 00:00:00+00:00,10.125,10.125,10.0,0.3607421219348907,269600,0.0,
1987-03-18 00:00:00+00:00,10.0,10.125,10.0,0.3607421219348907,277800,0.0,
1987-03-19 00:00:00+00:00,10.125,10.125,10.0,0.3607421219348907,264800,0.0,
1987-03-20 00:00:00+00:00,10.0,10.125,10.0,0.3607421219348907,379000,0.0,
1987-03-23 00:00:00+00:00,10.0,10.125,10.0,0.3607421219348907,222100,0.0,
1987-03-24 00:00:00+00:00,10.125,10.125,10.0,0.3607421219348907,182500,0.0,
1987-03-25 00:00:00+00:00,10.125,10.125,10.0,0.3607421219348907,161100,0.0,
1987-03-26 00:00:00+00:00,10.0,10.125,10.0,0.3607421219348907,232000,0.0,
1987-03-27 00:00:00+00:00,10.0,10.125,10.0,0.3607421219348907,178500,0.0,
1987-03-30 00:00:00+00:00,10.0,10.125,10.0,0.3607421219348907,262900,0.0,
1987-03-31 00:00:00+00:00,10.0,10.125,10.0,0.3607421219348907,172800,0.0,
1987-04-01 00:00:00+00:00,10.0,10.125,10.0,0.3607421219348907,301900,0.0,
1987-04-02 00:00:00+00:00,10.0,10.125,10.0,0.3607421219348907,179800,0.0,
1987-04-03 00:00:00+00:00,10.125,10.125,10.0,0.3607421219348907,206000,0.0,
1987-04-06 00:00:00+00:00,10.125,10.125,10.0,0.3607421219348907,168100,0.0,
1987-04-07 00:00:00+00:00,10.0,10.125,10.0,0.3607421219348907,157800,0.0,
1987-04-08 00:00:00+00:00,10.125,10.125,10.0,0.3607421219348907,125500,0.0,
1987-04-09 00:00:00+00:00,10.0,10.125,10.0,0.3607421219348907,385500,0.0,
1987-04-10 00:00:00+00:00,10.0,10.125,10.0,0.3607421219348907,284800,0.0,
1987-04-13 00:00:00+00:00,10.0,10.125,10.0,0.3607421219348907,207800,0.0,
1987-04-14 00:00:00+00:00,10.0,10.125,9.625,0.3429279327392578,440000,0.0,
1987-04-15 00:00:00+00:00,9.625,9.75,9.5,0.347381442785263,216400,0.0,
1987-04-16 00:00:00+00:00,9.75,10.0,9.75,0.3562888503074646,99900,0.0,
1987-04-20 00:00:00+00:00,10.0,10.0,9.75,0.347381442785263,90300,0.0,
1987-04-21 00:00:00+00:00,9.875,9.875,9.625,0.3518348932266235,146200,0.0,
1987-04-22 00:00:00+00:00,9.875,9.875,9.75,0.3518348932266235,107100,0.0,
1987-04-23 00:00:00+00:00,9.875,10.0,9.75,0.3518348932266235,146300,0.0,
1987-04-24 00:00:00+00:00,9.875,10.0,9.625,0.347381442785263,128700,0.0,
1987-04-27 00:00:00+00:00,9.75,9.875,9.625,0.3518348932266235,130600,0.0,
1987-04-28 00:00:00+00:00,9.875,10.0,9.75,0.3562888503074646,101700,0.0,
1987-04-29 00:00:00+00:00,10.0,10.0,9.875,0.3518348932266235,88500,0.0,
1987-04-30 00:00:00+00:00,10.0,10.125,9.875,0.3562888503074646,131100,0.0,
1987-05-01 00:00:00+00:00,10.0,10.125,9.875,0.3607421219348907,90200,0.0,
1987-05-04 00:00:00+00:00,10.0,10.125,9.875,0.3518348932266235,152700,0.0,
1987-05-05 00:00:00+00:00,10.0,10.125,10.0,0.3562888503074646,112700,0.0,
1987-05-06 00:00:00+00:00,10.0,10.125,10.0,0.3607421219348907,92700,0.0,
1987-05-07 00:00:00+00:00,10.0,10.125,10.0,0.3562888503074646,118000,0.0,
1987-05-08 00:00:00+00:00,10.0,10.0,9.875,0.3599604368209839,86700,0.102,
1987-05-11 00:00:00+00:00,10.0,10.0,9.875,0.3599604368209839,82800,0.0,
1987-05-12 00:00:00+00:00,9.875,10.0,9.75,0.3554605543613434,167800,0.0,
1987-05-13 00:00:00+00:00,10.0,10.0,9.875,0.3599604368209839,106800,0.0,
1987-05-14 00:00:00+00:00,10.0,10.0,9.875,0.3599604368209839,75600,0.0,
1987-05-15 00:00:00+00:00,9.875,10.0,9.875,0.3599604368209839,160800,0.0,
1987-05-18 00:00:00+00:00,9.875,10.0,9.875,0.3599604368209839,277300,0.0,
1987-05-19 00:00:00+00:00,9.875,10.0,9.875,0.3554605543613434,167100,0.0,
1987-05-20 00:00:00+00:00,9.875,10.0,9.875,0.3554605543613434,238400,0.0,
1987-05-21 00:00:00+00:00,10.0,10.0,9.875,0.3599604368209839,182800,0.0,
1987-05-22 00:00:00+00:00,9.875,10.0,9.875,0.3599604368209839,110800,0.0,
1987-05-26 00:00:00+00:00,10.0,10.0,9.875,0.3599604368209839,62900,0.0,
