date,MZZ_Open,MZZ_High,MZZ_Low,MZZ_Close,MZZ_Volume,MZZ_Dividends,MZZ_Stock Splits
2006-07-13 00:00:00+00:00,4662.39990234375,4763.52001953125,4662.39990234375,2977.6689453125,544,0.0,
2006-07-14 00:00:00+00:00,4777.60009765625,4893.43994140625,4777.60009765625,3035.040283203125,966,0.0,
2006-07-17 00:00:00+00:00,4851.2001953125,4915.2001953125,4808.9599609375,3061.11767578125,684,0.0,
2006-07-18 00:00:00+00:00,4844.7998046875,5024.0,4826.8798828125,3068.339599609375,1463,0.0,
2006-07-19 00:00:00+00:00,4880.64013671875,4880.64013671875,4633.60009765625,2927.921142578125,1523,0.0,
2006-07-20 00:00:00+00:00,4649.60009765625,4872.31982421875,4641.27978515625,3049.483642578125,933,0.0,
2006-07-21 00:00:00+00:00,4894.72021484375,5056.0,4887.68017578125,3152.18798828125,2013,0.0,
2006-07-24 00:00:00+00:00,4937.60009765625,4951.68017578125,4800.64013671875,3009.36376953125,1838,0.0,
2006-07-25 00:00:00+00:00,4790.39990234375,4822.39990234375,4668.16015625,2937.950927734375,2458,0.0,
2006-07-26 00:00:00+00:00,4736.0,4794.240234375,4648.9599609375,2943.16650390625,1977,0.0,
2006-07-27 00:00:00+00:00,4652.7998046875,4810.8798828125,4613.1201171875,2994.920654296875,1584,0.0,
2006-07-28 00:00:00+00:00,4723.2001953125,4760.31982421875,4625.27978515625,2906.256591796875,1097,0.0,
2006-07-31 00:00:00+00:00,4678.39990234375,4680.31982421875,4609.919921875,2901.442138671875,1169,0.0,
2006-08-01 00:00:00+00:00,4704.0,4775.68017578125,4679.0400390625,2951.591064453125,1602,0.0,
2006-08-02 00:00:00+00:00,4646.39990234375,4689.27978515625,4587.52001953125,2914.682373046875,855,0.0,
2006-08-03 00:00:00+00:00,4714.8798828125,4717.43994140625,4550.39990234375,2874.1611328125,1197,0.0,
2006-08-04 00:00:00+00:00,4499.2001953125,4680.31982421875,4457.60009765625,2890.609619140625,1323,0.0,
2006-08-07 00:00:00+00:00,4665.60009765625,4718.080078125,4639.35986328125,2935.945068359375,1050,0.0,
2006-08-08 00:00:00+00:00,4659.2001953125,4799.35986328125,4624.64013671875,2992.11279296875,1377,0.0,
2006-08-09 00:00:00+00:00,4689.27978515625,4849.919921875,4675.2001953125,3038.65087890625,2758,0.0,
